ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
7,2019-11-17,101,101,microtrip,13.0,12.0,,,,,13.0,22.0,11.0,14.0,15.0,14.0,24.0,15.0,11.0,15.0,22.0,36.0,,24.0,11.0,,,11.0
7,2019-11-17,101,104,microtrip,,,,,,,,,,,,,,,,10.0,,,,,,,,
7,2019-11-17,101,105,private_transport,,,,,,,,,,,,,,,,20.0,,,,,,,,
7,2019-11-17,101,107,private_transport,,,,,,,,,,,,,,,,10.0,,,,,,,,
7,2019-11-17,101,110,microtrip,,,11.0,,,12.0,,10.0,,,10.0,,,,,,,16.0,,,,18.0,,12.0
7,2019-11-17,101,111,microtrip,,,,,,,,,,,16.0,,,,,,,,13.0,13.0,12.0,,,
7,2019-11-17,101,112,private_transport,,,,58.0,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,101,116,microtrip,,,,,,,,,,,,,,,12.0,12.0,,,,,,,,
7,2019-11-17,101,116,private_transport,,,,,,,,,,,,,,,,,,,19.0,,,,,
7,2019-11-17,101,117,microtrip,,,,,,,,,,,,11.0,,,,,,,,,,,,
7,2019-11-17,101,119,microtrip,,,,,,,,,,,,,,,,11.0,,14.0,,,,,,
7,2019-11-17,101,124,microtrip,,,,,,,,,,,,13.0,,,,,,,,,,,,
7,2019-11-17,101,125,microtrip,21.0,,15.0,,,10.0,,,11.0,28.0,37.0,21.0,21.0,26.0,20.0,12.0,21.0,35.0,30.0,25.0,15.0,30.0,11.0,
7,2019-11-17,101,130,bus,,,,,,,,,,,,,,,,,,,14.0,,,,,
7,2019-11-17,101,130,microtrip,,,,,,,,,,,,,14.0,,19.0,18.0,,13.0,,,,,11.0,
7,2019-11-17,101,130,private_transport,,,,,,,,,,,,,,,,,,,48.0,,,,,
7,2019-11-17,101,131,microtrip,12.0,,,,,,,,,16.0,13.0,,,,,15.0,,,10.0,,,,,
7,2019-11-17,101,131,private_transport,,,,,,,,,,,,,,,,,,,10.0,,,,,
7,2019-11-17,101,132,microtrip,,,,,,,,,,,,,,,,,,12.0,,,,,,
7,2019-11-17,101,134,microtrip,,,,,,,,,,,,,,,,,11.0,,,,,,,
7,2019-11-17,101,135,microtrip,,11.0,,,,,,,,,,,,,,,,10.0,,,,,,
7,2019-11-17,101,136,microtrip,11.0,,,,,,,,,,,,,,11.0,,,16.0,,,,,12.0,12.0
7,2019-11-17,101,136,private_transport,,,,,,,,,,,,,,,,,,,16.0,,,,,
7,2019-11-17,101,138,private_transport,,,,16.0,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,101,145,microtrip,14.0,,,,,,11.0,,,11.0,,12.0,18.0,,15.0,27.0,24.0,,18.0,12.0,18.0,21.0,16.0,15.0
7,2019-11-17,101,146,microtrip,,,,,,,,,,,10.0,,,,,15.0,,,11.0,,,,,
7,2019-11-17,101,147,microtrip,,,,,,,,,,,,,,,,11.0,,,,,,,,
7,2019-11-17,101,148,private_transport,,,,,,,,,,,,,,,65.0,,,,,,,,,
7,2019-11-17,101,149,private_transport,,,,,,,,,,,,,,,11.0,,,,,,,,,
7,2019-11-17,101,150,microtrip,,11.0,,,,,,,,,,,14.0,,13.0,,,10.0,,,,,,
7,2019-11-17,101,151,microtrip,10.0,,,,,,,,,,,,,,12.0,,,,,,,,,
7,2019-11-17,101,152,microtrip,10.0,,,,,,,,,,11.0,,,,,,,,,,,10.0,,
7,2019-11-17,101,154,microtrip,,10.0,,,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,101,157,private_transport,,,,35.0,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,101,160,microtrip,,,,,,,,,,,10.0,18.0,,13.0,,,,,,,,,,
7,2019-11-17,101,161,private_transport,,,,11.0,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,101,165,bus,,,,,,,,,,,,,,,,14.0,,,,,,,,
7,2019-11-17,101,165,private_transport,,,,,,,,,,,,,,,,40.0,,,,,,,,
7,2019-11-17,101,166,microtrip,10.0,14.0,10.0,,,10.0,,10.0,11.0,22.0,22.0,,19.0,13.0,15.0,17.0,20.0,19.0,17.0,18.0,24.0,15.0,,12.0
7,2019-11-17,101,170,microtrip,,,,,,,,11.0,,,,,,,,,,,,,,,,
7,2019-11-17,101,203,private_transport,,,,,,,,,,,,,,,40.0,,,,,,,,,
7,2019-11-17,101,204,microtrip,,,11.0,,,,,,,,,,,,12.0,,,,,,,,,
7,2019-11-17,101,204,private_transport,,,,,,,,,,,,,,,,,,,10.0,,,,,
7,2019-11-17,101,207,private_transport,,,,,,,,16.0,,,,,,,,,,,,,,,,
7,2019-11-17,102,102,bus,,,,,,11.0,,,,10.0,,,,,,,,,,,,,,
7,2019-11-17,102,102,microtrip,81.0,16.0,25.0,21.0,32.0,,45.0,68.0,69.0,106.0,90.0,91.0,108.0,90.0,85.0,96.0,132.0,90.0,131.0,134.0,73.0,58.0,46.0,
7,2019-11-17,102,102,private_transport,42.0,,,,,21.0,,,30.0,10.0,,13.0,16.0,,,,,,11.0,12.0,,,,
7,2019-11-17,102,103,bus,,,,,,,,,,,,11.0,,,,,,,,,,,,
7,2019-11-17,102,103,microtrip,17.0,10.0,,,,,,13.0,,13.0,27.0,26.0,23.0,,26.0,,22.0,19.0,21.0,24.0,35.0,11.0,,11.0
7,2019-11-17,102,103,private_transport,21.0,,,,,,,,,,,12.0,,,,,,,,,,,,
7,2019-11-17,102,104,microtrip,12.0,,,,14.0,,,,,,,,,,18.0,11.0,,12.0,18.0,20.0,13.0,,,
7,2019-11-17,102,105,microtrip,,,,,,,10.0,,,,,,,11.0,15.0,12.0,,16.0,11.0,10.0,,11.0,,
7,2019-11-17,102,106,microtrip,10.0,,10.0,,11.0,,,,,,,15.0,12.0,,,22.0,16.0,16.0,18.0,13.0,19.0,15.0,,
7,2019-11-17,102,107,microtrip,,,11.0,,,12.0,,,,,,,,,15.0,,,,17.0,,,,,
7,2019-11-17,102,109,microtrip,,,,,,,,,,,,,,11.0,,,,,,,,,,
7,2019-11-17,102,110,microtrip,,,,,,,,11.0,12.0,12.0,,,30.0,,20.0,,,,,22.0,,,,
7,2019-11-17,102,110,private_transport,,,,,,,,,,,12.0,,,,,,,,,,,,,
7,2019-11-17,102,111,microtrip,,,,,,,,,,,,,,,,,,,,,,,13.0,
7,2019-11-17,102,112,private_transport,33.0,,,,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,102,113,microtrip,,,,,,,,,12.0,16.0,,15.0,15.0,,,,16.0,20.0,,11.0,22.0,,,
7,2019-11-17,102,113,private_transport,,,,,,,,,13.0,,,11.0,,,,,,,,,,,,
7,2019-11-17,102,114,microtrip,,,,,,,,,,,11.0,10.0,,,,,17.0,17.0,15.0,10.0,30.0,,,
7,2019-11-17,102,114,private_transport,,,,,,,,,,,,,,,,11.0,,,,,,,,
7,2019-11-17,102,115,bus,,,,,,,,,,,13.0,,,,,,,,,,,,,
7,2019-11-17,102,115,microtrip,10.0,,,,,,,,,,,,,,11.0,15.0,,,,,,,,
7,2019-11-17,102,115,private_transport,,,,,,,,,,10.0,22.0,,,,,,,,,,,,,
7,2019-11-17,102,116,microtrip,,,,,,,,,,,,,,,,,,,11.0,,,,,
7,2019-11-17,102,116,private_transport,25.0,,,,,,,,,,,,,,,,,,,,,,,
7,2019-11-17,102,117,microtrip,21.0,,,15.0,21.0,,,,,38.0,15.0,21.0,54.0,26.0,14.0,41.0,27.0,40.0,46.0,26.0,20.0,17.0,,
7,2019-11-17,102,117,private_transport,,,,,,,,,33.0,11.0,,10.0,,,,,,,,,,,,
7,2019-11-17,102,119,microtrip,,,,,,,,,,,,,15.0,,,,,,,,,10.0,,
7,2019-11-17,102,120,bus,,,,,,16.0,,,,,,,,,,,,,14.0,,,,,
