ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
7,2019-11-20,101,101,bus,,,,,,,,,,,,,,,,,,,,,,,37.0,
7,2019-11-20,101,101,microtrip,,,,,,12.0,,,,15.0,14.0,,13.0,,,21.0,,,,14.0,,16.0,,
7,2019-11-20,101,101,private_transport,,,,,,,,,,,,,,,,,,,,,,,32.0,
7,2019-11-20,101,110,microtrip,,,,,,,,,,,,,13.0,,,,,,,,,10.0,,
7,2019-11-20,101,111,microtrip,,,,,,,11.0,,,,,,,,,,,,,,,,,
7,2019-11-20,101,116,microtrip,,,,,,,,10.0,,,,,,,,,,,,,,,,
7,2019-11-20,101,117,microtrip,,,,,,,,11.0,,,,,,,,,,,,,,,,
7,2019-11-20,101,125,bus,,,,,,,,,,,,,,,,,,,,,,,11.0,
7,2019-11-20,101,125,microtrip,,,12.0,,13.0,,,,,,,,,,,,,,17.0,11.0,,,,
7,2019-11-20,101,125,private_transport,,,,,,,,,,,,,,,,,,,,,,,10.0,
7,2019-11-20,101,130,microtrip,,,,,,,,,,,,,,,11.0,,,13.0,,12.0,,,,
7,2019-11-20,101,131,microtrip,,,,,10.0,,,,,13.0,,12.0,,,,,,,,,,,,
7,2019-11-20,101,135,microtrip,,,,,,,,,,,,,,,,13.0,,,,,,,,
7,2019-11-20,101,136,microtrip,10.0,,,,,,,,,,,,10.0,,,,10.0,,,,11.0,,,
7,2019-11-20,101,137,microtrip,,,,,,,10.0,,,,,,,,,,,,,,,,,
7,2019-11-20,101,145,microtrip,,11.0,,,,12.0,13.0,,,,,12.0,,,11.0,,13.0,,12.0,,,11.0,,
7,2019-11-20,101,146,microtrip,12.0,,,,,16.0,,12.0,,,,,,,,,10.0,,,,,,,11.0
7,2019-11-20,101,147,microtrip,,,,,,,,,,,,,,,,,10.0,,,,,,,
7,2019-11-20,101,150,microtrip,,,,,,,,,,,,,,,,,,,,,11.0,,,
7,2019-11-20,101,152,microtrip,,,,,,,,,,,,11.0,,,,,,,,,,,,
7,2019-11-20,101,160,microtrip,,,,,,,,,,,,,,,,,12.0,,,,,,,
7,2019-11-20,101,166,microtrip,,,,,,,,,,,10.0,,,,,,,,,,21.0,12.0,11.0,
7,2019-11-20,101,204,microtrip,10.0,,,,,,,,10.0,,,,,,,,,,,,,,,
7,2019-11-20,102,102,bus,,,,,,,,81.0,,84.0,,,,,,,,157.0,,,,,,
7,2019-11-20,102,102,microtrip,15.0,14.0,13.0,12.0,,21.0,25.0,53.0,60.0,24.0,38.0,62.0,42.0,56.0,53.0,31.0,72.0,54.0,52.0,43.0,16.0,59.0,20.0,
7,2019-11-20,102,102,private_transport,,,,,,,,31.0,,63.0,,,,,,,,73.0,,,,,,
7,2019-11-20,102,103,bus,,,,,,,,,,,,,,,,,,28.0,,,,,,
7,2019-11-20,102,103,microtrip,,,,,12.0,,,17.0,16.0,,,20.0,26.0,17.0,15.0,18.0,21.0,23.0,23.0,14.0,,,,
7,2019-11-20,102,104,microtrip,,,,,,,15.0,,,,,,,,11.0,14.0,,,,,,,,
7,2019-11-20,102,105,bus,,,,,,,,,,18.0,,,,22.0,,30.0,,,,,13.0,,,
7,2019-11-20,102,105,microtrip,,,,,,,,,,15.0,,,,,,,16.0,,,,,,,
7,2019-11-20,102,105,private_transport,,,,,,,,,,12.0,,,,10.0,,28.0,,,,,12.0,,,
7,2019-11-20,102,106,microtrip,12.0,,,,,,10.0,21.0,10.0,,,,13.0,,,,17.0,16.0,26.0,17.0,,,,
7,2019-11-20,102,107,bus,,,,,,,,,,25.0,,,,22.0,,27.0,,,,,,,,
7,2019-11-20,102,107,microtrip,12.0,,,,,,15.0,10.0,,,,15.0,,10.0,,,12.0,,13.0,11.0,,,,
7,2019-11-20,102,107,private_transport,,,,,,,,,,19.0,,,,14.0,,25.0,,,,,,,,
7,2019-11-20,102,110,bus,,,,,,,,,,,,,12.0,,,,,,,,,,,
7,2019-11-20,102,110,microtrip,,,,,,,,12.0,,,11.0,,,,,10.0,,,,13.0,,18.0,,
7,2019-11-20,102,112,bus,,,,,,,,,,,,,,,,,12.0,,,,,,,
7,2019-11-20,102,112,private_transport,,,,,,,,,,,,,,,,,22.0,,,,,,,
7,2019-11-20,102,113,bus,,,,,,,,,,62.0,,,,,,,,,,,,,,
7,2019-11-20,102,113,microtrip,,,,,,,,,,,,11.0,,,10.0,,12.0,16.0,10.0,,,,,
7,2019-11-20,102,113,private_transport,,,,,,,,,,56.0,,,,,,,,,,,,,,
7,2019-11-20,102,114,microtrip,,,,,,,,,,,,,,,,,,10.0,,17.0,,,,
7,2019-11-20,102,115,microtrip,,,,,,,,,,,,,,,13.0,,,,,15.0,,,,
7,2019-11-20,102,116,microtrip,,,,,,,,,,,,,,,11.0,,,,,,,,,
7,2019-11-20,102,117,microtrip,,,,,,,12.0,20.0,,12.0,22.0,13.0,10.0,20.0,24.0,11.0,,37.0,,15.0,,23.0,,
7,2019-11-20,102,117,private_transport,,,,,,,,,,,,,13.0,,,,,,,,,,,
7,2019-11-20,102,119,microtrip,,,,,,,,,,,,,,,,,,,,,,,11.0,
7,2019-11-20,102,120,bus,,,,,,,,,,,19.0,,,,14.0,,,,,,,,,
7,2019-11-20,102,120,microtrip,19.0,,,10.0,,,15.0,,17.0,,,12.0,17.0,,18.0,,20.0,,10.0,,,,,11.0
7,2019-11-20,102,120,private_transport,,,,,,,,,,,,,,,14.0,,,,,,,,,
7,2019-11-20,102,121,microtrip,,16.0,,,,,,,14.0,,,,19.0,12.0,,,,,,10.0,10.0,,11.0,
7,2019-11-20,102,122,microtrip,17.0,,11.0,,,,,12.0,,11.0,,,17.0,12.0,,,11.0,15.0,19.0,20.0,26.0,,,
7,2019-11-20,102,126,microtrip,,,,,,,,,,,,,,17.0,,,,,,,,,,
7,2019-11-20,102,128,microtrip,,,10.0,,11.0,,,,18.0,,17.0,13.0,19.0,13.0,13.0,26.0,13.0,24.0,21.0,33.0,24.0,20.0,,11.0
