ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
7,2019-11-20,101,101,bus,,,,,,,,41.0,,,,,,,,,,,,,,,24.0,
7,2019-11-20,101,101,microtrip,49.0,,,,,,17.0,38.0,26.0,32.0,41.0,13.0,,,20.0,46.0,14.0,20.0,42.0,25.0,32.0,20.0,35.0,
7,2019-11-20,101,101,private_transport,,,,,,,,30.0,,,,,,,,,,,,,,,18.0,
7,2019-11-20,101,104,microtrip,,,,,,,,,,,,10.0,,,,,,,,,,,,
7,2019-11-20,101,110,bus,,,,,,,,,,,,,,,,,,,12.0,,,,,
7,2019-11-20,101,110,microtrip,12.0,,,,,,,19.0,,15.0,,,18.0,13.0,,12.0,,11.0,,23.0,13.0,,,
7,2019-11-20,101,110,private_transport,,,,,,,,,,,,,,,,,,,11.0,,,,,
7,2019-11-20,101,111,microtrip,,,,,,,,,,11.0,14.0,,15.0,,12.0,,,14.0,,,,,,
7,2019-11-20,101,115,microtrip,,,,,,,18.0,,,,14.0,,,18.0,,,,,,,,,,
7,2019-11-20,101,116,bus,,,,,,,,,,,,,,12.0,,,,,,,,,,
7,2019-11-20,101,116,microtrip,,,,,,,10.0,11.0,,,,,,13.0,,,,,,,10.0,,,
7,2019-11-20,101,117,bus,,,,,,,,,,,,,,,,,,,12.0,,,,,
7,2019-11-20,101,117,microtrip,,,,,,,,15.0,,,,12.0,,,,,,,,,11.0,,,
7,2019-11-20,101,119,microtrip,,,,,,,,,,,11.0,11.0,,11.0,,,10.0,,,,,,,
7,2019-11-20,101,125,bus,,,,,,,,,,,,,,,,,,,,,,,12.0,
7,2019-11-20,101,125,microtrip,33.0,,,,14.0,17.0,13.0,38.0,23.0,21.0,,24.0,15.0,11.0,,24.0,17.0,20.0,34.0,23.0,21.0,12.0,18.0,
7,2019-11-20,101,125,private_transport,,,,,,,,,,,,,,,,,,,,,,,10.0,
7,2019-11-20,101,128,bus,,,,,,,,,,,,,,,,,,31.0,,,,,,
7,2019-11-20,101,128,private_transport,,,,,,,,,,,,,,,,,,51.0,,,,,,
