Origin,Destination
101,101
101,110
101,111
101,125
101,130
101,131
101,136
101,145
101,150
101,166
101,204
102,102
102,102
102,102
102,103
102,105
102,106
102,107
102,110
102,113
102,114
102,117
102,117
102,120
102,120
102,121
102,121
102,122
102,122
102,128
102,128
102,129
102,129
102,132
102,134
102,149
102,159
102,159
102,160
102,160
102,160
102,163
102,164
102,164
102,165
102,165
102,165
102,167
102,167
102,168
102,169
102,207
102,207
103,102
103,103
103,104
103,106
103,117
103,122
103,128
103,128
103,129
103,134
103,160
103,165
103,170
104,102
104,104
104,104
104,104
104,105
104,105
104,106
104,107
104,110
104,110
104,115
104,115
104,115
104,116
104,116
104,116
104,117
104,118
104,118
104,119
104,125
104,126
104,126
104,128
104,130
104,130
104,131
104,132
104,132
104,134
104,135
104,136
104,137
104,146
104,147
104,148
104,159
104,160
104,162
104,165
104,167
104,167
104,167
104,170
105,104
105,105
105,106
105,107
105,110
105,111
105,116
105,126
105,127
105,128
105,129
105,130
105,134
105,137
105,146
105,149
105,162
105,167
105,168
105,170
105,202
106,103
106,104
106,105
106,106
106,107
106,110
106,115
106,116
106,117
106,120
106,126
106,127
106,128
106,135
106,136
106,137
106,160
106,165
107,104
107,105
107,106
107,107
107,110
107,111
107,122
107,125
107,127
107,128
107,129
107,145
107,146
107,146
107,149
107,160
107,165
107,167
107,168
107,202
108,108
108,108
108,108
108,109
108,109
108,112
108,119
108,126
108,127
108,127
108,132
108,140
108,141
108,142
108,143
108,144
108,145
108,147
108,149
108,152
108,152
108,153
108,154
108,155
108,158
108,158
108,169
108,169
108,169
108,206
108,206
108,207
108,207
109,108
109,108
109,108
109,109
109,113
109,132
109,133
109,140
109,141
109,142
109,142
109,142
109,143
109,158
109,158
109,159
109,160
109,169
109,169
109,201
109,205
109,205
109,206
109,206
109,207
109,207
109,207
109,208
110,101
110,102
110,104
110,104
110,106
110,109
110,110
110,110
110,111
110,111
110,115
110,115
110,116
110,117
110,118
110,119
110,120
110,121
110,121
110,125
110,125
110,126
110,126
110,126
110,130
110,130
110,131
110,132
110,132
110,133
110,134
110,134
110,136
110,136
110,137
110,137
110,140
110,141
110,141
110,145
110,154
110,159
110,160
110,160
110,160
110,163
110,164
110,164
110,164
110,169
110,170
110,170
110,204
110,204
110,205
111,101
111,101
111,102
111,110
111,110
111,110
111,111
111,111
111,115
111,117
111,120
111,121
111,125
111,126
111,126
111,127
111,130
111,130
111,131
111,132
111,132
111,133
111,134
111,134
111,137
111,141
111,145
111,160
111,164
111,170
112,112
112,135
112,136
112,138
112,139
112,143
112,145
112,146
112,147
112,147
112,147
112,151
112,151
112,152
112,152
112,152
112,153
112,153
112,154
112,154
112,155
112,162
112,207
113,102
113,106
113,108
113,113
113,114
113,117
113,120
113,134
113,144
113,159
113,163
113,164
113,168
113,169
113,207
114,102
114,102
114,106
114,113
114,114
114,120
114,160
114,163
114,164
114,168
114,169
114,207
115,104
115,104
115,111
115,115
115,115
115,116
115,116
115,117
115,127
115,132
115,134
115,135
115,154
115,160
115,164
115,167
115,167
115,167
115,168
115,170
116,103
116,104
116,104
116,104
116,105
116,110
116,112
116,115
116,115
116,115
116,116
116,118
116,118
116,122
116,122
116,125
116,126
116,126
116,130
116,131
116,132
116,132
116,135
116,137
116,145
116,148
116,160
116,167
116,167
116,168
116,170
117,102
117,102
117,104
117,106
117,107
117,110
117,114
117,115
117,117
117,120
117,121
117,122
117,127
117,128
117,132
117,134
117,144
117,159
117,159
117,159
117,160
117,160
117,160
117,163
117,163
117,164
117,164
117,165
117,169
117,170
117,204
117,207
118,101
118,109
118,110
118,118
118,119
118,131
118,132
118,134
118,134
118,141
118,141
118,159
118,167
118,168
118,170
119,104
119,108
119,110
119,119
119,124
119,132
119,134
119,140
119,141
119,141
119,160
119,170
120,102
120,102
120,106
120,107
120,113
120,114
120,117
120,120
120,120
120,120
120,121
120,121
120,122
120,122
120,128
120,128
120,129
120,130
120,131
120,132
120,144
120,144
120,149
120,150
120,159
120,160
120,163
120,164
120,165
120,167
120,167
120,168
120,169
120,207
121,102
121,120
121,120
121,121
121,121
121,121
121,122
121,129
121,144
121,150
121,150
121,151
121,157
121,163
121,164
121,167
121,167
121,168
121,168
121,168
122,102
122,103
122,105
122,120
122,121
122,121
122,122
122,122
122,126
122,128
122,129
122,130
122,130
122,131
122,131
122,136
122,149
122,164
122,165
122,167
122,167
122,168
122,168
122,169
122,207
123,168
123,207
124,110
124,111
124,132
124,145
124,145
124,146
124,150
124,166
124,166
124,170
124,205
125,101
125,101
125,106
125,107
125,110
125,111
125,112
125,115
125,119
125,125
125,125
125,125
125,130
125,131
125,131
125,135
125,136
125,137
125,139
125,145
125,145
125,145
125,147
125,154
125,160
125,162
125,166
125,203
125,204
126,104
126,104
126,104
126,105
126,107
126,108
126,110
126,110
126,111
126,115
126,115
126,115
126,116
126,117
126,119
126,122
126,122
126,126
126,126
126,127
126,127
126,128
126,129
126,130
126,132
126,132
126,134
126,135
126,135
126,136
126,136
126,137
126,137
126,143
126,145
126,149
126,155
126,160
126,165
126,166
126,166
126,167
126,167
126,170
126,170
126,206
126,207
127,104
127,105
127,108
127,112
127,115
127,116
127,117
127,122
127,126
127,126
127,127
127,127
127,127
127,129
127,135
127,136
127,136
127,137
127,137
127,142
127,143
127,143
127,145
127,145
127,145
127,146
127,147
127,149
127,149
127,150
127,150
127,152
127,155
127,155
127,157
127,161
127,162
127,162
127,165
127,166
127,166
127,167
127,203
127,203
127,206
127,207
128,102
128,102
128,102
128,103
128,105
128,106
128,107
128,110
128,113
128,116
128,117
128,120
128,121
128,121
128,122
128,127
128,128
128,128
128,128
128,129
128,134
128,159
128,160
128,164
128,165
128,167
128,167
128,168
128,169
129,102
129,103
129,104
129,107
129,113
129,114
129,114
129,116
129,120
129,121
129,121
129,122
129,122
129,128
129,129
129,130
129,148
129,149
129,163
129,164
129,165
129,167
129,167
130,101
130,101
130,104
130,110
130,110
130,111
130,111
130,112
130,115
130,115
130,116
130,117
130,120
130,122
130,122
130,125
130,126
130,127
130,129
130,129
130,130
130,130
130,130
130,131
130,135
130,136
130,137
130,138
130,145
130,153
130,154
130,157
130,165
130,166
130,167
130,168
130,168
130,170
130,204
131,101
131,110
131,111
131,112
131,115
131,122
131,125
131,125
131,126
131,127
131,129
131,131
131,131
131,136
131,139
131,145
131,147
131,154
131,160
131,168
131,168
131,203
132,102
132,109
132,110
132,111
132,117
132,118
132,119
132,128
132,132
132,133
132,133
132,134
132,134
132,134
132,140
132,141
132,141
132,150
132,151
132,151
132,159
132,159
132,159
132,160
132,170
132,204
132,205
133,109
133,132
133,134
133,140
133,141
133,159
134,102
134,104
134,104
134,106
134,108
134,109
134,115
134,116
134,116
134,117
134,117
134,118
134,119
134,125
134,128
134,132
134,132
134,133
134,134
134,134
134,140
134,141
134,159
134,160
134,164
134,170
135,104
135,106
135,108
135,109
135,110
135,112
135,125
135,126
135,126
135,127
135,130
135,131
135,135
135,135
135,135
135,136
135,136
135,136
135,137
135,137
135,141
135,145
135,145
135,145
135,146
135,146
135,146
135,147
135,147
135,154
135,154
135,154
135,155
135,155
135,157
135,160
135,162
135,166
136,101
136,105
136,106
136,108
136,109
136,110
136,112
136,115
136,125
136,125
136,125
136,126
136,126
136,127
136,130
136,131
136,131
136,135
136,135
136,136
136,136
136,138
136,145
136,145
136,145
136,146
136,147
136,154
136,154
136,154
136,160
136,162
136,167
136,168
136,168
137,104
137,126
137,126
137,135
137,136
137,137
137,137
137,145
137,145
138,112
138,138
138,151
138,152
138,153
138,157
139,112
139,138
139,151
139,157
140,108
140,109
140,118
140,132
140,140
140,141
140,146
140,153
140,159
140,169
140,201
140,208
141,108
141,109
141,116
141,118
141,118
141,118
141,119
141,119
141,119
141,126
141,127
141,130
141,130
141,131
141,131
141,132
141,133
141,134
141,140
141,141
141,141
141,159
141,167
141,168
141,169
141,170
141,201
141,202
141,205
141,205
141,205
141,207
142,109
142,109
142,126
142,127
142,127
142,142
142,143
142,147
142,152
142,152
142,154
142,206
142,207
143,108
143,109
143,126
143,127
143,127
143,142
143,143
143,149
143,152
143,205
143,206
143,206
143,207
144,102
144,108
144,113
144,113
144,114
144,129
144,142
144,144
144,144
144,144
144,165
144,167
144,168
144,168
144,169
144,169
144,169
144,207
144,207
144,207
145,101
145,104
145,105
145,107
145,112
145,116
145,125
145,126
145,127
145,128
145,129
145,130
145,131
145,135
145,135
145,135
145,136
145,136
145,136
145,145
145,145
145,145
145,146
145,146
145,146
145,147
145,147
145,147
145,150
145,151
145,152
145,152
145,154
145,165
145,165
145,166
145,167
145,170
145,202
146,101
146,112
146,116
146,125
146,129
146,135
146,135
146,135
146,136
146,145
146,145
146,146
146,147
146,147
146,151
146,152
146,153
146,154
146,154
146,154
146,157
146,165
146,166
146,166
146,167
147,105
147,108
147,112
147,131
147,135
147,135
147,136
147,136
147,136
147,145
147,145
147,146
147,146
147,147
147,147
147,152
147,152
147,154
147,154
147,155
147,157
147,166
147,169
147,207
148,109
148,120
148,121
148,140
148,141
148,163
148,164
148,167
148,168
148,169
148,205
149,105
149,105
149,105
149,107
149,107
149,107
149,108
149,110
149,111
149,126
149,126
149,127
149,127
149,135
149,137
149,145
149,149
149,149
149,150
149,160
149,162
149,165
149,165
149,165
149,203
149,205
150,101
150,130
150,145
150,146
150,150
150,150
150,151
150,166
150,166
150,166
150,167
150,202
151,101
151,145
151,145
151,146
151,150
151,157
151,166
151,166
151,166
152,101
152,104
152,108
152,112
152,112
152,112
152,127
152,135
152,138
152,142
152,145
152,145
152,146
152,147
152,147
152,147
152,152
152,152
152,152
152,154
152,155
152,169
152,207
153,101
153,135
153,145
153,150
153,151
153,166
154,101
154,108
154,109
154,112
154,112
154,115
154,127
154,131
154,135
154,135
154,135
154,136
154,136
154,142
154,145
154,145
154,147
154,152
154,152
154,152
154,154
154,154
154,154
154,155
154,157
154,207
155,109
