ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,101,101,microtrip,13,12,,,,,13,22,11,14,15,14,24,15,11,15,22,36,,24,11,,,11,33,36,69,283,101_101
7,2019-11-17,101,104,microtrip,,,,,,,,,,,,,,,,10,,,,,,,,,0,0,0,10,101_104
7,2019-11-17,101,105,private_transport,,,,,,,,,,,,,,,,20,,,,,,,,,0,0,0,20,101_105
7,2019-11-17,101,107,private_transport,,,,,,,,,,,,,,,,10,,,,,,,,,0,0,0,10,101_107
7,2019-11-17,101,110,microtrip,,,11,,,12,,10,,,10,,,,,,,16,,,,18,,12,10,16,26,89,101_110
7,2019-11-17,101,111,microtrip,,,,,,,,,,,16,,,,,,,,13,13,12,,,,0,13,13,54,101_111
7,2019-11-17,101,112,private_transport,,,,58,,,,,,,,,,,,,,,,,,,,,0,0,0,58,101_112
7,2019-11-17,101,116,microtrip,,,,,,,,,,,,,,,12,12,,,,,,,,,0,0,0,24,101_116
7,2019-11-17,101,116,private_transport,,,,,,,,,,,,,,,,,,,19,,,,,,0,19,19,19,101_116
7,2019-11-17,101,117,microtrip,,,,,,,,,,,,11,,,,,,,,,,,,,0,0,0,11,101_117
7,2019-11-17,101,119,microtrip,,,,,,,,,,,,,,,,11,,14,,,,,,,0,14,14,25,101_119
7,2019-11-17,101,124,microtrip,,,,,,,,,,,,13,,,,,,,,,,,,,0,0,0,13,101_124
7,2019-11-17,101,125,microtrip,21,,15,,,10,,,11,28,37,21,21,26,20,12,21,35,30,25,15,30,11,,11,65,76,389,101_125
7,2019-11-17,101,130,bus,,,,,,,,,,,,,,,,,,,14,,,,,,0,14,14,14,101_130
7,2019-11-17,101,130,microtrip,,,,,,,,,,,,,14,,19,18,,13,,,,,11,,0,13,13,75,101_130
7,2019-11-17,101,130,private_transport,,,,,,,,,,,,,,,,,,,48,,,,,,0,48,48,48,101_130
7,2019-11-17,101,131,microtrip,12,,,,,,,,,16,13,,,,,15,,,10,,,,,,0,10,10,66,101_131
7,2019-11-17,101,131,private_transport,,,,,,,,,,,,,,,,,,,10,,,,,,0,10,10,10,101_131
7,2019-11-17,101,132,microtrip,,,,,,,,,,,,,,,,,,12,,,,,,,0,12,12,12,101_132
7,2019-11-17,101,134,microtrip,,,,,,,,,,,,,,,,,11,,,,,,,,0,0,0,11,101_134
7,2019-11-17,101,135,microtrip,,11,,,,,,,,,,,,,,,,10,,,,,,,0,10,10,21,101_135
7,2019-11-17,101,136,microtrip,11,,,,,,,,,,,,,,11,,,16,,,,,12,12,0,16,16,62,101_136
7,2019-11-17,101,136,private_transport,,,,,,,,,,,,,,,,,,,16,,,,,,0,16,16,16,101_136
7,2019-11-17,101,138,private_transport,,,,16,,,,,,,,,,,,,,,,,,,,,0,0,0,16,101_138
7,2019-11-17,101,145,microtrip,14,,,,,,11,,,11,,12,18,,15,27,24,,18,12,18,21,16,15,0,18,18,232,101_145
7,2019-11-17,101,146,microtrip,,,,,,,,,,,10,,,,,15,,,11,,,,,,0,11,11,36,101_146
7,2019-11-17,101,147,microtrip,,,,,,,,,,,,,,,,11,,,,,,,,,0,0,0,11,101_147
7,2019-11-17,101,148,private_transport,,,,,,,,,,,,,,,65,,,,,,,,,,0,0,0,65,101_148
7,2019-11-17,101,149,private_transport,,,,,,,,,,,,,,,11,,,,,,,,,,0,0,0,11,101_149
7,2019-11-17,101,150,microtrip,,11,,,,,,,,,,,14,,13,,,10,,,,,,,0,10,10,48,101_150
7,2019-11-17,101,151,microtrip,10,,,,,,,,,,,,,,12,,,,,,,,,,0,0,0,22,101_151
7,2019-11-17,101,152,microtrip,10,,,,,,,,,,11,,,,,,,,,,,10,,,0,0,0,31,101_152
7,2019-11-17,101,154,microtrip,,10,,,,,,,,,,,,,,,,,,,,,,,0,0,0,10,101_154
7,2019-11-17,101,157,private_transport,,,,35,,,,,,,,,,,,,,,,,,,,,0,0,0,35,101_157
7,2019-11-17,101,160,microtrip,,,,,,,,,,,10,18,,13,,,,,,,,,,,0,0,0,41,101_160
7,2019-11-17,101,161,private_transport,,,,11,,,,,,,,,,,,,,,,,,,,,0,0,0,11,101_161
7,2019-11-17,101,165,bus,,,,,,,,,,,,,,,,14,,,,,,,,,0,0,0,14,101_165
7,2019-11-17,101,165,private_transport,,,,,,,,,,,,,,,,40,,,,,,,,,0,0,0,40,101_165
7,2019-11-17,101,166,microtrip,10,14,10,,,10,,10,11,22,22,,19,13,15,17,20,19,17,18,24,15,,12,21,36,57,298,101_166
7,2019-11-17,101,170,microtrip,,,,,,,,11,,,,,,,,,,,,,,,,,11,0,11,11,101_170
7,2019-11-17,101,203,private_transport,,,,,,,,,,,,,,,40,,,,,,,,,,0,0,0,40,101_203
7,2019-11-17,101,204,microtrip,,,11,,,,,,,,,,,,12,,,,,,,,,,0,0,0,23,101_204
7,2019-11-17,101,204,private_transport,,,,,,,,,,,,,,,,,,,10,,,,,,0,10,10,10,101_204
7,2019-11-17,101,207,private_transport,,,,,,,,16,,,,,,,,,,,,,,,,,16,0,16,16,101_207
7,2019-11-17,102,102,bus,,,,,,11,,,,10,,,,,,,,,,,,,,,0,0,0,21,102_102
7,2019-11-17,102,102,microtrip,81,16,25,21,32,,45,68,69,106,90,91,108,90,85,96,132,90,131,134,73,58,46,,137,221,358,1687,102_102
7,2019-11-17,102,102,private_transport,42,,,,,21,,,30,10,,13,16,,,,,,11,12,,,,,30,11,41,155,102_102
7,2019-11-17,102,103,bus,,,,,,,,,,,,11,,,,,,,,,,,,,0,0,0,11,102_103
7,2019-11-17,102,103,microtrip,17,10,,,,,,13,,13,27,26,23,,26,,22,19,21,24,35,11,,11,13,40,53,298,102_103
7,2019-11-17,102,103,private_transport,21,,,,,,,,,,,12,,,,,,,,,,,,,0,0,0,33,102_103
7,2019-11-17,102,104,microtrip,12,,,,14,,,,,,,,,,18,11,,12,18,20,13,,,,0,30,30,118,102_104
7,2019-11-17,102,105,microtrip,,,,,,,10,,,,,,,11,15,12,,16,11,10,,11,,,0,27,27,96,102_105
7,2019-11-17,102,106,microtrip,10,,10,,11,,,,,,,15,12,,,22,16,16,18,13,19,15,,,0,34,34,177,102_106
7,2019-11-17,102,107,microtrip,,,11,,,12,,,,,,,,,15,,,,17,,,,,,0,17,17,55,102_107
7,2019-11-17,102,109,microtrip,,,,,,,,,,,,,,11,,,,,,,,,,,0,0,0,11,102_109
7,2019-11-17,102,110,microtrip,,,,,,,,11,12,12,,,30,,20,,,,,22,,,,,23,0,23,107,102_110
7,2019-11-17,102,110,private_transport,,,,,,,,,,,12,,,,,,,,,,,,,,0,0,0,12,102_110
7,2019-11-17,102,111,microtrip,,,,,,,,,,,,,,,,,,,,,,,13,,0,0,0,13,102_111
7,2019-11-17,102,112,private_transport,33,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,33,102_112
7,2019-11-17,102,113,microtrip,,,,,,,,,12,16,,15,15,,,,16,20,,11,22,,,,12,20,32,127,102_113
7,2019-11-17,102,113,private_transport,,,,,,,,,13,,,11,,,,,,,,,,,,,13,0,13,24,102_113
7,2019-11-17,102,114,microtrip,,,,,,,,,,,11,10,,,,,17,17,15,10,30,,,,0,32,32,110,102_114
7,2019-11-17,102,114,private_transport,,,,,,,,,,,,,,,,11,,,,,,,,,0,0,0,11,102_114
7,2019-11-17,102,115,bus,,,,,,,,,,,13,,,,,,,,,,,,,,0,0,0,13,102_115
7,2019-11-17,102,115,microtrip,10,,,,,,,,,,,,,,11,15,,,,,,,,,0,0,0,36,102_115
7,2019-11-17,102,115,private_transport,,,,,,,,,,10,22,,,,,,,,,,,,,,0,0,0,32,102_115
7,2019-11-17,102,116,microtrip,,,,,,,,,,,,,,,,,,,11,,,,,,0,11,11,11,102_116
7,2019-11-17,102,116,private_transport,25,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,25,102_116
7,2019-11-17,102,117,microtrip,21,,,15,21,,,,,38,15,21,54,26,14,41,27,40,46,26,20,17,,,0,86,86,442,102_117
7,2019-11-17,102,117,private_transport,,,,,,,,,33,11,,10,,,,,,,,,,,,,33,0,33,54,102_117
7,2019-11-17,102,119,microtrip,,,,,,,,,,,,,15,,,,,,,,,10,,,0,0,0,25,102_119
7,2019-11-17,102,120,bus,,,,,,16,,,,,,,,,,,,,14,,,,,,0,14,14,30,102_120
7,2019-11-17,102,120,microtrip,16,,14,14,19,,10,10,22,21,21,46,35,,19,34,50,49,25,40,34,22,11,,32,74,106,512,102_120
7,2019-11-17,102,120,private_transport,,,,,,39,,,27,15,,,15,19,,,,,19,,,29,,,27,19,46,163,102_120
7,2019-11-17,102,121,microtrip,,,,,,,,,,,32,25,,,12,,15,18,14,15,17,,13,,0,32,32,161,102_121
7,2019-11-17,102,121,private_transport,,,,,,,,,,,,,,,,,22,,,,18,,,,0,0,0,40,102_121
7,2019-11-17,102,122,microtrip,,,,,,12,,,19,,27,16,,10,21,18,15,12,21,17,19,21,,,19,33,52,228,102_122
7,2019-11-17,102,122,private_transport,,,,,,,,,,,,,,,,,11,,,,,,,,0,0,0,11,102_122
7,2019-11-17,102,125,microtrip,,,,,,,,,,,,,,,,,,,,,10,,,,0,0,0,10,102_125
7,2019-11-17,102,126,bus,,,,,,,,,,,,,,,,,,,,,,,10,,0,0,0,10,102_126
7,2019-11-17,102,126,microtrip,,,,,,,,,,,,,,,,11,,,,,,,,,0,0,0,11,102_126
7,2019-11-17,102,126,private_transport,,,,,,,,,,,,,,,,,,,,,,15,11,,0,0,0,26,102_126
7,2019-11-17,102,127,microtrip,,,,,,,,,,,,,,,,,,,,,,,,10,0,0,0,10,102_127
7,2019-11-17,102,127,private_transport,,,,,,,,,,,,,,,,,,,,,,27,,,0,0,0,27,102_127
7,2019-11-17,102,128,bus,,,,,,,,,,13,,20,,,,,,,,11,,,,,0,0,0,44,102_128
7,2019-11-17,102,128,microtrip,15,,,,10,,10,16,27,16,41,56,16,23,27,29,32,53,31,37,37,18,22,,43,84,127,516,102_128
7,2019-11-17,102,128,private_transport,111,,,,,,,,,,,28,30,10,,,,,,29,,13,,,0,0,0,221,102_128
7,2019-11-17,102,129,microtrip,14,,14,,,,,12,10,12,27,,,,,,,,21,24,,,,,22,21,43,134,102_129
7,2019-11-17,102,129,private_transport,,,,,,,,,,,,39,,,,,,,,,,,,,0,0,0,39,102_129
7,2019-11-17,102,130,private_transport,80,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,80,102_130
7,2019-11-17,102,131,private_transport,33,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,33,102_131
7,2019-11-17,102,132,microtrip,,,,,,,,,,,,,,12,,,11,,,,,13,,,0,0,0,36,102_132
7,2019-11-17,102,132,private_transport,,,,,,,,,,,,,,,17,,,,,,,,,,0,0,0,17,102_132
7,2019-11-17,102,133,microtrip,,,,,,,,,,,,,,11,10,,,,,,,,,,0,0,0,21,102_133
7,2019-11-17,102,133,private_transport,,,,,,,,,11,,,,,,,,,,,,,,,,11,0,11,11,102_133
7,2019-11-17,102,134,microtrip,,,,,,,11,,15,14,,14,,,,,,16,23,11,,,,,15,39,54,104,102_134
7,2019-11-17,102,134,private_transport,,,,,,,,,,10,,,10,,,,,,,,,,,,0,0,0,20,102_134
7,2019-11-17,102,136,bus,,,,,,,,,,,,,,,,,,10,,,,,,,0,10,10,10,102_136
7,2019-11-17,102,136,private_transport,30,,,,,,,,,,,,,,,,,12,,,,,,,0,12,12,42,102_136
7,2019-11-17,102,137,microtrip,,,,,,,,,,,,,10,,,,,,,,,,,,0,0,0,10,102_137
7,2019-11-17,102,137,private_transport,12,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,12,102_137
7,2019-11-17,102,140,private_transport,,,,,,,,,11,,,,,,,,,,,,,,,,11,0,11,11,102_140
7,2019-11-17,102,144,microtrip,,,,,,,,,,,,,,,13,13,,,,,,,,,0,0,0,26,102_144
7,2019-11-17,102,144,private_transport,,,,,,,,,,,,30,,,12,16,,,,,,,,,0,0,0,58,102_144
7,2019-11-17,102,145,bus,,,,,,,,,,,,,,,,,,34,,,,,,,0,34,34,34,102_145
7,2019-11-17,102,145,private_transport,29,,,,,,,,,,,,,,,,,44,,,,,,,0,44,44,73,102_145
