Origin,Destination
101,101
101,104
101,107
101,110
101,111
101,112
101,115
101,116
101,117
101,119
101,125
101,130
101,130
101,131
101,134
101,135
101,136
101,137
101,145
101,146
101,147
101,148
101,149
101,150
101,154
101,157
101,160
101,165
101,165
101,166
101,170
101,202
101,203
101,204
101,205
101,207
102,102
102,102
102,102
102,103
102,103
102,104
102,105
102,106
102,107
102,108
102,110
102,110
102,111
102,112
102,113
102,113
102,113
102,114
102,114
102,114
102,115
102,115
102,115
102,116
102,116
102,116
102,117
102,117
102,117
102,118
102,119
102,120
102,120
102,120
102,121
102,121
102,122
102,126
102,127
102,127
102,127
102,128
102,128
102,129
102,130
102,131
102,132
102,133
102,134
102,134
102,136
102,140
102,144
102,144
102,145
102,145
102,146
102,146
102,147
102,152
102,153
102,154
102,155
102,158
102,159
102,159
102,159
102,160
102,160
102,160
102,163
102,163
102,164
102,164
102,165
102,167
102,168
102,168
102,169
102,169
102,169
102,170
102,201
102,203
102,204
102,204
102,207
102,207
102,207
102,208
103,102
103,103
103,103
103,104
103,105
103,106
103,107
103,110
103,113
103,115
103,117
103,120
103,122
103,126
103,128
103,128
103,129
103,130
103,134
103,144
103,145
103,146
103,159
103,160
103,160
103,165
103,167
103,167
103,168
103,169
103,202
103,207
103,208
104,102
104,102
104,103
104,104
104,104
104,104
104,105
104,105
104,105
104,106
104,106
104,106
104,107
104,107
104,110
104,111
104,112
104,112
104,115
104,115
104,115
104,116
104,116
104,116
104,117
104,117
104,117
104,120
104,123
104,124
104,125
104,126
104,126
104,126
104,127
104,127
104,127
104,128
104,129
104,130
104,131
104,131
104,135
104,135
104,136
104,139
104,139
104,141
104,143
104,145
104,145
104,146
104,146
104,147
104,148
104,149
104,150
104,152
104,152
104,152
104,153
104,154
104,154
104,155
104,155
104,156
104,157
104,157
104,158
104,159
104,160
104,160
104,160
104,161
104,165
104,165
104,165
104,166
104,167
104,167
104,167
104,202
104,202
104,203
104,203
104,205
104,207
104,207
104,208
105,102
105,102
105,103
105,103
105,104
105,104
105,105
105,105
105,105
105,106
105,106
105,106
105,107
105,107
105,107
105,110
105,115
105,116
105,116
105,117
105,117
105,117
105,120
105,124
105,126
105,126
105,127
105,128
105,129
105,129
105,130
105,130
105,131
105,131
105,135
105,136
105,136
105,137
105,139
105,143
105,148
105,149
105,149
105,158
105,160
105,160
105,164
105,165
105,165
105,165
105,167
105,167
105,168
105,169
105,203
105,203
105,207
106,102
106,103
106,104
106,104
106,104
106,105
106,106
106,107
106,108
106,108
106,110
106,110
106,111
106,113
106,113
106,115
106,116
106,117
106,117
106,123
106,125
106,126
106,127
106,127
106,127
106,128
106,129
106,134
106,135
106,142
106,142
106,144
106,145
106,146
106,147
106,148
106,149
106,159
106,160
106,160
106,165
106,168
106,169
106,169
106,201
106,202
106,203
106,204
106,206
106,207
106,208
107,102
107,102
107,102
107,103
107,103
107,104
107,105
107,105
107,106
107,106
107,106
107,107
107,107
107,107
107,108
107,110
107,115
107,116
107,116
107,117
107,117
107,117
107,120
107,120
107,121
107,122
107,126
107,126
107,127
107,128
107,128
107,129
107,129
107,130
107,130
107,131
107,133
107,134
107,135
107,139
107,143
107,143
107,144
107,146
107,148
107,149
107,149
107,160
107,160
107,160
107,162
107,165
107,165
107,165
107,167
107,167
107,168
107,169
107,169
107,202
107,203
107,207
107,207
108,102
108,105
108,105
108,107
108,108
108,108
108,108
108,109
108,109
108,109
108,111
108,112
108,113
108,113
108,114
108,114
108,118
108,118
108,119
108,121
108,122
108,123
108,124
108,127
108,127
108,132
108,132
108,134
108,139
108,140
108,141
108,141
108,142
108,142
108,142
108,144
108,144
108,150
108,150
108,158
108,160
108,163
108,164
108,165
108,165
108,168
108,169
108,169
108,169
108,170
108,201
108,204
108,205
108,205
108,205
108,206
108,206
108,207
108,207
108,207
109,102
109,108
109,108
109,108
109,109
109,109
109,109
109,113
109,114
109,114
109,118
109,118
109,119
109,121
109,124
109,124
109,126
109,127
109,127
109,132
109,133
109,134
109,140
109,140
109,141
109,141
109,141
109,142
109,142
109,142
109,143
109,144
109,144
109,156
109,158
109,159
109,160
109,160
109,163
109,164
109,168
109,169
109,169
109,169
109,170
109,170
109,170
109,202
109,205
109,205
109,205
109,207
109,207
109,207
109,208
110,101
110,102
110,103
110,104
110,104
110,105
110,106
110,106
110,110
110,110
110,110
110,111
110,111
110,111
110,113
110,113
110,115
110,115
110,116
110,117
110,117
110,118
110,119
110,119
110,121
110,124
110,125
110,126
110,127
110,128
110,130
110,131
110,132
110,132
110,133
110,133
110,134
110,134
110,135
110,136
110,140
110,141
110,145
110,145
110,145
110,146
110,146
110,148
110,152
110,154
110,159
110,159
110,160
110,160
110,160
110,164
110,166
110,167
110,170
110,170
110,201
110,203
110,204
110,204
110,205
110,208
111,101
111,102
111,103
111,104
111,105
111,106
111,110
111,110
111,110
111,111
111,111
111,111
111,112
111,115
111,116
111,117
111,117
111,117
111,119
111,125
111,126
111,127
111,130
111,132
111,133
111,133
111,134
111,134
111,134
111,135
111,136
111,137
111,145
111,145
111,146
111,146
111,147
111,147
111,148
111,152
111,154
111,159
111,160
111,164
111,166
111,170
111,170
111,170
111,201
111,203
111,204
111,204
112,104
112,104
112,108
112,112
112,112
112,112
112,115
112,116
112,116
112,117
112,126
112,127
112,127
112,134
112,135
112,135
112,135
112,136
112,136
112,138
112,138
112,138
112,139
112,139
112,142
112,145
112,145
112,146
112,146
112,147
112,147
112,149
112,150
112,152
112,152
112,153
112,153
112,154
112,154
112,155
112,156
112,157
112,157
112,159
112,160
112,161
112,162
112,162
112,167
112,167
112,168
112,168
112,169
112,169
112,203
112,203
112,207
112,208
113,102
113,102
113,102
113,103
113,103
113,108
113,109
113,109
113,110
113,110
113,113
113,113
113,113
113,114
113,114
113,114
113,117
113,117
113,120
113,121
113,122
113,123
113,127
113,128
113,129
113,132
113,132
113,134
113,141
113,144
113,145
113,149
113,156
113,159
113,159
113,160
113,160
113,160
113,161
113,162
113,163
113,163
113,164
113,167
113,168
113,168
113,169
113,169
113,203
113,207
113,207
113,208
114,102
114,102
114,103
114,103
114,103
114,109
114,113
114,113
114,114
114,114
114,117
114,117
114,120
114,120
114,121
114,122
114,122
114,127
114,129
114,134
114,135
114,142
114,144
114,144
114,159
114,159
114,160
114,163
114,164
114,167
114,168
114,169
114,169
114,169
114,201
114,207
114,207
115,102
115,104
115,104
115,104
115,105
115,106
115,107
115,110
115,110
115,111
115,111
115,112
115,115
115,115
115,116
115,116
115,117
115,117
115,123
115,125
115,126
115,126
115,127
115,128
115,130
115,130
115,131
115,134
115,135
115,136
115,136
115,137
115,138
115,139
115,141
115,145
115,145
115,147
115,150
115,152
115,154
115,155
115,155
115,156
115,160
115,160
115,160
115,161
115,164
115,165
115,165
115,166
115,167
115,203
115,203
115,205
115,207
115,208
116,102
116,102
116,104
116,104
116,104
116,105
116,105
116,105
116,106
116,107
116,107
116,110
116,111
116,112
116,115
116,115
116,115
116,116
116,116
116,116
116,117
116,119
116,124
116,125
116,126
116,126
116,126
116,127
116,128
116,130
116,130
116,130
116,131
116,136
116,136
116,137
116,137
116,139
116,141
116,145
116,145
116,145
116,146
116,146
116,146
116,147
116,147
116,148
116,149
116,149
116,152
116,152
116,154
116,155
116,155
116,160
116,160
116,160
116,165
116,165
116,166
116,167
116,167
116,202
116,203
116,205
116,207
117,102
117,102
117,102
117,103
117,104
117,104
117,105
117,106
117,107
117,110
117,110
117,111
117,111
117,113
117,113
117,113
117,114
117,114
117,115
117,115
117,115
117,116
117,117
117,117
117,117
117,119
117,121
117,125
117,125
117,126
117,126
117,126
117,127
117,127
117,127
117,128
117,129
117,131
117,132
117,134
117,134
117,135
117,135
117,135
117,136
117,136
117,142
117,143
117,145
117,145
117,146
117,146
117,147
117,150
117,154
117,154
117,159
117,159
117,159
117,160
117,160
117,160
117,163
117,163
117,164
117,164
117,164
117,165
117,166
117,167
117,169
117,170
117,170
117,170
117,201
117,204
117,204
117,205
117,206
117,206
117,207
117,207
117,208
118,102
118,103
118,109
118,110
118,110
118,110
118,111
118,114
118,116
118,118
118,118
118,118
118,119
118,119
118,124
118,125
118,127
118,127
118,129
118,130
118,131
118,132
118,132
118,132
118,133
118,133
118,133
118,134
118,134
118,134
118,136
118,140
118,141
118,141
118,141
118,144
118,145
118,146
118,147
118,149
118,149
118,159
118,159
118,160
118,160
118,162
118,167
118,170
118,170
118,170
118,202
118,203
118,205
118,205
118,207
119,102
119,102
119,104
119,104
119,109
119,110
119,110
119,110
119,111
119,113
119,118
119,118
119,119
119,119
119,125
119,127
119,130
119,132
119,132
119,133
119,133
119,134
119,134
119,134
119,135
119,135
119,140
119,141
119,145
119,146
119,147
119,148
119,156
119,159
119,159
119,160
119,160
119,162
119,167
119,170
119,170
119,205
119,205
119,207
120,102
120,102
120,102
120,103
120,104
120,105
120,106
120,107
120,110
120,110
120,113
120,113
120,114
120,114
120,115
120,115
120,116
120,116
120,116
120,117
120,117
120,119
120,120
120,120
120,120
120,121
120,121
120,122
120,122
120,122
120,128
120,128
120,128
120,129
120,133
120,134
120,134
120,144
120,144
120,145
120,146
120,147
120,158
120,159
120,159
120,160
120,160
120,160
120,163
120,163
120,164
120,164
120,164
120,165
120,165
120,165
120,167
120,167
120,168
120,168
120,169
120,169
120,170
120,201
120,207
120,207
120,208
121,102
121,102
121,102
121,103
121,110
121,110
121,111
121,113
121,114
121,117
121,117
121,117
121,119
121,120
121,120
121,121
121,121
121,122
121,127
121,128
121,128
121,129
121,132
121,133
121,133
121,134
121,144
121,148
121,159
121,159
121,160
121,163
121,164
121,164
121,164
121,167
121,167
121,168
121,168
121,169
121,170
121,202
121,203
121,207
121,207
122,102
122,102
122,103
122,104
122,104
122,105
122,105
122,107
122,107
122,110
122,114
122,115
122,115
122,116
122,116
122,120
122,120
122,120
122,121
122,121
122,122
122,122
122,122
122,128
122,128
122,129
122,129
122,133
122,148
122,149
122,159
122,159
122,160
122,163
122,164
122,164
122,165
122,165
122,165
122,167
122,167
122,167
122,168
122,168
122,169
122,202
122,207
123,107
123,116
123,122
123,123
123,127
123,141
123,144
123,156
123,156
123,158
123,160
123,165
123,165
123,167
123,168
123,169
123,202
123,205
123,207
123,207
123,208
124,101
124,102
124,104
124,106
124,107
124,111
124,113
124,118
124,119
124,120
124,120
124,123
124,124
124,124
124,124
124,125
124,125
124,128
124,131
124,132
124,134
124,135
124,135
124,136
124,136
124,141
124,144
124,145
124,148
124,154
124,154
124,155
124,155
124,156
124,164
124,166
124,168
124,169
124,170
124,202
124,203
124,204
124,204
124,205
124,205
124,205
124,207
124,208
124,208
125,101
125,104
125,104
125,105
125,107
125,107
125,110
125,110
125,111
125,111
125,111
125,112
125,115
125,116
125,116
125,117
125,117
125,117
125,119
125,125
125,125
125,125
125,126
125,126
125,127
125,129
125,129
125,130
125,131
125,131
125,132
125,135
125,135
125,135
125,136
125,136
125,136
125,137
125,138
125,145
125,145
125,146
125,146
125,147
125,148
125,150
125,154
125,160
125,160
125,160
125,165
125,165
125,166
125,167
125,167
125,170
125,170
125,170
125,201
125,203
125,204
126,102
126,102
126,102
126,104
126,104
126,104
126,105
126,105
126,105
126,107
126,107
126,107
126,110
126,112
126,112
126,115
126,115
126,116
126,116
126,117
126,117
126,123
126,124
126,125
126,125
126,126
126,126
126,126
126,127
126,127
126,127
126,128
126,129
126,129
126,129
126,130
126,130
126,131
126,131
126,134
126,135
126,135
126,135
126,136
126,136
126,137
126,137
126,141
126,145
126,145
126,146
126,146
126,149
126,149
126,149
126,154
126,155
126,158
126,160
126,160
126,161
126,163
126,165
126,165
126,165
126,166
126,167
126,167
126,168
126,168
126,169
126,202
126,203
126,207
127,102
127,102
127,102
127,103
127,103
127,103
127,104
127,105
127,105
127,105
127,107
127,107
127,107
127,110
127,110
127,110
127,111
127,112
127,112
127,112
127,115
127,115
127,116
127,117
127,120
127,121
127,122
127,123
127,125
127,125
127,126
127,126
127,126
127,127
127,127
127,127
127,128
127,128
127,129
127,129
127,130
127,131
127,135
127,135
127,135
127,136
127,136
127,136
127,137
127,138
127,139
127,139
127,141
127,145
127,145
127,145
127,146
127,146
127,146
127,147
127,147
127,147
127,149
127,149
127,149
127,150
127,152
127,153
127,154
127,154
127,154
127,155
127,155
127,158
127,160
127,161
127,162
127,163
127,164
127,165
127,165
127,165
127,166
127,167
127,167
127,168
