ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,101,101,microtrip,27,,,,,,,12,,,23,26,15,,22,14,25,19,12,,24,,,,12,31,69,219,101_101
7,2019-11-17,101,104,microtrip,,,,,,,,,,16,,,,,,11,,,,,17,,,,0,0,69,44,101_104
7,2019-11-17,101,107,private_transport,,,,,,,,,,,,,,,,21,,,,,,,,,0,0,69,21,101_107
7,2019-11-17,101,110,microtrip,,,,,,,,18,,,,,,,,,,,,,,,,,18,0,69,18,101_110
7,2019-11-17,101,111,microtrip,,,,,,,,11,,,,,,,,,,13,14,,,,,,11,27,69,38,101_111
7,2019-11-17,101,112,private_transport,,,,53,,,,,,,,,,,,,,,,,,,,,0,0,69,53,101_112
7,2019-11-17,101,115,microtrip,,,,,,,,,,,,,,,,12,,10,,,,,,,0,10,69,22,101_115
7,2019-11-17,101,116,microtrip,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,69,11,101_116
7,2019-11-17,101,117,microtrip,,,,,,,,,14,,,,,,,,,,,11,,,,,14,0,69,25,101_117
7,2019-11-17,101,119,microtrip,,,,,,,,,,,,,,,,,10,13,,,,,,,0,13,69,23,101_119
7,2019-11-17,101,125,microtrip,20,,,,,,10,10,,18,23,,18,19,,20,13,15,34,29,24,31,13,,10,49,69,297,101_125
7,2019-11-17,101,130,microtrip,,,,,,,,10,12,,,,,,16,,13,,,15,,,,,22,0,69,66,101_130
7,2019-11-17,101,130,private_transport,,,,,,,,,,,,,,,,,,,43,,,,,,0,43,69,43,101_130
7,2019-11-17,101,131,microtrip,10,,,,,,,,,,,,,17,10,,,14,,,11,16,,,0,14,69,78,101_131
7,2019-11-17,101,134,microtrip,,,,,,,,,,,,,,,,,,12,,,11,,,,0,12,69,23,101_134
7,2019-11-17,101,135,microtrip,,,,,,,,,,,,,,,,,,,,,,13,,,0,0,69,13,101_135
7,2019-11-17,101,136,microtrip,,,,,,,,,,10,,,10,,,15,11,,,,,11,10,,0,0,69,67,101_136
7,2019-11-17,101,137,microtrip,,,,,,,,,,12,,,,,,,,,,,,,,,0,0,69,12,101_137
7,2019-11-17,101,145,microtrip,21,,,,,,,,,11,19,,15,14,,,14,,18,10,12,18,,,0,18,69,152,101_145
7,2019-11-17,101,146,microtrip,,,,,,,,,,16,,,,,,,,,,,,,,,0,0,69,16,101_146
7,2019-11-17,101,147,microtrip,,,,,,,,,,10,,,,,,10,,,,,,,,,0,0,69,20,101_147
7,2019-11-17,101,148,private_transport,,,,,,,,,,,,,,,73,,,,,,,,,,0,0,69,73,101_148
7,2019-11-17,101,149,private_transport,,,,,,,,,,,,,,,12,,,,,,,,,,0,0,69,12,101_149
7,2019-11-17,101,150,microtrip,,,,,,,,,,,,,,,,,13,,,11,,,,,0,0,69,24,101_150
7,2019-11-17,101,154,microtrip,,,,,,,,,,,11,,,,,,,,,,,,,,0,0,69,11,101_154
7,2019-11-17,101,157,private_transport,,,,20,,,,,,,,,,,,,,,,,,,,,0,0,69,20,101_157
7,2019-11-17,101,160,microtrip,,,,,,,,,,,,10,,,,10,,,,13,,,,,0,0,69,33,101_160
7,2019-11-17,101,165,bus,,,,,,,,,,,,,,,,11,,,,,,,,,0,0,69,11,101_165
7,2019-11-17,101,165,private_transport,,,,,,,,,,,,,,,11,47,,,,,,,,,0,0,69,58,101_165
7,2019-11-17,101,166,microtrip,,,,,,,,,,,,,16,,21,15,13,,13,,15,11,,,0,13,69,104,101_166
7,2019-11-17,101,170,microtrip,,,,,,,,,,,,,10,,,,,,,,,,,,0,0,69,10,101_170
7,2019-11-17,101,202,private_transport,,,,,,,,,,,,,,,12,,,,,,,,,,0,0,69,12,101_202
7,2019-11-17,101,203,private_transport,,,,,,,,,,,,,,,44,,,,,,,,,,0,0,69,44,101_203
7,2019-11-17,101,204,microtrip,,,,,,,,,,11,,,,,,,,,11,,,,,,0,11,69,22,101_204
7,2019-11-17,101,205,microtrip,,,,,,,,,,,,10,,,,,,,,,,,,,0,0,69,10,101_205
7,2019-11-17,101,207,private_transport,,,,,,,,16,,,,,,,,,,,,,,,,,16,0,69,16,101_207
7,2019-11-17,102,102,bus,,,,,,11,,,,13,,,,,,,,,,,,,,,0,0,69,24,102_102
7,2019-11-17,102,102,microtrip,56,20,27,,16,,42,44,37,74,65,98,95,59,59,69,117,84,96,108,69,58,46,15,81,180,69,1354,102_102
7,2019-11-17,102,102,private_transport,40,,,,,16,,,41,13,10,,21,,,,,,19,,,15,,,41,19,69,175,102_102
7,2019-11-17,102,103,microtrip,13,,,,,,,,,,21,37,22,,10,19,19,,12,17,21,17,,,0,12,69,208,102_103
7,2019-11-17,102,103,private_transport,26,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,26,102_103
7,2019-11-17,102,104,microtrip,10,,,,,,,,,,12,,11,,,11,,14,23,,,,,,0,37,69,81,102_104
7,2019-11-17,102,105,microtrip,,,,,,,,,,,,,,,14,,,,,14,,,,,0,0,69,28,102_105
7,2019-11-17,102,106,microtrip,,,,,,,,,,,,19,,12,16,12,13,14,,,,,,,0,14,69,86,102_106
7,2019-11-17,102,107,microtrip,13,,,,,,,,,,,,,,,,,10,,13,,,,,0,10,69,36,102_107
7,2019-11-17,102,108,private_transport,,,,,,,,,,,19,,,,,,,,,,,,,,0,0,69,19,102_108
7,2019-11-17,102,110,microtrip,12,,,,11,,,,,,12,,21,,,,16,11,,23,,12,,,0,11,69,118,102_110
7,2019-11-17,102,110,private_transport,,,,12,,,,,14,,,,,,,,,,,,,,,,14,0,69,26,102_110
7,2019-11-17,102,111,microtrip,,,,,,,,,,,,,13,,,,,,,,,,12,,0,0,69,25,102_111
7,2019-11-17,102,112,private_transport,33,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,33,102_112
7,2019-11-17,102,113,bus,,,,,,,,,,,,,,,,,11,,,,,,,,0,0,69,11,102_113
7,2019-11-17,102,113,microtrip,13,,,,,,,,,13,,18,17,,,14,18,19,,,20,,,,0,19,69,132,102_113
7,2019-11-17,102,113,private_transport,,,,,,,,,10,,,,,,,15,14,,,,,,,,10,0,69,39,102_113
7,2019-11-17,102,114,bus,,,,,,,,,,,,,,,,16,,,,,,,,,0,0,69,16,102_114
7,2019-11-17,102,114,microtrip,,,,,,,,,,,,,16,,12,10,12,14,,,17,11,,,0,14,69,92,102_114
7,2019-11-17,102,114,private_transport,,,,,,,,,,,,,,,,17,,,12,,,17,,,0,12,69,46,102_114
7,2019-11-17,102,115,bus,,,,,,,,,,,22,,,,,,,,,,,,,,0,0,69,22,102_115
7,2019-11-17,102,115,microtrip,,,,,12,,,,,,,,,,,16,,,18,,,,,,0,18,69,46,102_115
7,2019-11-17,102,115,private_transport,,,,,,,,,,,24,,,,,,,,,,,,,,0,0,69,24,102_115
7,2019-11-17,102,116,bus,,,,,,,,,,,11,,,,,,,,,,,,,,0,0,69,11,102_116
7,2019-11-17,102,116,microtrip,,,,,,,,,,,,,,,13,10,,,12,,,,,,0,12,69,35,102_116
7,2019-11-17,102,116,private_transport,21,,,,,,,,,,,,,,,,,,,,,,,,0,0,69,21,102_116
7,2019-11-17,102,117,bus,,,,,,,,,16,,,,,,,,,,,,,,,,16,0,69,16,102_117
7,2019-11-17,102,117,microtrip,11,,,,,,,14,,19,20,12,56,30,20,36,33,32,23,29,17,22,,,14,55,69,374,102_117
7,2019-11-17,102,117,private_transport,,,,,,,,,22,,,,,,,,,,,,,,,,22,0,69,22,102_117
7,2019-11-17,102,118,private_transport,,,,,,,,,,,,,,,10,,,,,,,,,,0,0,69,10,102_118
7,2019-11-17,102,119,microtrip,10,,,,,,,,,,,,,,,,,,,17,,,,,0,0,69,27,102_119
7,2019-11-17,102,120,bus,,,,,,,,,,18,,,,,,,,,,,,,,,0,0,69,18,102_120
7,2019-11-17,102,120,microtrip,11,10,,,,,,,,25,26,38,10,,17,21,37,31,22,25,29,16,14,,0,53,69,332,102_120
7,2019-11-17,102,120,private_transport,,,,,,13,,,26,,,,,,,,,,,,,32,,,26,0,69,71,102_120
7,2019-11-17,102,121,microtrip,19,,,,,11,11,,,20,23,28,,,,,,,,10,17,,,,0,0,69,139,102_121
7,2019-11-17,102,121,private_transport,11,,,,,,,,,,,,,,,,,,,,20,,,,0,0,69,31,102_121
