ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359,Total_M,Total_T,Total_MT,Total,Chave_O+D
7,2019-11-17,101,101,microtrip,,,,,,12,,15,,,,,,16,,,,21,,,,,,,15,21,36,64,101_101
7,2019-11-17,101,110,microtrip,,,,,,,,,,,,,,,,,,,,,,,,11,0,0,0,11,101_110
7,2019-11-17,101,111,microtrip,,,,,,,,,,,11,,,,,,,,,,,,,10,0,0,0,21,101_111
7,2019-11-17,101,125,microtrip,10,,,,,,10,,,11,,,,,16,,,,,,,,12,15,0,0,0,74,101_125
7,2019-11-17,101,130,microtrip,,,,,13,,,,,,,14,,,,,,,,,,,,,0,0,0,27,101_130
7,2019-11-17,101,131,microtrip,,,,,,,,,,,10,,,11,,,,13,,,,,10,,0,13,13,44,101_131
7,2019-11-17,101,136,microtrip,,,,,,,10,,,,,,,,,,,11,,,10,10,,,0,11,11,41,101_136
7,2019-11-17,101,145,microtrip,,,,,,,,,,,,,11,,11,15,,,,12,,,,,0,0,0,49,101_145
7,2019-11-17,101,150,microtrip,,,,,,,,,,,,,,,,,11,,,,,,,,0,0,0,11,101_150
7,2019-11-17,101,166,microtrip,,,13,,,,,,,11,,,,,,,,,10,16,,,,,0,10,10,50,101_166
7,2019-11-17,101,204,microtrip,,,,,,,,,,,,,,,,,,11,,,,,,,0,11,11,11,101_204
7,2019-11-17,102,102,bus,,,,,,,,,,,,11,,,,,,,,,,,,,0,0,0,11,102_102
7,2019-11-17,102,102,microtrip,20,,12,14,,,,,21,24,13,,33,22,23,17,25,12,11,11,16,,17,,21,23,44,291,102_102
7,2019-11-17,102,102,private_transport,,,,,,,,,,,,12,,,,,,,10,,,,,,0,10,10,22,102_102
