ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
31,2019-11-20,0,121,bus,,,,,,,10.0,,,,,,,,,,,,,,,,,
31,2019-11-20,0,121,microtrip,,,,,,,10.0,,,,,,,,,,,,,,,,,
31,2019-11-20,0,121,private_transport,,,,,,,10.0,,,,,,,,,,,,,,,,,
31,2019-11-20,0,45,bus,,,,,12.0,,,,,,,,,,,,,,,,,,,
31,2019-11-20,0,45,microtrip,,,,,12.0,,,,,,,,,,,,,,,,,,,
31,2019-11-20,0,45,private_transport,,,,,12.0,,,,,,,,,,,,,,,,,,,
31,2019-11-20,0,62,bus,,,,,,10.0,,,,,,,,,,,,,,,,,,
31,2019-11-20,0,62,microtrip,,,,,,10.0,,,,,,,,,,,,,,,,,,
31,2019-11-20,0,62,private_transport,,,,,,10.0,,,,,,,,,,,,,,,,,,
31,2019-11-20,0,77,bus,,,,,13.0,,,,,,,,,,,,,,,,,,,
31,2019-11-20,0,77,microtrip,,,,,13.0,,,,,,,,,,,,,,,,,,,
31,2019-11-20,0,77,private_transport,,,,,13.0,,,,,,,,,,,,,,,,,,,
31,2019-11-20,10,77,bus,,,,,10.0,,,,,,,,,,,,,,,,,,,
31,2019-11-20,10,77,microtrip,,,,,10.0,,,,,,,,,,,,,,,,,,,
31,2019-11-20,10,77,private_transport,,,,,10.0,,,,,,,,,,,,,,,,,,,
31,2019-11-20,100,45,bus,,,,,,,,12.0,,,,,12.0,,,,,11.0,,,,,,
31,2019-11-20,100,45,microtrip,,,,,,,,12.0,,,,,12.0,,,,,11.0,,,,,,
31,2019-11-20,100,45,private_transport,,,,,,,,12.0,,,,,12.0,,,,,11.0,,,,,,
31,2019-11-20,100,100,bus,,,,,,,,,,,12.0,,,,11.0,,,,,,,,,
31,2019-11-20,100,100,microtrip,,,,,,,,,,,12.0,,,,11.0,,,,,,,,,
31,2019-11-20,100,100,private_transport,,,,,,,,,,,12.0,,,,11.0,,,,,,,,,
31,2019-11-20,100,103,bus,,,,,,,,,,,,,,,,11.0,,,,,,,,
31,2019-11-20,100,103,microtrip,,,,,,,,,,,,,,,,11.0,,,,,,,,
31,2019-11-20,100,103,private_transport,,,,,,,,,,,,,,,,11.0,,,,,,,,
31,2019-11-20,100,107,bus,,,,,,,,,10.0,,,,,,,,,11.0,,,,,,
31,2019-11-20,100,107,microtrip,,,,,,,,,10.0,,,,,,,,,11.0,,,,,,
31,2019-11-20,100,107,private_transport,,,,,,,,,10.0,,,,,,,,,11.0,,,,,,
