ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
34,2020-03-05,101,101,bus,,,,,,,,,30.0,,,,,,,,,,37.0,,,,,
34,2020-03-05,101,101,microtrip,13.0,,,,,13.0,35.0,20.0,18.0,24.0,20.0,11.0,35.0,29.0,31.0,19.0,21.0,47.0,14.0,,23.0,,,
34,2020-03-05,101,101,private_transport,,,,,,,,,24.0,,,,,,,,,,65.0,,,,,
34,2020-03-05,101,102,microtrip,,,,,,,,,,,,,,,,,10.0,,,,,,,
34,2020-03-05,101,102,private_transport,,,,,,,,,,,,84.0,,,,,,,,,,,,
34,2020-03-05,101,104,microtrip,,,,,,,13.0,,,16.0,,,,,,13.0,,,,,,,,
34,2020-03-05,101,110,bus,,,,,,,,,,15.0,,,,,,,,,,,,,,
34,2020-03-05,101,110,microtrip,,,,,,,,,12.0,,13.0,12.0,10.0,34.0,,,10.0,11.0,,,,11.0,,
34,2020-03-05,101,110,private_transport,,,,,,,,,,30.0,,,,,,,,,,,,,,
34,2020-03-05,101,111,bus,,,,,,,,,,25.0,,,,,,,,,,,,,,
34,2020-03-05,101,111,microtrip,,,,10.0,,,,,,14.0,,,,24.0,,17.0,11.0,10.0,,10.0,,,,
34,2020-03-05,101,111,private_transport,,,,,,,,,,42.0,,,,,,,,,,,,,,
34,2020-03-05,101,115,microtrip,,,11.0,,,,10.0,18.0,,,,13.0,,,,,,,,,,,,
34,2020-03-05,101,116,microtrip,,,,,,,,,,,,,,,,,10.0,,,12.0,,,,
34,2020-03-05,101,117,microtrip,,11.0,,,,,,12.0,,,,,,,,,15.0,,,,,,,
34,2020-03-05,101,118,microtrip,,,,,,,,,,,,,,,12.0,,,,,,,,,
34,2020-03-05,101,119,microtrip,,11.0,,,,,,,,,,,,,,,,,,,,,,
34,2020-03-05,101,124,microtrip,,,,,,,,,,,,,,,,,10.0,,,,,,,
34,2020-03-05,101,125,microtrip,33.0,,,,12.0,,47.0,24.0,,,38.0,25.0,28.0,19.0,29.0,27.0,85.0,50.0,68.0,34.0,20.0,21.0,,15.0
34,2020-03-05,101,126,bus,,,,,,,,13.0,,,,,,,,,,,,,,,,
34,2020-03-05,101,126,private_transport,,,,,,,,,10.0,,,,,,,,,,,,,,,
34,2020-03-05,101,127,bus,,,,,,,,78.0,41.0,,,,,,,,,,,,,,,
34,2020-03-05,101,127,private_transport,,,,,,,,29.0,60.0,,,,,,,,,,,,,,,
34,2020-03-05,101,130,microtrip,14.0,,,12.0,11.0,,,11.0,,10.0,,,14.0,25.0,,,14.0,26.0,27.0,,,,,
34,2020-03-05,101,131,microtrip,23.0,,10.0,,,,,18.0,,,18.0,15.0,,10.0,20.0,,20.0,18.0,27.0,,15.0,,11.0,
34,2020-03-05,101,134,microtrip,,,,,,,13.0,,,,10.0,,,,,,,,,,,,,
34,2020-03-05,101,135,microtrip,,,,,,,,21.0,,,,,,,13.0,,,,,,,,10.0,
34,2020-03-05,101,136,microtrip,13.0,,,,,,,11.0,,11.0,11.0,18.0,10.0,,17.0,10.0,25.0,12.0,21.0,,,14.0,,12.0
34,2020-03-05,101,137,microtrip,,,,,,,11.0,,,,,,,,,,,,,,,,,
34,2020-03-05,101,145,bus,,,,,,,,,14.0,,,,,,,,,,13.0,,,,,
34,2020-03-05,101,145,microtrip,16.0,10.0,,,,14.0,19.0,13.0,13.0,16.0,,10.0,17.0,20.0,17.0,13.0,28.0,16.0,43.0,20.0,16.0,20.0,12.0,
34,2020-03-05,101,145,private_transport,,,,,,,,,,,,,,,,,,,18.0,,,,,
34,2020-03-05,101,146,microtrip,,,,,,,,14.0,17.0,13.0,,18.0,10.0,16.0,,,,10.0,,,,,,
34,2020-03-05,101,147,microtrip,,,,,,,,,,,,11.0,10.0,,,,,13.0,12.0,,,,,
34,2020-03-05,101,148,bus,,,,,,,,,,,,,,,,,,22.0,,,,,,
34,2020-03-05,101,148,private_transport,,,,,,,,,,,,,,,,,,34.0,,,,,,
34,2020-03-05,101,150,microtrip,,,,,,,,,,,,11.0,,,10.0,11.0,,,,,,,,
34,2020-03-05,101,151,microtrip,,,,,,,,16.0,,,,,,,,,,,,,,,,
34,2020-03-05,101,152,microtrip,,,,,,,,14.0,,,,12.0,,,,,,,13.0,,,,,
34,2020-03-05,101,160,microtrip,,,,,,,,,14.0,,,,,23.0,24.0,25.0,12.0,32.0,,,,,,
34,2020-03-05,101,160,private_transport,,,,,,,,,,,,11.0,,,,,,,,,,,,
34,2020-03-05,101,166,bus,,,,,,,,,,,,,,,,,,,13.0,,,,,
34,2020-03-05,101,166,microtrip,11.0,,,,13.0,,18.0,12.0,25.0,,26.0,,11.0,36.0,24.0,15.0,20.0,37.0,15.0,29.0,16.0,,18.0,
34,2020-03-05,101,166,private_transport,,,,,,,,,,,,,,,,,,,20.0,,,,,
34,2020-03-05,101,170,bus,,,,,,,,,,12.0,,,,,,,,,,,,,,
34,2020-03-05,101,170,microtrip,,,,,,,,13.0,,,10.0,,,,,,10.0,17.0,10.0,,,12.0,,
34,2020-03-05,101,170,private_transport,,,,,,,,,,30.0,,,,,,,,,,,,,,
34,2020-03-05,101,203,bus,,,,,,,,,,,,,,,,,,23.0,,,,,,
34,2020-03-05,101,203,private_transport,,,,,,,,,,,,,,,,,,29.0,,,,,,
34,2020-03-05,101,204,microtrip,,,,,,,,,,,12.0,,11.0,,,,12.0,,,,,,,
34,2020-03-05,101,205,bus,,,,,,,,,,12.0,,,,,,,,,,,,,,
34,2020-03-05,101,205,microtrip,,,,,,,,,,,,,,,,,,,,,,10.0,,
34,2020-03-05,101,314,private_transport,,,,,,,,,10.0,,,,,,,,,,,,,,,
34,2020-03-05,101,323,private_transport,,,,,,,,,,,,,,,,10.0,,,,,,,,
34,2020-03-05,101,325,private_transport,,,,,,,,,,,,,,,,114.0,,,,,,,,
34,2020-03-05,102,102,bus,,,,,,,,,,,122.0,18.0,86.0,11.0,21.0,76.0,120.0,38.0,58.0,,103.0,,,
34,2020-03-05,102,102,microtrip,67.0,23.0,17.0,,24.0,57.0,131.0,253.0,258.0,246.0,267.0,276.0,456.0,329.0,377.0,672.0,456.0,536.0,467.0,203.0,250.0,110.0,97.0,29.0
34,2020-03-05,102,102,private_transport,142.0,,,,,12.0,,10.0,48.0,43.0,93.0,29.0,59.0,19.0,30.0,104.0,17.0,34.0,78.0,,23.0,,,
34,2020-03-05,102,103,bus,,,,,,,,,,,11.0,,,,,11.0,,,18.0,,,,,
34,2020-03-05,102,103,microtrip,11.0,15.0,,,,,32.0,57.0,50.0,63.0,53.0,76.0,105.0,46.0,78.0,118.0,118.0,138.0,95.0,62.0,31.0,40.0,33.0,13.0
34,2020-03-05,102,103,private_transport,11.0,,,,,,,,,,37.0,,,,,,,,30.0,,,,,
34,2020-03-05,102,104,bus,,,,,,,,,,,,,,,,26.0,,,,16.0,,,,
34,2020-03-05,102,104,microtrip,12.0,,,,,,10.0,37.0,33.0,20.0,31.0,34.0,30.0,26.0,27.0,43.0,45.0,35.0,67.0,40.0,40.0,15.0,,11.0
34,2020-03-05,102,104,private_transport,,,,,,,,,,,,10.0,,57.0,,21.0,,,,16.0,,,,
34,2020-03-05,102,105,bus,,,,,,,,,,,,,26.0,,27.0,,,29.0,17.0,,,,,
34,2020-03-05,102,105,microtrip,,,,,11.0,13.0,,,20.0,19.0,17.0,,11.0,,16.0,10.0,32.0,11.0,33.0,,,11.0,,
34,2020-03-05,102,105,private_transport,,,,,,,,,,,,,18.0,79.0,21.0,,34.0,25.0,47.0,,,,,
34,2020-03-05,102,106,microtrip,,17.0,,,,,19.0,25.0,34.0,15.0,31.0,41.0,55.0,22.0,19.0,24.0,69.0,67.0,58.0,43.0,29.0,12.0,13.0,
34,2020-03-05,102,106,private_transport,,,,,,,,,,,,,,21.0,,,,,,,,,,
34,2020-03-05,102,107,bus,,,,,,,,,,,,,17.0,,27.0,,,21.0,,,,,,
34,2020-03-05,102,107,microtrip,10.0,,,,,10.0,,17.0,15.0,,14.0,16.0,13.0,14.0,,18.0,19.0,27.0,17.0,16.0,19.0,10.0,,10.0
34,2020-03-05,102,107,private_transport,,,,,,,,,,,,,10.0,24.0,22.0,,35.0,17.0,38.0,,,,,
34,2020-03-05,102,108,bus,,,,,,,,,,,,,12.0,,,,85.0,25.0,,,,,,
34,2020-03-05,102,108,microtrip,,,,,,,,,,,,,,11.0,,12.0,,13.0,,,,,,
34,2020-03-05,102,108,private_transport,,,,,,,,,,,,,12.0,,,,133.0,33.0,,,,,,
34,2020-03-05,102,110,bus,,,,,,,,,,,,,12.0,,,,,,18.0,,,,,
34,2020-03-05,102,110,microtrip,,,,,,,,13.0,,24.0,17.0,20.0,12.0,17.0,28.0,31.0,30.0,25.0,39.0,15.0,27.0,,18.0,
34,2020-03-05,102,110,private_transport,,,,,,,,,,,,,,,,,,,20.0,,,,,
34,2020-03-05,102,111,bus,,,,,,,,,,,,,,,,,,13.0,,,,,,
34,2020-03-05,102,111,microtrip,,,,,,,,,,13.0,,,,,11.0,23.0,14.0,11.0,16.0,12.0,10.0,10.0,11.0,
34,2020-03-05,102,111,private_transport,,,,,,,,,,,,,,,,,,11.0,,,,,,
34,2020-03-05,102,112,bus,,,,,,,,,,,,,,,,55.0,,20.0,,,,,,
34,2020-03-05,102,112,private_transport,,,,,,,,,,,,,,,,10.0,,38.0,,,,,,
34,2020-03-05,102,113,bus,,,,,,,,,,,12.0,,,,,,,,,,,,,
34,2020-03-05,102,113,microtrip,,,,,,,23.0,20.0,25.0,13.0,21.0,17.0,39.0,12.0,21.0,19.0,21.0,34.0,45.0,33.0,14.0,,10.0,
34,2020-03-05,102,113,private_transport,,,,,,,,,,14.0,12.0,,,,,,,,,,,,,
34,2020-03-05,102,114,bus,,,,,,,,20.0,,,,,19.0,,,,12.0,12.0,,11.0,,,,
34,2020-03-05,102,114,microtrip,,,,10.0,,10.0,22.0,30.0,22.0,18.0,14.0,30.0,33.0,38.0,21.0,28.0,19.0,54.0,70.0,36.0,29.0,28.0,,
34,2020-03-05,102,114,private_transport,,,,,,,,12.0,,23.0,,,14.0,,14.0,,,12.0,,,,,,
34,2020-03-05,102,115,bus,,,,,,,,,,,,,,,,12.0,,,,,,,,
34,2020-03-05,102,115,microtrip,,,,,,,,,11.0,10.0,,14.0,22.0,,23.0,29.0,19.0,39.0,37.0,18.0,38.0,,,
34,2020-03-05,102,115,private_transport,,,,,,,,,,,,,,,,,,,,14.0,,,,
34,2020-03-05,102,116,bus,,,,,,,,,,,20.0,,,,,,,,,,,,,
34,2020-03-05,102,116,microtrip,,,,,,,,,14.0,10.0,12.0,15.0,13.0,,,,14.0,14.0,24.0,21.0,12.0,,,
34,2020-03-05,102,116,private_transport,,,,,,,,,,,22.0,,,,,,,,,,,,,
34,2020-03-05,102,117,bus,,,,,,,,,,77.0,19.0,,40.0,18.0,13.0,,,,24.0,,,,,
34,2020-03-05,102,117,microtrip,27.0,,11.0,,,11.0,43.0,71.0,83.0,91.0,87.0,90.0,119.0,73.0,175.0,159.0,224.0,211.0,180.0,87.0,57.0,61.0,30.0,22.0
34,2020-03-05,102,117,private_transport,,,,,,,,,,64.0,56.0,,,,23.0,,,,17.0,,,,,
34,2020-03-05,102,118,bus,,,,,,,,,,,,11.0,,,,,,,,,,,,
34,2020-03-05,102,118,microtrip,,,,,,,,,,,,,,10.0,,10.0,17.0,,,,,,,
34,2020-03-05,102,118,private_transport,,,,,,,,,,,,14.0,,,,,,,,,,,,
34,2020-03-05,102,119,bus,,,,,,,,,,31.0,,11.0,,,,,,,,,,,,
34,2020-03-05,102,119,microtrip,,,,,,,,19.0,11.0,16.0,,,,,,,21.0,10.0,10.0,19.0,,,,
34,2020-03-05,102,119,private_transport,,,,,,,,,,19.0,,,,,,,,,,,,,,
34,2020-03-05,102,120,bus,,,,,,15.0,,,24.0,,31.0,,33.0,11.0,22.0,20.0,,39.0,21.0,,,,,
34,2020-03-05,102,120,microtrip,20.0,,,,,20.0,22.0,70.0,47.0,62.0,51.0,41.0,61.0,75.0,92.0,65.0,90.0,104.0,100.0,72.0,85.0,88.0,51.0,17.0
34,2020-03-05,102,120,private_transport,,,,,,21.0,,,103.0,13.0,35.0,38.0,,20.0,,61.0,,48.0,13.0,,,,,
34,2020-03-05,102,121,bus,,,,,,,,15.0,,,,,48.0,,,63.0,,10.0,14.0,,,,,
34,2020-03-05,102,121,microtrip,11.0,10.0,,,11.0,10.0,,24.0,28.0,28.0,26.0,11.0,22.0,43.0,42.0,43.0,44.0,51.0,48.0,35.0,47.0,32.0,27.0,
34,2020-03-05,102,121,private_transport,,,,,,,,12.0,,,,,43.0,,,42.0,,,18.0,,15.0,,,
34,2020-03-05,102,122,bus,,,,,,,,,44.0,,15.0,,,,,20.0,,,13.0,,,,,
34,2020-03-05,102,122,microtrip,,,,,14.0,,23.0,27.0,35.0,37.0,24.0,27.0,37.0,25.0,22.0,22.0,50.0,64.0,51.0,46.0,34.0,44.0,10.0,
34,2020-03-05,102,122,private_transport,,,,,,,,,30.0,,12.0,,,,,,,,14.0,,36.0,,,
34,2020-03-05,102,123,bus,,,,,,,,,,,,,,,,,,,,,21.0,,,
34,2020-03-05,102,124,bus,,,,,,,,,,,,,,,,,,73.0,,,,,,
34,2020-03-05,102,124,private_transport,,,,,,,,,,,,,,,,,,15.0,,,,,,
34,2020-03-05,102,125,bus,,,,,,,,,,,10.0,,,,,,,,,,,,,
34,2020-03-05,102,125,private_transport,,,,,,,,,,,10.0,,,,,,,,,,,,,
34,2020-03-05,102,126,bus,,,,,,,,,,,,,,14.0,,,,,,,,,,
34,2020-03-05,102,126,microtrip,16.0,,,,,13.0,,16.0,,,,,,10.0,,13.0,16.0,24.0,48.0,30.0,12.0,12.0,,
34,2020-03-05,102,126,private_transport,,,,,,,,,,10.0,,,,,,,,,,,,,,
34,2020-03-05,102,127,bus,,,,,,,,,,,,,,40.0,,,29.0,13.0,,,,,,
34,2020-03-05,102,127,microtrip,,,,,,,,,,,,,,,,,,,12.0,,10.0,,,
34,2020-03-05,102,127,private_transport,,,,,,,,,,17.0,,,,,,,,23.0,,,,,,
34,2020-03-05,102,128,bus,,,,,,,32.0,,,,,27.0,,,,,29.0,,,,22.0,,,
34,2020-03-05,102,128,microtrip,38.0,13.0,11.0,,,19.0,34.0,36.0,25.0,38.0,43.0,36.0,91.0,44.0,52.0,60.0,74.0,133.0,98.0,70.0,44.0,54.0,53.0,34.0
34,2020-03-05,102,128,private_transport,,,,,,13.0,,,15.0,,14.0,25.0,,21.0,,39.0,,10.0,,,,,,
34,2020-03-05,102,129,bus,,,,,,,,,15.0,,,,,,,,,,,10.0,,,,
34,2020-03-05,102,129,microtrip,21.0,12.0,,,,,14.0,26.0,11.0,14.0,,12.0,,11.0,21.0,10.0,29.0,34.0,50.0,34.0,28.0,18.0,14.0,22.0
34,2020-03-05,102,129,private_transport,,,,,,,,,13.0,,,,,,,,,,,10.0,,,,
34,2020-03-05,102,130,bus,,,,,,,,,,,51.0,,,,,,,12.0,,,,,,
34,2020-03-05,102,130,microtrip,,,,,,,,10.0,,,,19.0,,,,,11.0,15.0,,,10.0,13.0,10.0,
34,2020-03-05,102,130,private_transport,,,,,,,,,,,73.0,,,,,,,10.0,,,,,,
34,2020-03-05,102,131,bus,,,,,,,,,,,23.0,,,,,,,,,,,,,
34,2020-03-05,102,131,microtrip,,,,,,,,,,,,,,,,,,,,,10.0,,,
34,2020-03-05,102,131,private_transport,,,,,,,,,,,22.0,,,,,,,,,,,,,
34,2020-03-05,102,132,bus,,,,,,15.0,,,,22.0,,19.0,,,,,75.0,,,,,,,
34,2020-03-05,102,132,microtrip,,,,,,,10.0,21.0,,,,12.0,17.0,19.0,15.0,17.0,27.0,25.0,42.0,29.0,26.0,12.0,,
