ProjectID,Date,Origin,Destination,Modo,0000_0059,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
40,2019-11-19,100:206,151:119,bus,,,,,,,,,,,,13.0,,,,,,,,,,
40,2019-11-19,100:206,151:119,private_transport,,,,,,,,,,,,13.0,,,,,,,,,,
40,2019-11-19,100:206,276:144,bus,,,,,,,,12.0,,,,,,,,,,,,,,
40,2019-11-19,100:206,276:144,private_transport,,,,,,,,11.0,,,,,,,,,,,,,,
40,2019-11-19,100:206,93:114,bus,,,,,,,,11.0,,,,,,,,,,,,,,
40,2019-11-19,101:205,104:202,private_transport,,11.0,,,,,,,,,,,,,,,,,,,,
40,2019-11-19,101:205,110:168,bus,,,,,,,12.0,,,,,,,,,,,,,,,
40,2019-11-19,101:205,110:168,private_transport,,15.0,,,,,15.0,,,,,,,,,,,,,,,
40,2019-11-19,102:204,110:168,bus,,,,,,,10.0,,,,,,,,,,,,,,,
40,2019-11-19,102:204,108:170,bus,,,,,,,,,11.0,,,,,,,,,,,,,
40,2019-11-19,102:204,108:170,private_transport,,,,,,,,,10.0,,,,,,,,,,,,,
40,2019-11-19,103:203,103:203,bus,,,,,,,,,,,,,,,10.0,,,,,,,
40,2019-11-19,103:203,103:203,private_transport,,,,,,,,,,,,,,,13.0,,,,,,,
40,2019-11-19,103:203,138:148,private_transport,,,,,,,,,,,,,,,22.0,,,,,,,
40,2019-11-19,103:203,25:525,bus,,,,,,36.0,,,,,,,,,,,,,,,,
40,2019-11-19,103:203,25:525,private_transport,,,,,,81.0,,,,,,,,,,,,,,,,
40,2019-11-19,103:203,58:303,private_transport,,,,,,,,,,,,,,,,,,10.0,,,,
40,2019-11-19,104:202,276:144,private_transport,18.0,,,,,,,,,,,,,,,,,,,,,
40,2019-11-19,104:202,104:202,private_transport,,,,,,,,,,,,,,,,,13.0,,,,,
40,2019-11-19,104:202,110:168,private_transport,48.0,,,,,,,,,,,,,,,,13.0,,,,,
40,2019-11-19,104:202,58:303,bus,,,,,,,,,,,,,42.0,,,,,,,,,
40,2019-11-19,104:202,58:303,private_transport,,,,,,,,,,,,,26.0,,,,,,,,,
40,2019-11-19,104:202,109:169,private_transport,14.0,,,,,,,,,,,,,,,,,,,,,
40,2019-11-19,104:202,157:129,bus,,,,,,,,,,,,,,,,,,,,10.0,,
40,2019-11-19,104:202,61:413,private_transport,,,,,,,,,,,,,,,,74.0,,,,,,
40,2019-11-19,104:202,98:217,private_transport,29.0,,,,,,,,,,,,,,,,,,,,,
40,2019-11-19,105:201,110:168,bus,,,,,,49.0,,,,,,,,,,,,,,,,
40,2019-11-19,105:201,110:168,private_transport,64.0,,,,,26.0,,,,,,,,,,,,,,,,
40,2019-11-19,105:201,109:169,private_transport,14.0,,,,,,,,,,,,,,,,,,,,,
40,2019-11-19,105:201,105:201,bus,,,,,,,,,,,,12.0,,,,,,,,,,
40,2019-11-19,105:201,105:201,private_transport,,,,,,,,35.0,,,,10.0,,,,,,,,,,
40,2019-11-19,105:201,106:208,bus,,,,,,,,,,,,11.0,,,,,,,,,,
40,2019-11-19,105:201,106:208,private_transport,,,,,,,,25.0,,,,12.0,,,,,,,,,,
40,2019-11-19,105:201,107:207,bus,,,,,,,,,,,,,,,,,,10.0,,,,
40,2019-11-19,105:201,149:121,private_transport,13.0,,,,,,,,,,,,,,,,,,,,,
40,2019-11-19,105:201,57:310,private_transport,,,,,,,,18.0,,,,,,,,,,,,,,
40,2019-11-19,106:208,110:168,bus,,,,,,29.0,,,,,,,10.0,,,,,,,,,
40,2019-11-19,106:208,110:168,private_transport,,,,,,16.0,,,,,,,,,,,,,,,,
40,2019-11-19,106:208,157:129,private_transport,,,,,,,,,,,,,,,,,,,,10.0,,
40,2019-11-19,106:208,105:201,bus,,,,,,,,,,,,13.0,,,,,,,,,,
40,2019-11-19,106:208,105:201,private_transport,,,,,,,,15.0,,,,14.0,,,,,,,,,,
40,2019-11-19,106:208,106:208,bus,,,,,,,,,,,,15.0,,,,,,,,,,
40,2019-11-19,106:208,149:121,bus,,,,,,10.0,,,,,,,,,,,,,,,,
