ProjectID,Date,Origin,Destination,Modo,0200_0259,0500_0559,0600_0659,0700_0759,0800_0859,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159
40,2020-03-03,101:205,160:110,bus,,,,,11.0,,,,,,,,,,,,
40,2020-03-03,104:202,104:202,bus,15.0,,,,,,,,,,,,,,,,
40,2020-03-03,104:202,104:202,private_transport,13.0,,,,,,,,,,,,,,,,
40,2020-03-03,104:202,107:207,bus,,,,,,,,,11.0,,,,,,,,
40,2020-03-03,104:202,110:168,bus,24.0,,,,,,,,,,,,,,,,
40,2020-03-03,104:202,110:168,private_transport,22.0,,,,,,,,,,,,,,,,
40,2020-03-03,104:202,111:167,bus,14.0,,,,,,,,,,,,,,,,
40,2020-03-03,104:202,111:167,private_transport,14.0,,,,,,,,,,,,,,,,
40,2020-03-03,104:202,58:303,bus,,,,30.0,,,,,,,,,,,,,
40,2020-03-03,104:202,58:303,private_transport,,,,21.0,,,,,,,,,,,,,
40,2020-03-03,105:201,124:162,bus,,,,,,,,,,,,28.0,,,,,
40,2020-03-03,106:208,107:207,bus,,,,,,,,,14.0,,,,,,,,
40,2020-03-03,106:208,124:162,bus,,,,,,,,,,,,10.0,,,,,
40,2020-03-03,106:208,106:208,bus,,,,,,,,,11.0,,,,,,,,
40,2020-03-03,106:208,125:161,bus,,,,,,,,,,,,10.0,,,,,
40,2020-03-03,107:207,107:207,bus,,,,,,,,,13.0,,,,,,,,
40,2020-03-03,107:207,106:208,bus,,,,,,,,,11.0,,,,,,,,
40,2020-03-03,107:207,112:158,bus,,,,,,,,,16.0,,,,,,,,
40,2020-03-03,107:207,112:158,private_transport,,,,,,,,,12.0,,,,,,,,
40,2020-03-03,108:170,160:110,bus,,,,,16.0,,,,,,,,,,,,
40,2020-03-03,108:170,108:170,bus,,,,,16.0,,,,,,,,,,,,
40,2020-03-03,108:170,122:164,bus,,,,,,,,,12.0,,,,,,,,
40,2020-03-03,108:170,122:164,private_transport,,,,,,,,,10.0,,,,,,,,
40,2020-03-03,108:170,126:160,bus,,,,,10.0,,,,,,,,,,,,
40,2020-03-03,108:170,127:159,private_transport,,,,,,,,,11.0,,,,,,,,
40,2020-03-03,108:170,93:114,private_transport,,,,,,,,,10.0,,,,,,,,
40,2020-03-03,108:170,96:111,bus,,,,,17.0,,,,,,,,,,,,
40,2020-03-03,110:168,104:202,bus,27.0,,,,,,,,,,,,,,,,
40,2020-03-03,110:168,104:202,private_transport,24.0,,,,,,,,,,,,,,,,
40,2020-03-03,110:168,110:168,bus,32.0,,,,,,,,,,,,,,,,
40,2020-03-03,110:168,110:168,private_transport,28.0,,,,,,,,,,,,,,,,
40,2020-03-03,110:168,111:167,bus,11.0,,,,,,,,,,,,,,,,
40,2020-03-03,110:168,111:167,private_transport,10.0,,,,,,,,,,,,,,,,
40,2020-03-03,110:168,58:303,bus,,,,44.0,,,,,,,,,,,,,
40,2020-03-03,110:168,58:303,private_transport,,,,29.0,,,,,,,,,,,,,
40,2020-03-03,111:167,110:168,bus,11.0,,,,,,,,,,,,,,,,
40,2020-03-03,111:167,110:168,private_transport,10.0,,,,,,,,,,,,,,,,
40,2020-03-03,111:167,58:303,bus,,,,15.0,,,,,,,,,,,,,
40,2020-03-03,111:167,58:303,private_transport,,,,10.0,,,,,,,,,,,,,
40,2020-03-03,111:167,121:165,bus,,,,,,10.0,,,,,,,,,,,
40,2020-03-03,111:167,140:146,bus,,,,,,,10.0,,,,,,,,,,
40,2020-03-03,111:167,141:145,bus,,,,,,,,,,,,,10.0,,,,
40,2020-03-03,111:167,157:129,bus,,,,,,15.0,,,,,,,,,,,
40,2020-03-03,111:167,157:129,private_transport,,,,,,12.0,,,,,,,,,,,
40,2020-03-03,112:158,107:207,private_transport,,,,,,,,,10.0,,,,,,,,
40,2020-03-03,113:157,90:117,bus,,,,,,,22.0,,,,,,,,,,
40,2020-03-03,114:156,107:207,bus,,,,,,,,,17.0,,,,,,,,
40,2020-03-03,114:156,107:207,private_transport,,,,,,,,,10.0,,,,,,,,
40,2020-03-03,114:156,106:208,bus,,,,,,,,,11.0,,,,,,,,
