ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0300_0359,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2200_2259
40,2020-03-11,100:206,50:412,bus,,,,,,,,,,,,51.0,,,,,,,
40,2020-03-11,100:206,50:412,private_transport,,,,,,,,,,,,12.0,,,,,,,
40,2020-03-11,101:205,64:306,private_transport,,,,,,,,,,,,,,,,,,,34.0
40,2020-03-11,103:203,103:203,bus,,,,,,,,,,,,,,26.0,,,,,
40,2020-03-11,103:203,103:203,private_transport,,,,,,,,,,,,,,28.0,,,,,
40,2020-03-11,103:203,124:162,private_transport,,,,,,,,,,,,,,10.0,,,,,
40,2020-03-11,103:203,148:122,private_transport,,,,,,,,,,,,,,,,,,,23.0
40,2020-03-11,103:203,25:525,private_transport,,,,,,,82.0,43.0,,,,,,,,,,,
40,2020-03-11,103:203,32:532,private_transport,13.0,,,,,,24.0,42.0,,,,,,,,,,,
40,2020-03-11,103:203,66:316,private_transport,,,,,,,87.0,,,,,,,,,,,,
40,2020-03-11,103:203,9:509,private_transport,,,,,,,22.0,26.0,,,,,,,,,,,
40,2020-03-11,104:202,148:122,private_transport,,,,,,,,,,,,,,,,,,,11.0
40,2020-03-11,104:202,104:202,bus,,,,,,13.0,,,29.0,55.0,,,,14.0,12.0,,,,
40,2020-03-11,104:202,104:202,private_transport,,,,,,30.0,,,,28.0,,,,,14.0,,,36.0,
40,2020-03-11,104:202,109:169,private_transport,,,,,,,,,,,,,,,,,,13.0,
40,2020-03-11,104:202,110:168,bus,,,,,,,,,,,,,,18.0,10.0,,,27.0,
40,2020-03-11,104:202,110:168,private_transport,,,,,,20.0,,,,,,,,10.0,13.0,,,23.0,
40,2020-03-11,104:202,111:167,bus,,,,55.0,,,,,38.0,86.0,,,,,,,,,
40,2020-03-11,104:202,111:167,private_transport,,,,15.0,,21.0,,,,29.0,,,,,,,,22.0,
40,2020-03-11,104:202,126:160,bus,,,,21.0,,,,,,,,,,,,,,,
40,2020-03-11,104:202,126:160,private_transport,,,,12.0,,,,,,,,,,,,,,,
40,2020-03-11,104:202,134:136,bus,,,,,,,,,15.0,,,,,,,,,,
40,2020-03-11,104:202,134:136,private_transport,,,,,,,,,17.0,,,,,,,,,,
40,2020-03-11,104:202,135:135,bus,,,,,,,,,35.0,,,,,,,,,,
40,2020-03-11,104:202,135:135,private_transport,,,,,,,,,16.0,,,,,,,,,,
40,2020-03-11,104:202,138:148,bus,,,,,,,,,,13.0,,,,,,,,,
40,2020-03-11,104:202,138:148,private_transport,,,,,,,,,,,,,,,,,,10.0,
40,2020-03-11,104:202,144:126,private_transport,,,,,,,,,,,,,,,,,,,12.0
40,2020-03-11,104:202,147:123,bus,,,,,,,,,,,,,,,11.0,,,,
40,2020-03-11,104:202,147:123,private_transport,,,,,,,,,,,,,,,12.0,,,,
40,2020-03-11,104:202,149:121,bus,,,,,,,,,,,,,,,,,,11.0,
40,2020-03-11,104:202,158:128,bus,,,,,,,,,,,,,,14.0,,,,,
40,2020-03-11,104:202,158:128,private_transport,,,,,,,,,,,,,,32.0,,,,,
40,2020-03-11,104:202,160:110,private_transport,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-11,104:202,86:105,bus,,,,,,,,,,,,,,,,,,,10.0
40,2020-03-11,104:202,87:104,bus,,,,,,,,,,,,,,,,,,,21.0
40,2020-03-11,104:202,87:104,private_transport,,,,,,,,,,,,,,,,,,,25.0
40,2020-03-11,104:202,88:103,bus,,,,,,,,,,,,,,12.0,,,,,
40,2020-03-11,104:202,91:116,bus,,,,,,,,,,,,,,,,,,,13.0
40,2020-03-11,104:202,91:116,private_transport,,,,,,,,,,,,,,,,,,,11.0
40,2020-03-11,107:207,50:412,bus,,,,,,,,,,,,36.0,,,,,,,
40,2020-03-11,109:169,111:167,bus,,,,,,,,,,,,,,16.0,14.0,,,,
40,2020-03-11,109:169,111:167,private_transport,,,,,,,,,,,,,,16.0,14.0,,,,
40,2020-03-11,109:169,85:106,bus,,,,10.0,,,,,,,,,,,,,,,
40,2020-03-11,109:169,90:117,bus,,,,15.0,,,,,,,,,,,,,,,
40,2020-03-11,110:168,104:202,bus,,,,,,10.0,,,,10.0,,,,,,,,,
40,2020-03-11,110:168,104:202,private_transport,,,,,,,,,,,,,,,12.0,,,44.0,
40,2020-03-11,110:168,109:169,private_transport,,,,,,,,,,,,,,,,,,11.0,
40,2020-03-11,110:168,110:168,bus,,,,,,,,,,,,,,,16.0,,,26.0,
40,2020-03-11,110:168,110:168,private_transport,,,,,,29.0,,,,,,,,,21.0,,,32.0,
40,2020-03-11,110:168,111:167,bus,,,,,,,,,,46.0,,,,,,,,,
40,2020-03-11,110:168,111:167,private_transport,,,,,,,,,,25.0,,,,,,,,25.0,
40,2020-03-11,110:168,126:160,bus,,,,17.0,,,,,,,,,,,,,,,
40,2020-03-11,110:168,126:160,private_transport,,,,24.0,,,,,,,,,,,,,,,
40,2020-03-11,110:168,149:121,private_transport,,,,,,,,,,,,,,,,,,14.0,
40,2020-03-11,110:168,158:128,bus,,,,,,,,,,,,,,27.0,,,,,
40,2020-03-11,110:168,158:128,private_transport,,,,,,,,,,,,,,38.0,,,,,
