ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
40,2020-03-04,100:206,133:137,bus,,,,,,,,,,,,,,,,,,11.0,,,,,,
40,2020-03-04,100:206,134:136,bus,,,,,,,,,,,,,,,,,,11.0,,,,,,
40,2020-03-04,100:206,134:136,private_transport,,,,,,,,,,,,,,,,,,15.0,,,,,,
40,2020-03-04,100:206,135:135,bus,,,,,,,,,,,,,,,,,,12.0,,,,,,
40,2020-03-04,100:206,135:135,private_transport,,,,,,,,,,,,,,,,,,19.0,,,,,,
40,2020-03-04,100:206,37:537,private_transport,,,,,,,51.0,,,,,,,,,,,,,,,,,
40,2020-03-04,100:206,45:319,bus,,,,,,,,,12.0,,,,,,,,,,,,,,,
40,2020-03-04,100:206,45:319,private_transport,,,,,,,,,33.0,,,,,,,,,,,,,,,
40,2020-03-04,100:206,61:413,private_transport,,,,,,,,,,,,,,,,46.0,,,,,,,,
40,2020-03-04,101:205,37:537,private_transport,,,,,,,12.0,,,,,,,,,,,,,,,,,
40,2020-03-04,101:205,137:149,bus,,,,,,,,10.0,,,,,,,,,,,,,,,,
40,2020-03-04,101:205,87:104,private_transport,,,,,,,,,,10.0,,,,,,,,,,,,,,
40,2020-03-04,101:205,97:102,private_transport,,,,,,,,,,,,,,,,,,,,12.0,,,,
40,2020-03-04,101:205,9:509,private_transport,,,,,,,,,,,,,,,,,,,10.0,,,,,
40,2020-03-04,102:204,45:319,bus,,,,,,,,,,,12.0,,,,,,,,,,,,,
40,2020-03-04,102:204,38:538,private_transport,,,,,,12.0,,,,,,,,,,,,,,,,,,
40,2020-03-04,103:203,45:319,bus,,,,,,,65.0,,,,,,,,,,,,,,,,,
40,2020-03-04,103:203,45:319,private_transport,,,,,,,46.0,,,,,,,,,22.0,,,,,,,,
40,2020-03-04,103:203,137:149,bus,,,,,13.0,,,,,,,,,,,,,,,,,,,
40,2020-03-04,103:203,9:509,private_transport,,,,,,,,,14.0,,33.0,10.0,,115.0,,150.0,36.0,129.0,46.0,,21.0,,,
40,2020-03-04,103:203,103:203,private_transport,,,,,,,,,10.0,,,,22.0,,,,,,,,13.0,,,
40,2020-03-04,103:203,104:202,bus,,,,,,,,,,,23.0,,,12.0,,,,,,,,,,
40,2020-03-04,103:203,104:202,private_transport,,,,,,,,,,,23.0,,,10.0,,,,19.0,,,,,,
