ProjectID,Date,Origin,Destination,Modo,0100_0159,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159
40,2020-03-12,100:206,100:206,bus,,,,,,,,,,15.0,,,,,,,,
40,2020-03-12,100:206,107:207,bus,,,,,,,,,,15.0,,,,,,,,
40,2020-03-12,100:206,76:314,bus,,,,,,,,,,11.0,,,,,,,,
40,2020-03-12,100:206,83:108,private_transport,,,,,,,,,,10.0,,,,,,,,
40,2020-03-12,101:205,100:206,bus,,,,,,,,,,10.0,,,,,,,,
40,2020-03-12,101:205,129:141,bus,,,,,,,,,,21.0,,,,,,,,
40,2020-03-12,101:205,129:141,private_transport,,,,,,,,,,22.0,,,,,,,,
40,2020-03-12,101:205,87:104,private_transport,,,,,,,,,,11.0,,,,,,,,
40,2020-03-12,102:204,87:104,bus,,,,,,,,,,10.0,,,,,,,,
40,2020-03-12,102:204,98:217,bus,,,,11.0,,,,,,,,,,,,,,
40,2020-03-12,105:201,98:217,private_transport,,,,,,,11.0,,,,,,,,,,,
40,2020-03-12,105:201,105:201,bus,,,,,,,,,17.0,,,,,,,,,
40,2020-03-12,105:201,106:208,private_transport,,,,,,,,,11.0,,,,,,,,,
40,2020-03-12,105:201,57:310,bus,,,,,,,,,18.0,,,,,,,,,
40,2020-03-12,107:207,100:206,bus,,,,,,,,,,12.0,,,,,,,,
40,2020-03-12,107:207,100:206,private_transport,,,,,,,,,,12.0,,,,,,,,
40,2020-03-12,107:207,98:217,bus,,,,,,,14.0,,,,,,,,,,,
40,2020-03-12,107:207,98:217,private_transport,,,,,,,27.0,,,,,,,,,,,
40,2020-03-12,107:207,143:143,bus,,,,,,,,,,14.0,,,,,,,,
40,2020-03-12,107:207,143:143,private_transport,,,,,,,,,,10.0,,,,,,,,
40,2020-03-12,107:207,276:144,bus,,,,,,,10.0,,,,,,,,,,,
40,2020-03-12,107:207,276:144,private_transport,,,,,,,12.0,,,,,,,,,,,
40,2020-03-12,107:207,94:113,private_transport,,,,,,,10.0,,,,,,,,,,,
40,2020-03-12,108:170,87:104,private_transport,,,,,,,,,,12.0,,,,,,,,
40,2020-03-12,108:170,98:217,bus,,,,23.0,,,,,,,,,,,,,,
40,2020-03-12,108:170,98:217,private_transport,,,,12.0,,,,,,,,,,,,,,
40,2020-03-12,108:170,276:144,private_transport,,,,10.0,,,,,,,,,,,,,,
40,2020-03-12,108:170,109:169,bus,,,,12.0,,,,,,,,,,,,,,
40,2020-03-12,108:170,92:115,bus,,,,,,,,,,12.0,,,,,,,,
40,2020-03-12,109:169,98:217,bus,,,,23.0,17.0,,,,,,,,,,,,,
40,2020-03-12,109:169,98:217,private_transport,,,,13.0,16.0,,,,,,,,,,,,,
40,2020-03-12,109:169,106:208,bus,,,11.0,,,,,,,,,,,,,,,
40,2020-03-12,109:169,57:310,bus,,,14.0,,,,,,,,,,,,,,,
40,2020-03-12,109:169,276:144,bus,,,,15.0,17.0,,,,,,,,,,,,,
40,2020-03-12,109:169,276:144,private_transport,,,,,17.0,,,,,,,,,,,,,
40,2020-03-12,109:169,109:169,bus,,,,,,,,,,,,,,,,19.0,,
40,2020-03-12,109:169,109:169,private_transport,,,,,,,,,,,,,,,,20.0,,
40,2020-03-12,109:169,110:168,bus,,,,,,,,,,,,,,,,13.0,,
40,2020-03-12,109:169,110:168,private_transport,,,,,,,,,,,,,,,,13.0,,
40,2020-03-12,109:169,118:152,bus,,,,,,,,,,,16.0,,,,,,,
40,2020-03-12,109:169,126:160,private_transport,,,,,,,,,,,13.0,,,,,,,
40,2020-03-12,109:169,134:136,private_transport,10.0,,,,,,,,,,,,,,,,,
40,2020-03-12,109:169,135:135,private_transport,16.0,,,,,,,,,,,,,,,,,
40,2020-03-12,109:169,139:147,bus,,,,,,,,,,,14.0,,,,,,,
40,2020-03-12,109:169,144:126,private_transport,,,,,,,,,12.0,,,,,,,,,
40,2020-03-12,109:169,159:127,bus,,,,,,,,,22.0,,,,,,,,,
40,2020-03-12,109:169,159:127,private_transport,,,,,,,,,17.0,,,,,,,,,
40,2020-03-12,109:169,160:110,bus,,,,,,,,,,,11.0,,,,,,,
40,2020-03-12,109:169,90:117,bus,,,,,,,,,,,12.0,,,,,,,
40,2020-03-12,110:168,276:144,bus,,,,,11.0,,,,,,,,,,,,,
40,2020-03-12,110:168,276:144,private_transport,,,,,10.0,,,,,,,,,,,,,
40,2020-03-12,110:168,122:164,bus,,,,,,,,,11.0,,47.0,,,,,,,
40,2020-03-12,110:168,122:164,private_transport,,,,,,,,,,,16.0,,,,,,,
40,2020-03-12,110:168,123:163,private_transport,,,,,,,,,,,11.0,,,,,,,
