ProjectID,Date,Origin,Destination,Modo,0100_0159,0400_0459,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959
40,2019-11-19,101:205,101:205,bus,,,,,,,,,,12.0,,,,,,
40,2019-11-19,101:205,109:169,private_transport,,,,,,,,,,,,12.0,,,,
40,2019-11-19,101:205,129:141,bus,,,,,,,,,,17.0,,,,,,
40,2019-11-19,101:205,129:141,private_transport,,,,,,,,,,11.0,,,,,,
40,2019-11-19,101:205,146:124,bus,,,,,,,,,,10.0,,,,,,
40,2019-11-19,101:205,151:119,bus,,,,,,,,,,10.0,,,,,,
40,2019-11-19,101:205,151:119,private_transport,,,,,,,,,,10.0,,,,,,
40,2019-11-19,101:205,276:144,private_transport,,,,,,,,,,,,15.0,,,,
40,2019-11-19,101:205,45:319,bus,,,,28.0,,,,,,,,,,,,
40,2019-11-19,101:205,45:319,private_transport,,,,18.0,,,,,,,,,,,,
40,2019-11-19,101:205,73:311,private_transport,,,,,,,,,,,,,,12.0,,
40,2019-11-19,101:205,76:314,private_transport,,,39.0,,,,,,,,,,,,,
40,2019-11-19,101:205,83:108,bus,,,,,,,11.0,,,,,,,,,
40,2019-11-19,101:205,94:113,bus,,,,,,,,,,,,,23.0,,,
40,2019-11-19,101:205,94:113,private_transport,,,,,,,,,,,,,24.0,,,
40,2019-11-19,101:205,98:217,bus,,,,,,,11.0,,,,,,,,,
40,2019-11-19,101:205,98:217,private_transport,,,,,,,,,,,,26.0,,,,
40,2019-11-19,101:205,9:509,private_transport,,,,,,43.0,34.0,,,,,,,,,
40,2019-11-19,102:204,109:169,private_transport,,,,,,,,,,,,11.0,,,,
40,2019-11-19,102:204,76:314,private_transport,,,24.0,,,,,,,,,,,,,
40,2019-11-19,102:204,9:509,private_transport,,,,,,27.0,,,,,,,,,,
40,2019-11-19,103:203,101:205,private_transport,,,,,,11.0,,,,,,,,,,
40,2019-11-19,103:203,129:141,private_transport,,,,,,10.0,,,,,,,,,,
40,2019-11-19,103:203,83:108,bus,,,,,,40.0,,,,,,,,,,
40,2019-11-19,103:203,83:108,private_transport,,,,,,63.0,,,,,,,,,,
40,2019-11-19,104:202,84:107,bus,,,,,,,,10.0,,,,,,,,
40,2019-11-19,104:202,84:107,private_transport,,,,,,,,12.0,,,,,,,,
40,2019-11-19,108:170,129:141,bus,,,,40.0,,10.0,,,,,,,,,,
40,2019-11-19,108:170,129:141,private_transport,,,,29.0,,,12.0,,,,,,,,,
40,2019-11-19,108:170,151:119,bus,,,,,,,,,,,,14.0,,,,
40,2019-11-19,108:170,151:119,private_transport,,,,,,,,,,,,16.0,,,,
40,2019-11-19,108:170,73:311,private_transport,,,,,,,,,,,,,,84.0,,
40,2019-11-19,108:170,83:108,private_transport,,,,,,,11.0,,,,,,,,,
