ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
40,2019-11-20,100:206,159:127,bus,,,,,,,,,,,,,,,19.0,,,,,,,,
40,2019-11-20,101:205,129:141,bus,,,,,,,,,15.0,,,,,,,,,,,,,,
40,2019-11-20,101:205,129:141,private_transport,,,,,,,,,10.0,,,,,,,,,,,,,,
40,2019-11-20,101:205,148:122,bus,,,,,,,,,11.0,,,,,,,,,,,,,,
40,2019-11-20,101:205,149:121,bus,,,,,,,,,19.0,,,,,,,,,,,,,,
40,2019-11-20,101:205,83:108,bus,,,,,,,,,,,,,,,,11.0,,,,,,,
40,2019-11-20,101:205,89:118,private_transport,,,,,,,,,10.0,,,,,,,,,,,,,,
40,2019-11-20,101:205,97:102,bus,,,,,,,11.0,,,,,,,,,,,,,,,,
40,2019-11-20,102:204,108:170,bus,,,,,,,,,11.0,,,,,,,,,,,,,,
40,2019-11-20,102:204,135:135,bus,,,,,,,,,,,,11.0,,,,,,,,,,,
40,2019-11-20,102:204,135:135,private_transport,,,,,,,,,,,,11.0,,,,,,,,,,,
40,2019-11-20,102:204,141:145,bus,,,,,,,10.0,,,,,,,,,,,,,,,,
40,2019-11-20,102:204,156:130,bus,,,,,,,,,,,,,,11.0,,,,,,,,,
40,2019-11-20,103:203,156:130,bus,,,,,,,25.0,,,,,,,,,,,,,,,,
40,2019-11-20,103:203,156:130,private_transport,,,,,,,24.0,,,,,,,,,,,,,,,,
40,2019-11-20,103:203,103:203,bus,,,,,,,,,,,10.0,31.0,,,,,,,,,,,
40,2019-11-20,103:203,103:203,private_transport,,,,,,,,,14.0,,,33.0,,,,,,,,,,,
40,2019-11-20,103:203,113:157,bus,,,,,,,,,,,11.0,,,,,,,,,,,,
40,2019-11-20,103:203,127:159,bus,,,,,,,,13.0,,,,,,,,,,,,,,,
40,2019-11-20,103:203,131:139,bus,,,,,,,,,,,,15.0,,,,,,,,,,,
40,2019-11-20,103:203,131:139,private_transport,,,,,,,,,,,,16.0,,,,,,,,,,,
40,2019-11-20,103:203,132:138,private_transport,,,,,,,,,,,12.0,,,,,,,,,,,,
40,2019-11-20,103:203,134:136,private_transport,,,,,,,12.0,,,,,,,,,,,,,,,,
40,2019-11-20,103:203,138:148,bus,,,,,,,,,14.0,,23.0,,,,,,,,,,,,
40,2019-11-20,103:203,155:131,bus,,,,,,,11.0,,,,,,,,,,,,,,,,
40,2019-11-20,103:203,155:131,private_transport,,,,,,,12.0,,,,,,,,,,,,,,,,
40,2019-11-20,103:203,45:319,bus,,,,,,,,,,,,10.0,,,,,,,,,,,
40,2019-11-20,103:203,45:319,private_transport,,,,,,,,,,,,11.0,,,,,,,,,,,
40,2019-11-20,103:203,91:116,bus,,,,,,,14.0,,,,,,,,,,,,,,,,
40,2019-11-20,103:203,95:112,private_transport,,,,,,,,,,,25.0,,,,,,,,,,,,
40,2019-11-20,104:202,97:102,bus,,,,,,,,,,,,16.0,,,,,,,,,,,
40,2019-11-20,104:202,97:102,private_transport,,,,,,,,,,,,20.0,,,,,,,,,,,
40,2019-11-20,104:202,156:130,bus,,,,,,,,,,,,,,,,,,13.0,,,,,
40,2019-11-20,104:202,156:130,private_transport,,,,,,,,,,,,,,,,,,14.0,,,,,
40,2019-11-20,104:202,138:148,private_transport,,,,,,,,,10.0,,,,,,,,,,,,,,
40,2019-11-20,104:202,45:319,bus,,,,,,37.0,,,,,,,,,,,,,,,,,
40,2019-11-20,104:202,45:319,private_transport,,,,,,41.0,,,,,,,,,,,,,,,,,
40,2019-11-20,104:202,110:168,bus,,,,,,,,,,,,,,,,11.0,,,,,,,
40,2019-11-20,104:202,110:168,private_transport,,,,,,,,,,,,,,,,19.0,,,,,,,
40,2019-11-20,104:202,64:306,private_transport,,,,,,,,,,,,,,39.0,,,,,,,,,
40,2019-11-20,104:202,68:315,private_transport,,,,,,,,,,,,,,10.0,,,,,,,,,
40,2019-11-20,104:202,76:314,bus,,,,,,,,,,,,,,19.0,,,,,,,,,
40,2019-11-20,104:202,76:314,private_transport,,,,,,,,,,,,,,29.0,,,,,,,,,
40,2019-11-20,105:201,45:319,private_transport,78.0,,,,,,,,,,,,,,,,,,,,,,
40,2019-11-20,106:208,159:127,bus,,,,,,,,,,,,,,12.0,,,,,,,,,
40,2019-11-20,106:208,97:102,bus,,,,,,,,,,,,,,,,,,10.0,,,,,
40,2019-11-20,106:208,134:136,bus,,,,,,,,,,,,,,,,,,,,,,,12.0
40,2019-11-20,106:208,45:319,private_transport,42.0,,,,,,,,,,,,,,,,,,,,,,
40,2019-11-20,106:208,76:314,private_transport,,,,,,,,28.0,,,,,,,,,,,,,,,
40,2019-11-20,106:208,56:416,private_transport,,,,,,,,,,,,,,,,31.0,,,,,,,
40,2019-11-20,107:207,159:127,bus,,,,,,,,,,,,,,24.0,24.0,,,,,,,,
40,2019-11-20,107:207,159:127,private_transport,,,,,,,,,,,,,,25.0,,,,,,,,,
40,2019-11-20,107:207,97:102,bus,,,,,,,,,,,,,,,,,,35.0,,,,,
40,2019-11-20,107:207,97:102,private_transport,,,,,,,,,,,,,,,,,,21.0,,,,,
40,2019-11-20,107:207,134:136,bus,,,,,,,,,,,,,,,,,,,,,,,24.0
40,2019-11-20,107:207,155:131,bus,,,,,,,,,,,,,,,,,,,,,,,12.0
40,2019-11-20,107:207,76:314,bus,,,,,,,,24.0,,,,,,,,,,,,,,,
40,2019-11-20,107:207,76:314,private_transport,,,,,,,,44.0,,,,,,,,,,,,,,,
40,2019-11-20,107:207,56:416,private_transport,,,,,,,,,,,,,,,,79.0,,,,,,,
40,2019-11-20,107:207,126:160,bus,,,,,,,,,,,,,,,,,,10.0,,,,,
40,2019-11-20,107:207,137:149,bus,,,,,,,,,,,,,,11.0,,,,,,,,,
40,2019-11-20,107:207,144:126,private_transport,,,,,,,,,,,,,,15.0,,,,,,,,,
40,2019-11-20,108:170,89:118,bus,,,,,,,,,,,,,,21.0,,,,,,,,,
40,2019-11-20,108:170,89:118,private_transport,,,,,,,,,,,,,,13.0,,,,,,,,,
40,2019-11-20,108:170,97:102,bus,,,,,,,35.0,,,19.0,,,,,,,,,,,,,
40,2019-11-20,108:170,97:102,private_transport,,,,,,,14.0,,,10.0,,,,,,,,,,,,,
40,2019-11-20,108:170,108:170,bus,,,,,,,,,13.0,,,,,,,,,,,,,,
40,2019-11-20,108:170,141:145,bus,,,,,,,,,23.0,,,13.0,,,,,,,,,,,
40,2019-11-20,108:170,141:145,private_transport,,,,,,,,,12.0,,,19.0,,,,,,,,,,,
40,2019-11-20,108:170,127:159,bus,,,,,,,10.0,,,,,,,,,,,,,,,,
