ProjectID,Date,Origin,Destination,Modo,0200_0259,0400_0459,0600_0659,0800_0859,0900_0959,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2200_2259
40,2019-11-20,113:157,136:150,bus,,,,,,,,,,,,12.0,,,
40,2019-11-20,113:157,139:147,bus,,,,,10.0,,,,,,,,,,
40,2019-11-20,113:157,150:120,bus,,,,,,,,17.0,,,,,,,
40,2019-11-20,115:155,61:413,private_transport,,,,11.0,,,,,,,,,,,
40,2019-11-20,116:154,61:413,private_transport,,,,21.0,,,,,,,,,,,
40,2019-11-20,117:153,119:151,private_transport,10.0,,,,,,,,,,,,,,
40,2019-11-20,117:153,64:306,bus,,,,,,,11.0,,,,,,,,
40,2019-11-20,118:152,136:150,private_transport,10.0,,,,,,,,,,,,,,
40,2019-11-20,118:152,139:147,private_transport,,13.0,,,,,,,,,,,,,
40,2019-11-20,118:152,64:306,bus,,,,,,,14.0,,,,,,,,
40,2019-11-20,118:152,64:306,private_transport,,,,,,,26.0,,,,,,,,
40,2019-11-20,118:152,118:152,private_transport,,12.0,,,,,,,,,,,,,
40,2019-11-20,118:152,120:166,bus,,,,,,,,,,,15.0,,,,
40,2019-11-20,118:152,120:166,private_transport,,,,,,,,,,,12.0,,,,
40,2019-11-20,118:152,140:146,private_transport,11.0,,,,,,,,,,,,,,
40,2019-11-20,118:152,141:145,bus,,,,,,,,,,,10.0,,,,
40,2019-11-20,118:152,45:319,private_transport,,,,,,,,,,24.0,,,,,
40,2019-11-20,118:152,50:412,private_transport,,40.0,,,,,,,,,,,,,
40,2019-11-20,119:151,139:147,private_transport,,12.0,,,,,,,,,,,,,
40,2019-11-20,119:151,119:151,private_transport,26.0,,,,,,,,,,,,,,
40,2019-11-20,119:151,64:306,bus,,,,,,,35.0,,,,,,,,
40,2019-11-20,119:151,64:306,private_transport,,,,,,,29.0,,,,,,,,
40,2019-11-20,119:151,118:152,private_transport,17.0,21.0,,,,,,,,,,,,,
40,2019-11-20,119:151,120:166,bus,,,,,,,,,,,17.0,,,,
40,2019-11-20,119:151,140:146,private_transport,10.0,,,,,,,,,,,,,,
40,2019-11-20,119:151,141:145,bus,,,,,,,,,,,18.0,,,,
40,2019-11-20,119:151,45:319,private_transport,,,,,,,,,,46.0,,,,,
40,2019-11-20,119:151,50:412,private_transport,,68.0,,,,,,,,,,,,,
40,2019-11-20,119:151,111:167,private_transport,,,,,,10.0,,,,,,,,,
40,2019-11-20,119:151,58:303,private_transport,,,,,,,,,,11.0,,,,,
40,2019-11-20,119:151,95:112,bus,,12.0,,,,,,,,,,,,,
