ProjectID,Date,Origin,Destination,Modo,0500_0559,0600_0659,0800_0859,0900_0959,1000_1059,1100_1159,1300_1359,1500_1559,1700_1759,1800_1859,1900_1959,2100_2159
40,2020-03-04,104:202,118:152,private_transport,,,,,,,,,20.0,,,
40,2020-03-04,104:202,119:151,private_transport,,,,,,,,,24.0,,,
40,2020-03-04,104:202,136:150,private_transport,,,,,,,,,20.0,,,
40,2020-03-04,104:202,140:146,private_transport,,,,,,,,,16.0,,,
40,2020-03-04,110:168,118:152,private_transport,,,,,,,,,21.0,,,
40,2020-03-04,110:168,119:151,private_transport,,,,,,,,,35.0,,,
40,2020-03-04,110:168,136:150,private_transport,,,,,,,,,13.0,,,
40,2020-03-04,110:168,45:319,private_transport,,,,,,,,,11.0,,,
40,2020-03-04,111:167,136:150,bus,,,,,,,,,28.0,,,
40,2020-03-04,111:167,136:150,private_transport,,,,,,,,,14.0,,,
40,2020-03-04,113:157,118:152,bus,,15.0,,,,,,,,,,
40,2020-03-04,113:157,118:152,private_transport,,12.0,,,,,,,,,,
40,2020-03-04,113:157,45:319,bus,,,,,,,,26.0,,,,
40,2020-03-04,113:157,45:319,private_transport,,,,,,,,19.0,,,,
40,2020-03-04,113:157,113:157,bus,,,,,,,,,10.0,,,
40,2020-03-04,113:157,113:157,private_transport,,,,,,,,,10.0,,,
40,2020-03-04,113:157,116:154,bus,,10.0,,,,,,,,,,
40,2020-03-04,113:157,117:153,bus,,10.0,,,,,,,,,,
40,2020-03-04,113:157,131:139,bus,,,,,,,,,10.0,,,
40,2020-03-04,113:157,95:112,bus,,,,,,,,,,,11.0,
40,2020-03-04,113:157,95:112,private_transport,,,,,,,,,,,12.0,
40,2020-03-04,116:154,118:152,bus,,,,,,12.0,,,,,,
40,2020-03-04,116:154,140:146,bus,,,,,,12.0,,,,,,
40,2020-03-04,116:154,108:170,private_transport,,,,,,,,11.0,,,,
40,2020-03-04,116:154,120:166,bus,,,,,,18.0,,,,,,
40,2020-03-04,116:154,96:111,bus,,,,,,,,10.0,,,,
40,2020-03-04,117:153,136:150,bus,,,,,,10.0,,,,,,
40,2020-03-04,118:152,136:150,bus,,,,,,12.0,,,,,,
40,2020-03-04,118:152,120:166,bus,,,,,,25.0,,,,,,
40,2020-03-04,118:152,134:136,bus,,,,,,,,,14.0,,,
40,2020-03-04,118:152,134:136,private_transport,,,,,,,,,13.0,,,
40,2020-03-04,118:152,141:145,bus,,,,,,12.0,,,,,,
40,2020-03-04,118:152,141:145,private_transport,,,,,,10.0,,,,,,
40,2020-03-04,118:152,145:125,bus,,,11.0,,,,,,,,,
40,2020-03-04,118:152,99:101,bus,,,15.0,,,,,,,,,
40,2020-03-04,118:152,99:101,private_transport,,,11.0,,,,,,,,,
40,2020-03-04,119:151,120:166,bus,,,10.0,,,,,,,,,
40,2020-03-04,119:151,134:136,bus,,,,,,,,,11.0,,,
40,2020-03-04,119:151,141:145,private_transport,,,10.0,,,,,,,,,
40,2020-03-04,119:151,99:101,bus,,,22.0,,,,,,,,,
40,2020-03-04,119:151,99:101,private_transport,,,14.0,,,,,,,,,
40,2020-03-04,119:151,132:138,private_transport,,,,,,,,,11.0,,,
40,2020-03-04,119:151,155:131,bus,,,,,,,,,14.0,,,
40,2020-03-04,121:165,136:150,bus,,,,,,,,,31.0,,,
40,2020-03-04,121:165,136:150,private_transport,,,,,,,,,24.0,,,
40,2020-03-04,121:165,45:319,bus,,,,,,,,,12.0,,,
40,2020-03-04,124:162,131:139,bus,,,,,,16.0,,,,,,
40,2020-03-04,124:162,103:203,bus,,,,,,11.0,,,,,,
40,2020-03-04,124:162,103:203,private_transport,,,,,,10.0,,,,,,
40,2020-03-04,125:161,103:203,private_transport,,,,,,10.0,,,,,,
40,2020-03-04,125:161,58:303,bus,,,,,,10.0,,,,,,
40,2020-03-04,126:160,136:150,bus,,,,,,,,,,11.0,,
40,2020-03-04,126:160,136:150,private_transport,,,,,,,,,,12.0,,
40,2020-03-04,126:160,140:146,bus,,,,,,,,,,15.0,,
40,2020-03-04,126:160,140:146,private_transport,,,,,,,,,,15.0,,
40,2020-03-04,126:160,120:166,bus,,,,,,,,,,25.0,,
40,2020-03-04,126:160,120:166,private_transport,,,,,,,,,,28.0,,
40,2020-03-04,131:139,45:319,private_transport,,,,,,,,13.0,,,,
40,2020-03-04,132:138,45:319,bus,,,,,,,,17.0,,,,
40,2020-03-04,134:136,45:319,bus,14.0,,,,,,,,,,,
40,2020-03-04,134:136,108:170,bus,,,,,,,,10.0,,,,
40,2020-03-04,134:136,141:145,private_transport,,,,,,,,,,,10.0,
40,2020-03-04,135:135,108:170,private_transport,,,,,,,,10.0,,,,
40,2020-03-04,135:135,96:111,private_transport,,,,,,,,27.0,,,,
40,2020-03-04,135:135,160:110,bus,,,,,,,,13.0,,,,
40,2020-03-04,136:150,113:157,private_transport,,,,,,,,,31.0,,,
40,2020-03-04,136:150,117:153,private_transport,,,,,,,,,11.0,,,
40,2020-03-04,136:150,131:139,private_transport,,,,,,,,,15.0,,,
