ProjectID,Date,Origin,Destination,Modo,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159
40,2019-11-12,101:205,102:204,bus,,,,,,,,,,10.0,,,
40,2019-11-12,101:205,108:170,bus,,15.0,,,,,,,,,,,
40,2019-11-12,101:205,108:170,private_transport,,10.0,,,,,,,,,,,
40,2019-11-12,101:205,122:164,private_transport,,,,,,11.0,,,,,,,
40,2019-11-12,101:205,146:124,bus,,,,,,,,,,23.0,,,
40,2019-11-12,101:205,146:124,private_transport,,,,,,,,,,15.0,,,
40,2019-11-12,101:205,154:132,bus,,,,,,,,,,11.0,,,
40,2019-11-12,102:204,146:124,bus,,,,,,,,,,15.0,,,
40,2019-11-12,102:204,146:124,private_transport,,,,,,,,,,,10.0,,
40,2019-11-12,108:170,102:204,bus,,,,,10.0,,,,,,,15.0,
40,2019-11-12,108:170,146:124,bus,,,,,18.0,,,,,,,23.0,
40,2019-11-12,108:170,146:124,private_transport,,,,,20.0,,,,,,,22.0,
40,2019-11-12,108:170,101:205,bus,,,,,,,,,,,,15.0,
40,2019-11-12,108:170,101:205,private_transport,,,,,12.0,,,,,,,,
40,2019-11-12,109:169,102:204,bus,,,,,,,,,10.0,,,,
40,2019-11-12,109:169,146:124,private_transport,,,,,,,,,14.0,,,,
40,2019-11-12,109:169,101:205,bus,,,,,,,,,12.0,,,,
40,2019-11-12,109:169,101:205,private_transport,,,,,,,,,10.0,,,,
40,2019-11-12,109:169,76:314,private_transport,36.0,,,,,,,,,,,,
40,2019-11-12,110:168,120:166,bus,,,,19.0,,,,,,,,,
40,2019-11-12,110:168,136:150,bus,,,,15.0,,,,,,,,,
40,2019-11-12,110:168,141:145,bus,,,,13.0,,,,,,,,,
40,2019-11-12,110:168,141:145,private_transport,,,,11.0,,,,,,,,,
40,2019-11-12,114:156,120:166,bus,,,,16.0,,,,,,,,,
40,2019-11-12,120:166,146:124,private_transport,,,,,,,,,,,41.0,,
40,2019-11-12,120:166,101:205,private_transport,,,,,,,,,,,16.0,,
40,2019-11-12,120:166,83:108,bus,,,,,,,,57.0,,,,,
40,2019-11-12,120:166,83:108,private_transport,,,,,,,,19.0,,,,,
40,2019-11-12,122:164,146:124,bus,,,,,22.0,,,,,,,,
40,2019-11-12,122:164,146:124,private_transport,,,,,10.0,,,,,,,,
40,2019-11-12,122:164,101:205,bus,,,,,11.0,,,,,,,,
40,2019-11-12,122:164,101:205,private_transport,,,,,10.0,,,,,,,,
40,2019-11-12,126:160,102:204,bus,,,,,,,,12.0,,,,,
40,2019-11-12,126:160,146:124,bus,,,,,,,,41.0,,,,,
40,2019-11-12,126:160,146:124,private_transport,,,,,,,,12.0,,,,,
40,2019-11-12,126:160,101:205,bus,,,,,,,,25.0,,,,,
40,2019-11-12,126:160,111:167,bus,,,,,,,,,,,,,78.0
40,2019-11-12,126:160,111:167,private_transport,,,,,,,,,,,,,26.0
40,2019-11-12,126:160,138:148,bus,,,,,,,,,,,,,13.0
40,2019-11-12,127:159,146:124,private_transport,,,,,14.0,,,,,,,,
40,2019-11-12,127:159,101:205,bus,,,,,12.0,,,,,,,,
40,2019-11-12,128:142,76:314,private_transport,31.0,,,,,,,,,,,,
40,2019-11-12,129:141,108:170,bus,,35.0,,,,,,,,,,,
40,2019-11-12,129:141,108:170,private_transport,,15.0,,,,,,,,,,,
40,2019-11-12,129:141,151:119,bus,,10.0,,,,,,,,,,,
40,2019-11-12,129:141,151:119,private_transport,,13.0,,,,,,,,,,,
40,2019-11-12,133:137,102:204,bus,,,11.0,,,,,,,,,,
40,2019-11-12,133:137,102:204,private_transport,,,12.0,,,,,,,,,,
40,2019-11-12,133:137,146:124,bus,,,20.0,,,,,,,,,,
40,2019-11-12,133:137,146:124,private_transport,,,24.0,,,,,,,,,,
40,2019-11-12,133:137,151:119,bus,,,10.0,,,,,,,,,,
40,2019-11-12,133:137,151:119,private_transport,,,10.0,,,,,,,,,,
40,2019-11-12,134:136,146:124,bus,,,12.0,,,,,,,,,,
40,2019-11-12,134:136,146:124,private_transport,,,13.0,,,,,,,,,,
40,2019-11-12,136:150,83:108,bus,,,,,,,,22.0,,,,,
40,2019-11-12,136:150,83:108,private_transport,,,,,,,,10.0,,,,,
40,2019-11-12,140:146,83:108,bus,,,,,,,,19.0,,,,,
40,2019-11-12,141:145,102:204,private_transport,,,,,,,,,,,10.0,,
40,2019-11-12,141:145,146:124,bus,,,,,,,15.0,,,,,,
40,2019-11-12,141:145,146:124,private_transport,,,,,,,,,,,29.0,,
40,2019-11-12,141:145,101:205,private_transport,,,,,,,,,,,14.0,,
40,2019-11-12,141:145,83:108,bus,,,,,,,,17.0,,,,,
40,2019-11-12,143:143,76:314,private_transport,15.0,,,,,,,,,,,,
40,2019-11-12,144:126,102:204,bus,,,11.0,,,,,,,,,,
40,2019-11-12,144:126,102:204,private_transport,,,11.0,,,,,,,,,,
40,2019-11-12,144:126,146:124,bus,,,29.0,,,,,,,,,,
40,2019-11-12,144:126,146:124,private_transport,,,32.0,,,,,,,,,,
40,2019-11-12,144:126,62:307,bus,,,17.0,,,,,,,,,,
40,2019-11-12,145:125,146:124,bus,,,,,,,10.0,,,,,,
40,2019-11-12,146:124,102:204,bus,,,,,,,,,,12.0,,,
40,2019-11-12,146:124,102:204,private_transport,,10.0,,,,,,,,12.0,,,
40,2019-11-12,146:124,122:164,bus,,,,,,10.0,,,,,,,
40,2019-11-12,146:124,146:124,bus,,38.0,,,,,,,,39.0,,,
40,2019-11-12,146:124,146:124,private_transport,,17.0,,,,,,,,14.0,,,
40,2019-11-12,146:124,101:205,bus,,18.0,,,,,,,,12.0,,,
40,2019-11-12,146:124,101:205,private_transport,,14.0,,,,,,,,14.0,,,
40,2019-11-12,146:124,151:119,private_transport,,11.0,,,,,,,,,,,
40,2019-11-12,146:124,123:163,bus,,,,,,12.0,,,,,,,
40,2019-11-12,146:124,129:141,bus,,37.0,,,,,,,,,,,
40,2019-11-12,146:124,129:141,private_transport,,25.0,,,,,,,,,,,
40,2019-11-12,146:124,149:121,bus,,,,,,26.0,,,,,,,
40,2019-11-12,146:124,149:121,private_transport,,,,,,12.0,,,,,,,
40,2019-11-12,146:124,150:120,bus,,,,,,18.0,,,,,,,
40,2019-11-12,146:124,150:120,private_transport,,,,,,12.0,,,,,,,
40,2019-11-12,147:123,120:166,bus,,,,18.0,,,,,,,,,
40,2019-11-12,147:123,136:150,bus,,,,10.0,,,,,,,,,
40,2019-11-12,147:123,141:145,bus,,,,15.0,,,,,,,,,
40,2019-11-12,151:119,146:124,bus,,,,,,,,,,,,18.0,
40,2019-11-12,151:119,146:124,private_transport,,,,,10.0,,,,,,,,
40,2019-11-12,151:119,154:132,bus,,,,,,,,,,12.0,,,
40,2019-11-12,151:119,152:134,bus,,,,,,,,,,24.0,,,
40,2019-11-12,151:119,152:134,private_transport,,,,,,,,,,15.0,,,
40,2019-11-12,152:134,146:124,bus,,,,,14.0,,,,,,,14.0,
40,2019-11-12,154:132,101:205,bus,,,,,,,,,,,,12.0,
40,2019-11-12,276:144,102:204,bus,,,,,,,,,11.0,,,,
40,2019-11-12,276:144,102:204,private_transport,,,,,,,,,10.0,,,,
40,2019-11-12,276:144,146:124,bus,,,,,,,,,29.0,,,,
40,2019-11-12,276:144,146:124,private_transport,,,,,,,,,18.0,,,,
40,2019-11-12,276:144,101:205,bus,,,,,,,,,17.0,,,,
40,2019-11-12,83:108,76:314,private_transport,43.0,,,,,,,,,,,,
40,2019-11-12,87:104,62:307,bus,,,56.0,,,,,,,,,,
40,2019-11-12,87:104,62:307,private_transport,,,14.0,,,,,,,,,,
40,2019-11-12,89:118,108:170,private_transport,,10.0,,,,,,,,,,,
40,2019-11-12,90:117,102:204,bus,,,,,,,,11.0,,,,,
40,2019-11-12,90:117,146:124,private_transport,,,,,,,,11.0,,,,,
40,2019-11-12,90:117,101:205,bus,,,,,,,,14.0,,,,,
40,2019-11-12,90:117,111:167,bus,,,,,,,,,,,,,20.0
40,2019-11-12,91:116,62:307,bus,,,26.0,,,,,,,,,,
40,2019-11-12,91:116,62:307,private_transport,,,13.0,,,,,,,,,,
40,2019-11-12,92:115,62:307,bus,,,12.0,,,,,,,,,,
40,2019-11-12,94:113,101:205,bus,,,,,,,,,11.0,,,,
40,2019-11-12,98:217,102:204,private_transport,,,,,,,,,13.0,,,,
40,2019-11-12,98:217,146:124,bus,,,,,,,,,40.0,,,,
40,2019-11-12,98:217,146:124,private_transport,,,,,,,,,16.0,,,,
40,2019-11-12,98:217,101:205,bus,,,,,,,,,17.0,,,,
40,2019-11-12,98:217,101:205,private_transport,,,,,,,,,10.0,,,,
40,2019-11-12,98:217,76:314,private_transport,31.0,,,,,,,,,,,,
40,2019-11-12,98:217,120:166,bus,,,,15.0,,,,,,,,,
40,2019-11-12,99:101,146:124,bus,,,,,,,38.0,,,,,,
40,2019-11-12,99:101,146:124,private_transport,,,,,,,21.0,,,,,,
40,2019-11-12,99:101,101:205,bus,,,,,,,11.0,,,,,,
40,2019-11-12,99:101,101:205,private_transport,,,,,,,13.0,,,,,,
