ProjectID,Date,Origin,Destination,Modo,0600_0659,0700_0759,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1500_1559,1600_1659,1800_1859
40,2019-11-19,101:205,102:204,bus,,,,,,,10.0,,,
40,2019-11-19,101:205,109:169,bus,,13.0,,,,,,,,
40,2019-11-19,101:205,109:169,private_transport,,10.0,,,,,,,,
40,2019-11-19,101:205,122:164,bus,,,,17.0,,,,,,
40,2019-11-19,101:205,122:164,private_transport,,,,14.0,,,,,,
40,2019-11-19,101:205,128:142,bus,,13.0,,,,,,,,
40,2019-11-19,101:205,128:142,private_transport,,10.0,,,,,,,,
40,2019-11-19,101:205,145:125,private_transport,14.0,,,,,,,,,
40,2019-11-19,101:205,146:124,bus,,,,,,,19.0,,,
40,2019-11-19,101:205,146:124,private_transport,,,,,,,16.0,,,
40,2019-11-19,101:205,150:120,bus,,,,,18.0,,,,,
40,2019-11-19,101:205,155:131,private_transport,11.0,,,,,,,,,
40,2019-11-19,101:205,158:128,bus,,,,,13.0,,,,,
40,2019-11-19,101:205,276:144,private_transport,,,,,,,,18.0,,
40,2019-11-19,101:205,51:308,bus,,,,,,17.0,,,,
40,2019-11-19,101:205,51:308,private_transport,,,,,,36.0,,,,
40,2019-11-19,101:205,76:314,bus,,,,,,,,16.0,,
40,2019-11-19,101:205,76:314,private_transport,38.0,,,,,,,23.0,,
40,2019-11-19,101:205,83:108,bus,,15.0,,,,,,,,
40,2019-11-19,101:205,83:108,private_transport,,11.0,,,,,,,,
40,2019-11-19,101:205,98:217,bus,,14.0,,,,,,,,
40,2019-11-19,101:205,98:217,private_transport,,10.0,,,,,,14.0,,
40,2019-11-19,101:205,9:509,private_transport,,,45.0,,,,,,,
40,2019-11-19,102:204,145:125,private_transport,14.0,,,,,,,,,
40,2019-11-19,102:204,146:124,bus,,,,,,,11.0,,,
40,2019-11-19,102:204,150:120,private_transport,,,,,11.0,,,,,
40,2019-11-19,102:204,158:128,bus,,,,,10.0,,,,,
40,2019-11-19,102:204,51:308,private_transport,,,,,,16.0,,,,
40,2019-11-19,102:204,76:314,bus,,,,,,,,15.0,,
40,2019-11-19,102:204,98:217,private_transport,,11.0,,,,,,,,
40,2019-11-19,102:204,143:143,bus,,11.0,,,,,,,,
40,2019-11-19,109:169,146:124,private_transport,,,,,,,10.0,,,
40,2019-11-19,110:168,146:124,bus,,,,,,,50.0,,,
40,2019-11-19,110:168,146:124,private_transport,,,,,,,36.0,,,
40,2019-11-19,110:168,101:205,bus,,,,,,,26.0,,,
