ProjectID,Date,Origin,Destination,Modo,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1200_1259,1500_1559,1800_1859,1900_1959
40,2020-03-11,101:205,101:205,bus,,11.0,,,,,10.0,,
40,2020-03-11,101:205,108:170,bus,,,,,,,,19.0,
40,2020-03-11,101:205,108:170,private_transport,,,,,,,,11.0,
40,2020-03-11,101:205,118:152,private_transport,12.0,,,,,,,,
40,2020-03-11,101:205,119:151,private_transport,25.0,,,,,,,,
40,2020-03-11,101:205,146:124,bus,,,,,18.0,,19.0,,
40,2020-03-11,101:205,154:132,bus,,,,,18.0,,,,
40,2020-03-11,101:205,75:313,private_transport,,,,,,,,,41.0
40,2020-03-11,101:205,83:108,bus,,,,31.0,,,,,
40,2020-03-11,101:205,89:118,private_transport,,,,,11.0,,,,
40,2020-03-11,102:204,101:205,bus,,,,,13.0,,,,
40,2020-03-11,102:204,108:170,bus,,,,,,,,11.0,
40,2020-03-11,102:204,146:124,bus,,,,,17.0,,14.0,,
40,2020-03-11,102:204,146:124,private_transport,,,,,12.0,,,,
40,2020-03-11,102:204,75:313,private_transport,,,,,,,,,22.0
40,2020-03-11,102:204,73:311,private_transport,,,,,,,,,11.0
40,2020-03-11,108:170,146:124,bus,,14.0,,,,,,,
40,2020-03-11,108:170,146:124,private_transport,,10.0,,,,,,,
40,2020-03-11,111:167,108:170,bus,,,18.0,,,,,,
40,2020-03-11,129:141,83:108,bus,,,,84.0,,,,,
40,2020-03-11,146:124,101:205,bus,,,,,30.0,,31.0,,
40,2020-03-11,146:124,108:170,bus,,,,,,,,39.0,
40,2020-03-11,146:124,108:170,private_transport,,,,,,,,10.0,
40,2020-03-11,146:124,118:152,private_transport,31.0,,,,,,,,
40,2020-03-11,146:124,119:151,private_transport,41.0,,,,,,,,
40,2020-03-11,146:124,146:124,bus,,,,,69.0,,51.0,,
40,2020-03-11,146:124,146:124,private_transport,,,,,13.0,,,,
40,2020-03-11,146:124,154:132,bus,,,,,38.0,,,15.0,
40,2020-03-11,146:124,154:132,private_transport,,,,,18.0,,,,
40,2020-03-11,146:124,75:313,private_transport,,,,,,,,,89.0
40,2020-03-11,146:124,89:118,bus,,,,,21.0,,,,
40,2020-03-11,146:124,89:118,private_transport,,,,,20.0,,,,
40,2020-03-11,146:124,73:311,private_transport,,,,,,,,,15.0
40,2020-03-11,146:124,102:204,bus,,,,,15.0,,,,
40,2020-03-11,146:124,117:153,private_transport,10.0,,,,,,,,
40,2020-03-11,146:124,136:150,private_transport,17.0,,,,,,,,
40,2020-03-11,146:124,151:119,bus,,,,,14.0,,,,
40,2020-03-11,146:124,151:119,private_transport,,,,,10.0,,,,
40,2020-03-11,146:124,152:134,bus,,,,,,,,19.0,
40,2020-03-11,146:124,32:532,private_transport,,,,,,,,,10.0
40,2020-03-11,148:122,108:170,bus,,,42.0,,,,,,
40,2020-03-11,148:122,154:132,bus,,,17.0,,,,,,
40,2020-03-11,148:122,151:119,bus,,,10.0,,,,,,
40,2020-03-11,151:119,136:150,private_transport,10.0,,,,,,,,
40,2020-03-11,157:129,154:132,bus,,,10.0,,,,,,
40,2020-03-11,160:110,101:205,bus,,13.0,,,,,,,
40,2020-03-11,160:110,146:124,bus,,26.0,,,,,,,
40,2020-03-11,45:319,101:205,bus,,,,,,20.0,,,
40,2020-03-11,45:319,101:205,private_transport,,,,,32.0,30.0,,,
40,2020-03-11,45:319,146:124,bus,,,,,,30.0,,,
40,2020-03-11,45:319,146:124,private_transport,,,,,65.0,53.0,,,
40,2020-03-11,45:319,102:204,private_transport,,,,,14.0,,,,
40,2020-03-11,45:319,113:157,bus,,,,,,,,24.0,
40,2020-03-11,45:319,113:157,private_transport,,,,,,,,15.0,
40,2020-03-11,45:319,131:139,bus,,,,,,,,15.0,
40,2020-03-11,45:319,132:138,bus,,,,,,,,19.0,
40,2020-03-11,45:319,95:112,bus,,,,,,,,62.0,
40,2020-03-11,45:319,95:112,private_transport,,,,,,,,17.0,
40,2020-03-11,87:104,101:205,bus,,,,,,,,,12.0
40,2020-03-11,87:104,146:124,bus,,,,,,,,,31.0
40,2020-03-11,87:104,146:124,private_transport,,,,,,,,,45.0
40,2020-03-11,87:104,102:204,bus,,,,,,,,,14.0
40,2020-03-11,87:104,102:204,private_transport,,,,,,,,,14.0
40,2020-03-11,87:104,151:119,bus,,,,,,,,,11.0
40,2020-03-11,89:118,83:108,bus,,,,24.0,,,,,
40,2020-03-11,92:115,101:205,private_transport,,,,,,,,,13.0
40,2020-03-11,92:115,146:124,bus,,,,,,,,,13.0
40,2020-03-11,92:115,146:124,private_transport,,,,,,,,,28.0
40,2020-03-11,96:111,101:205,bus,,14.0,,,,,,,
40,2020-03-11,96:111,146:124,bus,,38.0,,,,,,,
40,2020-03-11,96:111,102:204,bus,,10.0,,,,,,,
40,2020-03-11,96:111,151:119,bus,,12.0,,,,,,,
