ProjectID,Date,Origin,Destination,Modo,0600_0659,0700_0759,0900_0959,1100_1159,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,2100_2159
40,2020-03-05,100:206,100:206,private_transport,,,,,12.0,,,,,,
40,2020-03-05,100:206,101:205,private_transport,,,,,10.0,,,,,,
40,2020-03-05,100:206,107:207,bus,,,,,11.0,,,,,,
40,2020-03-05,100:206,107:207,private_transport,,,,,12.0,,,,,,
40,2020-03-05,100:206,108:170,bus,,,,,,,,,30.0,,
40,2020-03-05,100:206,128:142,private_transport,,,,,,,,,,10.0,
40,2020-03-05,100:206,143:143,private_transport,,,,,11.0,,,,,,
40,2020-03-05,100:206,151:119,bus,,,,,,,,,19.0,,
40,2020-03-05,100:206,64:306,private_transport,,,,,,65.0,,,,,
40,2020-03-05,100:206,96:111,bus,,,,,,,,,10.0,,
40,2020-03-05,101:205,100:206,private_transport,,,,,10.0,,,,,,
40,2020-03-05,104:202,152:134,private_transport,,,,,,,11.0,,,,
40,2020-03-05,104:202,83:108,bus,,,,,,,39.0,,,,
40,2020-03-05,104:202,83:108,private_transport,,,,,,,27.0,,,,
40,2020-03-05,106:208,152:134,bus,,,,,,,11.0,,,,
40,2020-03-05,106:208,152:134,private_transport,,,,,,,13.0,,,,
40,2020-03-05,107:207,108:170,bus,,,,,,,,,28.0,,
40,2020-03-05,107:207,143:143,private_transport,,,,,14.0,,,,,,
40,2020-03-05,107:207,64:306,private_transport,,,,,,47.0,,,,,
40,2020-03-05,107:207,152:134,bus,,,,,,,12.0,,,,
40,2020-03-05,107:207,152:134,private_transport,,,,,,,10.0,,,,
40,2020-03-05,108:170,152:134,bus,,,,19.0,,,,,,,
40,2020-03-05,108:170,127:159,bus,,,,13.0,,,,,,,
40,2020-03-05,108:170,153:133,bus,,,,15.0,,,,,,,
40,2020-03-05,108:170,154:132,bus,,,,10.0,,,,,,,
40,2020-03-05,108:170,94:113,bus,,,,10.0,,,,,,,
40,2020-03-05,109:169,100:206,bus,,,,,11.0,,,,,,
40,2020-03-05,109:169,108:170,private_transport,,,,,,,,11.0,,,
40,2020-03-05,109:169,143:143,private_transport,,,,,10.0,,,,,,
40,2020-03-05,109:169,83:108,bus,,,,,,,,,17.0,,
40,2020-03-05,109:169,109:169,bus,,,,,,,,,,15.0,
40,2020-03-05,109:169,109:169,private_transport,,,,,,,,,,11.0,
40,2020-03-05,109:169,129:141,bus,,,,,,,,,12.0,,
40,2020-03-05,109:169,129:141,private_transport,,,,,,,,,13.0,,
40,2020-03-05,109:169,130:140,bus,,,,,,,,,16.0,,
40,2020-03-05,109:169,76:314,private_transport,43.0,,,,,,,,,,
40,2020-03-05,110:168,128:142,private_transport,,,,,,,,,22.0,,
40,2020-03-05,110:168,143:143,private_transport,,,,,,,,,21.0,,
40,2020-03-05,110:168,83:108,bus,,,,,,,49.0,,,,
40,2020-03-05,110:168,83:108,private_transport,,,,,,,34.0,,35.0,,
40,2020-03-05,110:168,109:169,private_transport,,,,,,,14.0,,30.0,,
40,2020-03-05,110:168,116:154,bus,,,12.0,,,,,,,,
40,2020-03-05,110:168,118:152,bus,,,17.0,,,,,,,,
40,2020-03-05,110:168,139:147,bus,,,21.0,,,,,,,,
40,2020-03-05,110:168,95:112,bus,,,13.0,,,,,,,,
40,2020-03-05,110:168,98:217,private_transport,,,,,,,,,22.0,,
40,2020-03-05,111:167,83:108,bus,,,,,,,19.0,,,,
40,2020-03-05,111:167,83:108,private_transport,,,,,,,11.0,,,,
40,2020-03-05,111:167,109:169,private_transport,,,,,,,10.0,,,,
40,2020-03-05,111:167,118:152,bus,,,10.0,,,,,,,,
40,2020-03-05,111:167,117:153,bus,,,10.0,,,,,,,,
40,2020-03-05,114:156,152:134,private_transport,,,,,,,15.0,,,,
40,2020-03-05,114:156,127:159,bus,,,,,,,10.0,,,,
40,2020-03-05,114:156,153:133,bus,,,,,,,12.0,,,,
40,2020-03-05,114:156,153:133,private_transport,,,,,,,10.0,,,,
40,2020-03-05,114:156,154:132,private_transport,,,,,,,12.0,,,,
40,2020-03-05,114:156,98:217,bus,,,,,,,,,,,12.0
40,2020-03-05,114:156,98:217,private_transport,,,,,,,,,,,16.0
40,2020-03-05,114:156,112:158,private_transport,,,,,,,,,,,10.0
40,2020-03-05,114:156,114:156,private_transport,,,,,,,,,,,15.0
40,2020-03-05,114:156,147:123,bus,,,,,,,,,,,14.0
40,2020-03-05,115:155,121:165,bus,,11.0,,,,,,,,,
40,2020-03-05,116:154,116:154,bus,,13.0,,,,,,,,,
40,2020-03-05,116:154,90:117,bus,,,,,,20.0,,,,,
40,2020-03-05,117:153,118:152,bus,,10.0,,,,,,,,,
40,2020-03-05,117:153,118:152,private_transport,,10.0,,,,,,,,,
40,2020-03-05,117:153,90:117,bus,,,,,,14.0,,,,,
40,2020-03-05,118:152,116:154,private_transport,,11.0,,,,,,,,,
40,2020-03-05,118:152,90:117,bus,,,,,,31.0,,,,,
40,2020-03-05,118:152,85:106,bus,,,,,,11.0,,,,,
40,2020-03-05,118:152,85:106,private_transport,,,,,,12.0,,,,,
40,2020-03-05,123:163,107:207,bus,,,,,12.0,,,,,,
40,2020-03-05,127:159,116:154,bus,,,,,13.0,,,,,,
40,2020-03-05,127:159,118:152,bus,,,,,12.0,,,,,,
40,2020-03-05,127:159,139:147,bus,,,,,11.0,,,,,,
40,2020-03-05,128:142,108:170,bus,,,,,,,,15.0,,,
40,2020-03-05,128:142,108:170,private_transport,,,,,,,,17.0,,,
40,2020-03-05,128:142,128:142,bus,,,,,,,,,,12.0,
40,2020-03-05,128:142,128:142,private_transport,,,,,,,,,,10.0,
40,2020-03-05,128:142,64:306,private_transport,,,,,,11.0,,,,,
40,2020-03-05,128:142,152:134,bus,,,,,,,,10.0,,,
40,2020-03-05,128:142,152:134,private_transport,,,,,,,,11.0,,,
40,2020-03-05,128:142,130:140,bus,,,,,,,,,12.0,,
40,2020-03-05,128:142,76:314,private_transport,19.0,,,,,,,,,,
40,2020-03-05,129:141,83:108,bus,,15.0,,,,,,58.0,13.0,16.0,
40,2020-03-05,129:141,83:108,private_transport,,31.0,,,,,,10.0,,,
40,2020-03-05,129:141,109:169,bus,,,,,,,,11.0,,,
40,2020-03-05,129:141,129:141,bus,,,,,,,,,14.0,,
40,2020-03-05,129:141,129:141,private_transport,,,,,,,,,10.0,,
40,2020-03-05,129:141,130:140,bus,,,,,,,,,23.0,,
40,2020-03-05,130:140,83:108,bus,,20.0,,,,,,74.0,14.0,11.0,
40,2020-03-05,130:140,83:108,private_transport,,24.0,,,,,,,,10.0,
40,2020-03-05,130:140,109:169,bus,,,,,,,,12.0,,,
40,2020-03-05,130:140,129:141,bus,,,,,,,,,17.0,,
40,2020-03-05,130:140,129:141,private_transport,,,,,,,,,12.0,,
40,2020-03-05,130:140,130:140,bus,,,,,,,,,31.0,,
40,2020-03-05,139:147,90:117,bus,,,,,,23.0,,,,,
40,2020-03-05,143:143,108:170,bus,,,,,,,,,28.0,,
40,2020-03-05,143:143,108:170,private_transport,,,,,,,,15.0,,,
40,2020-03-05,143:143,151:119,bus,,,,,,,,,10.0,,
40,2020-03-05,143:143,64:306,private_transport,,,,,,43.0,,,,,
40,2020-03-05,143:143,152:134,bus,,,,,,,,,11.0,,
40,2020-03-05,143:143,83:108,bus,,,,,,,,,,10.0,
40,2020-03-05,143:143,83:108,private_transport,,,,,,,,,,11.0,
40,2020-03-05,143:143,129:141,bus,,,,,,,,,13.0,,
40,2020-03-05,143:143,76:314,private_transport,27.0,,,,,,,,,,
40,2020-03-05,143:143,98:217,private_transport,,,,,,,,,,12.0,
40,2020-03-05,144:126,121:165,bus,,14.0,,,,,,,,,
40,2020-03-05,144:126,86:105,bus,,17.0,,,,,,,,,
40,2020-03-05,147:123,107:207,bus,,,,,,,,,,,11.0
40,2020-03-05,147:123,152:134,private_transport,,,,,,,13.0,,,,
40,2020-03-05,147:123,83:108,bus,,,,,,,13.0,,,,
40,2020-03-05,147:123,127:159,private_transport,,,,,,,13.0,,,,
40,2020-03-05,147:123,154:132,private_transport,,,,,,,10.0,,,,
40,2020-03-05,147:123,114:156,bus,,,,,,,,,,,12.0
40,2020-03-05,151:119,152:134,bus,,,,10.0,,,,,,,
40,2020-03-05,152:134,118:152,bus,,,,,16.0,,,,,,
40,2020-03-05,153:133,83:108,bus,,,,,,,,,,24.0,
40,2020-03-05,153:133,116:154,private_transport,,,,,10.0,,,,,,
40,2020-03-05,154:132,83:108,bus,,,,,,,,,,55.0,
40,2020-03-05,154:132,83:108,private_transport,,,,,,,,,,18.0,
40,2020-03-05,154:132,154:132,bus,,,,10.0,,,,,,,
40,2020-03-05,154:132,94:113,bus,,,,,,,,,,10.0,
40,2020-03-05,159:127,121:165,bus,,81.0,,,,,,,,,
40,2020-03-05,159:127,86:105,bus,,25.0,,,,,,,,,
40,2020-03-05,159:127,84:107,bus,,35.0,,,,,,,,,
40,2020-03-05,76:314,107:207,private_transport,,,,,10.0,,,,,,
40,2020-03-05,76:314,64:306,private_transport,,,,,,22.0,,,,,
40,2020-03-05,76:314,152:134,bus,,,,,,,,,12.0,,
40,2020-03-05,76:314,83:108,private_transport,,,,,,,,,,10.0,
40,2020-03-05,76:314,154:132,bus,,,,,,,,,10.0,,
40,2020-03-05,83:108,108:170,bus,,,,,,,,13.0,15.0,,
40,2020-03-05,83:108,108:170,private_transport,,,,,,,,12.0,,,
40,2020-03-05,83:108,128:142,bus,,12.0,,,,,,,,15.0,
40,2020-03-05,83:108,128:142,private_transport,,10.0,,,,,,,,,
40,2020-03-05,83:108,143:143,bus,,21.0,,,,,,,,12.0,
40,2020-03-05,83:108,143:143,private_transport,,,,,,,,,,11.0,
40,2020-03-05,83:108,64:306,private_transport,,,,,,22.0,,,,,
40,2020-03-05,83:108,83:108,bus,,56.0,,,,,,42.0,16.0,27.0,
40,2020-03-05,83:108,83:108,private_transport,,22.0,,,,,,14.0,,15.0,
40,2020-03-05,83:108,154:132,bus,,,,,,,,11.0,,,
40,2020-03-05,83:108,109:169,bus,,36.0,,,,,,,,14.0,
40,2020-03-05,83:108,129:141,bus,,,,,,,,,31.0,,
40,2020-03-05,83:108,129:141,private_transport,,,,,,,,,15.0,,
40,2020-03-05,83:108,130:140,bus,,,,,,,,,28.0,,
40,2020-03-05,83:108,130:140,private_transport,,,,,,,,,13.0,,
40,2020-03-05,83:108,76:314,private_transport,49.0,,,,,,,,,,
40,2020-03-05,83:108,98:217,bus,,36.0,,,,,,,,,
40,2020-03-05,83:108,98:217,private_transport,,,,,,,,,,15.0,
40,2020-03-05,83:108,90:117,bus,,,,22.0,,,,,,,
40,2020-03-05,83:108,90:117,private_transport,,,,13.0,,,,,,,
40,2020-03-05,83:108,126:160,bus,,,,61.0,,,,,,,
40,2020-03-05,83:108,126:160,private_transport,,,,34.0,,,,,,,
40,2020-03-05,83:108,276:144,bus,,,,,,,,,,10.0,
40,2020-03-05,86:105,141:145,bus,,,,,10.0,,,,,,
40,2020-03-05,87:104,100:206,private_transport,,,,,,11.0,,,,,
40,2020-03-05,87:104,107:207,bus,,,,,,11.0,,,,,
40,2020-03-05,87:104,107:207,private_transport,,,,,,18.0,,,,,
40,2020-03-05,87:104,143:143,private_transport,,,,,,10.0,,,,,
40,2020-03-05,87:104,83:108,private_transport,,,,,,16.0,,,,,
40,2020-03-05,87:104,139:147,bus,,,,,13.0,,,,,,
40,2020-03-05,87:104,141:145,bus,,,,,16.0,,,,,,
40,2020-03-05,87:104,141:145,private_transport,,,,,19.0,,,,,,
40,2020-03-05,87:104,140:146,bus,,,,,22.0,,,,,,
40,2020-03-05,90:117,100:206,private_transport,,,,,,10.0,,,,,
40,2020-03-05,91:116,140:146,bus,,,,,16.0,,,,,,
