ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0400_0459,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259
40,2020-03-11,101:205,138:148,bus,,,,,,,,,,,,,,,,10.0,,,,,
40,2020-03-11,101:205,9:509,private_transport,,,,,,,,,,,,,12.0,,,,,,,,
40,2020-03-11,102:204,9:509,private_transport,,,,,,,,,,,,,11.0,,,,,,,,
40,2020-03-11,103:203,9:509,private_transport,,,,,,,,24.0,,,,14.0,,,11.0,,,,,,
40,2020-03-11,103:203,103:203,bus,,,,,,,,43.0,,,,,,,,,,,,,
40,2020-03-11,103:203,103:203,private_transport,,,,,,,,16.0,,,,,,,,,,,,,
40,2020-03-11,103:203,104:202,bus,,,,,,,,,,,,,,,,19.0,,,,,
40,2020-03-11,103:203,104:202,private_transport,,,,,,,,,,,,,,,,40.0,,,,,
40,2020-03-11,103:203,110:168,bus,,,,,,,,,,,,,,,,21.0,,,,,
40,2020-03-11,103:203,110:168,private_transport,,,,,,,,,,,,,,,,52.0,,,,,
40,2020-03-11,103:203,111:167,private_transport,,,,,,,,,,,,,,,,10.0,,,,,
40,2020-03-11,103:203,131:139,bus,,,,,,,,11.0,,,,,,,,,,,,,
40,2020-03-11,103:203,147:123,private_transport,,,,,,,,,,,,,,,,13.0,,,,,
40,2020-03-11,103:203,25:525,private_transport,,,,,,,,151.0,,,,,,,,,,,,,
40,2020-03-11,103:203,29:529,private_transport,,,,,,,,,,,,,107.0,,,,,,,,
40,2020-03-11,103:203,32:532,private_transport,,,,,,,,29.0,,,,,,,,,,,,,
40,2020-03-11,103:203,58:303,bus,,,,,,,,12.0,,,,,,,,,,,,,
40,2020-03-11,104:202,29:529,private_transport,,,,,,,,,,,,,,,78.0,,,,,,
40,2020-03-11,104:202,158:128,private_transport,,,,,,,,,25.0,,,,,,,,,,,,
40,2020-03-11,104:202,45:319,private_transport,,,,,,,,,,45.0,,,,,,,,,,,
40,2020-03-11,104:202,88:103,private_transport,,,,,,,,,12.0,,,,,,,,,,,,
40,2020-03-11,105:201,111:167,bus,,,,,,,13.0,,,,,,,,,,,,,,
40,2020-03-11,105:201,148:122,bus,,,,,,,47.0,,,,,,,,,,,,,,
40,2020-03-11,105:201,150:120,bus,,,,,,,12.0,,,,,,,,,,,,,,
40,2020-03-11,106:208,148:122,bus,,,,,,,28.0,,,,,,,,,,,,,,
40,2020-03-11,107:207,104:202,bus,,,,,,,,,,,,12.0,,,,,,,,,
40,2020-03-11,107:207,110:168,bus,,,,,,,,,,,,20.0,,,,,,,,,
40,2020-03-11,107:207,61:413,private_transport,,,,,,,,,,12.0,,,,,,,,,,,
40,2020-03-11,108:170,9:509,private_transport,,,,,,,,,,,,,31.0,,,,,,,,
40,2020-03-11,108:170,103:203,bus,,,,,,,,,,,,,,,,12.0,,,,,
40,2020-03-11,108:170,103:203,private_transport,,,,,,,,,,,,,,,,10.0,,,,,
40,2020-03-11,108:170,104:202,private_transport,,,,,,,,,,,,,12.0,,,,,,,,
40,2020-03-11,108:170,110:168,bus,,,,,,,,,,,,,14.0,,,,12.0,,,,
40,2020-03-11,108:170,111:167,bus,,,,,,,13.0,,,,,,,,,,,,,,
40,2020-03-11,108:170,111:167,private_transport,,,,,,,,,,,,,11.0,,,,,,,,
40,2020-03-11,108:170,147:123,bus,,,,,,,,,,,,,10.0,,,,,,,,
40,2020-03-11,108:170,148:122,bus,,,,,,,27.0,,,,,,,,,,12.0,,,,
