ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2200_2259,2300_2359
40,2019-11-12,101:205,101:205,private_transport,,,,10.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,101:205,129:141,private_transport,,,,23.0,,,,,,,,,,,,,,,,,,,
40,2019-11-12,101:205,159:127,private_transport,,,,,,,,,11.0,,,,,,,,,,,,,,
40,2019-11-12,101:205,45:319,bus,,,,,,,,14.0,,,,,,,,,,,,,,,
40,2019-11-12,101:205,45:319,private_transport,,,,,,,,30.0,,,,,,,,,,,,,,,
40,2019-11-12,101:205,56:416,private_transport,,,,,,,,,10.0,,,,,,,,,,,,,,
40,2019-11-12,101:205,61:413,private_transport,,,,,,,,,22.0,,,,,,,,,,,,,,
40,2019-11-12,101:205,76:314,private_transport,,,,,,,,,,,,29.0,,,,,,,,,,,
40,2019-11-12,102:204,48:301,private_transport,,,,,,,,,,,,,13.0,,,,,,,,,,
40,2019-11-12,103:203,134:136,private_transport,,11.0,,,,,,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,155:131,private_transport,,16.0,,,,,,,,,,,,,,,,,,,,,
40,2019-11-12,103:203,156:130,private_transport,,18.0,,,,,,,,,,,,,,,,,,,,,
40,2019-11-12,104:202,45:319,bus,,,,,10.0,,,,,,,,,,,,,,,,,,
40,2019-11-12,104:202,48:301,private_transport,,,,,,,,,,,,,26.0,,,,,23.0,,,,,
40,2019-11-12,104:202,135:135,bus,,,,,,,,,,,,,,,,11.0,,,,,,,
40,2019-11-12,104:202,135:135,private_transport,,,,,,,,,,,,,,,,11.0,,,,,,,
40,2019-11-12,104:202,77:312,private_transport,,,,,,,,,,,,,13.0,,,,,21.0,,,,,
40,2019-11-12,105:201,45:319,bus,,,,,71.0,,,,,,,,,,,,,,,,,,
40,2019-11-12,105:201,45:319,private_transport,,,,,28.0,,,,,,,,,,,,,,,,,,
40,2019-11-12,105:201,48:301,private_transport,26.0,,,,,,,,,,,,,,,,,,,,,,
40,2019-11-12,105:201,77:312,private_transport,21.0,,,,,,,,,,,,,,,,,,,,,,
40,2019-11-12,106:208,45:319,bus,,,,,26.0,,,,,,,,,,,,,,,,,,
40,2019-11-12,106:208,45:319,private_transport,,,,,22.0,,,,,,,,,,,,,,,,,,
40,2019-11-12,106:208,48:301,private_transport,21.0,,,,,,,,,,,,,,,,,,,,,,
40,2019-11-12,106:208,77:312,private_transport,14.0,,,,,,,,,,,,,,,,,,,,,,
40,2019-11-12,106:208,50:412,private_transport,,32.0,,,,,,,,,,,,,,,,,,,,,
40,2019-11-12,107:207,45:319,private_transport,,,,,,,,,,,,,,,,,,,,12.0,,,
40,2019-11-12,107:207,50:412,private_transport,,67.0,,,,,,,,,,,,,,,,,,,,,
