ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159
41,2019-11-19,101:205,126:160,bus,,,,,,,,,,,,,,,12.0,,,,,
41,2019-11-19,101:205,90:117,bus,,,,,,,,,,,,,,,12.0,,,,,
41,2019-11-19,101:205,90:117,private_transport,,,,,,,,,,,,,,,10.0,,,,,
41,2019-11-19,102:204,126:160,private_transport,,,,,,,,,,,,,,,12.0,,,,,
41,2019-11-19,104:202,58:303,bus,,,,,,,,,,,,,,,,38.0,,,,
41,2019-11-19,104:202,58:303,private_transport,,,,,,,,,,,,,,,,42.0,,,,
41,2019-11-19,105:201,105:201,bus,,,,,,,,,,,13.0,,,,,,,,,
41,2019-11-19,105:201,106:208,bus,,,,,,,,,,,17.0,,,,,,,,,
41,2019-11-19,105:201,57:310,private_transport,,,,,,,,,,,12.0,,,,,,,,,
41,2019-11-19,106:208,105:201,bus,,,,,,,,,,,18.0,,,,,,,,,
41,2019-11-19,106:208,105:201,private_transport,,,,,,,,,,,10.0,,,,,,,,,
41,2019-11-19,106:208,57:310,bus,,,,,,,,,,,15.0,,,,,,,,,
41,2019-11-19,106:208,57:310,private_transport,,,,,,,,,,,10.0,,,,,,,,,
41,2019-11-19,108:170,159:127,bus,,,,,,,,,,,,15.0,,,,,,,,
41,2019-11-19,108:170,159:127,private_transport,,,,,,,,,,,,12.0,,,,,,,,
41,2019-11-19,109:169,126:160,bus,,,,,21.0,,18.0,,,,,,,,,,,,,
41,2019-11-19,109:169,126:160,private_transport,,,,,21.0,,12.0,,,,,,,,,,,,,
41,2019-11-19,109:169,90:117,bus,,,,,13.0,,,,,,,,,,,,,,,
41,2019-11-19,109:169,90:117,private_transport,,,,,12.0,,,,,,,,,,12.0,,,,,
41,2019-11-19,109:169,121:165,bus,,,,,,,,,,13.0,,,,,,,,,,
41,2019-11-19,109:169,93:114,private_transport,12.0,,,,,,,,,,,,,,,,,,,
41,2019-11-19,109:169,97:102,bus,,,,,,,,,,,,20.0,,,,,,,,
41,2019-11-19,110:168,126:160,bus,,,,,,,55.0,,,,,13.0,,,11.0,,,,,
41,2019-11-19,110:168,126:160,private_transport,,,,,,,28.0,,,,,,,,,,,,,
41,2019-11-19,110:168,90:117,bus,,,,,,,27.0,,,,,,,,64.0,,,,,
41,2019-11-19,110:168,90:117,private_transport,,,,,,,,,,,,,,,44.0,,,,,
41,2019-11-19,110:168,121:165,bus,,,,,,,,,,35.0,,,,,,,,,,
41,2019-11-19,110:168,121:165,private_transport,,,,,,,,,,12.0,,,,,,,,,,
41,2019-11-19,110:168,93:114,bus,,,,,,,,,,,,,,,13.0,,,,,
41,2019-11-19,110:168,97:102,bus,,,,,,,,,,,,79.0,,,,,,,,
41,2019-11-19,110:168,97:102,private_transport,,,,,,,,,,,,29.0,,,,,,,,
41,2019-11-19,110:168,127:159,private_transport,,,,,,,,,,,,11.0,,,,,,,,
41,2019-11-19,110:168,84:107,bus,,,,,,,,,,17.0,,,,,,,,,,
41,2019-11-19,110:168,86:105,bus,,,,,,,,,,21.0,,,,,,,,,,
41,2019-11-19,110:168,92:115,private_transport,,,,,,,,,,,,,,,12.0,,,,,
41,2019-11-19,110:168,94:113,bus,,,,,,,,,,,,,,,49.0,,,,,
41,2019-11-19,110:168,94:113,private_transport,,,,,,,,,,,,,,,70.0,,,,,
41,2019-11-19,111:167,58:303,bus,,,,,,,,,,,,,,,,25.0,,,,
41,2019-11-19,111:167,58:303,private_transport,,,,,,,,,,,,,,,,28.0,,,,
41,2019-11-19,111:167,93:114,bus,,,,,,,57.0,,,,,,,,,,,,,
41,2019-11-19,111:167,93:114,private_transport,,,,,,,11.0,,,,,,,,,,,,,
41,2019-11-19,111:167,94:113,bus,,,,,,,31.0,,,,,,,,,,,,,
