ProjectID,Date,Origin,Destination,Modo,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1900_1959,2000_2059,2100_2159
42,2020-03-05,108:170,126:160,bus,,,,,,29.0,,,,,,,,
42,2020-03-05,108:170,140:146,bus,,,,,,,,,,,,,15.0,
42,2020-03-05,108:170,140:146,private_transport,,,,,,,,,,,,,12.0,
42,2020-03-05,108:170,141:145,bus,,,,,,,,,,,,,14.0,
42,2020-03-05,108:170,141:145,private_transport,,,,,,,,,,,,,13.0,
42,2020-03-05,109:169,109:169,bus,,13.0,,,,,,,,,,,,
42,2020-03-05,109:169,128:142,bus,,12.0,,,,,,,,,,,,
42,2020-03-05,109:169,128:142,private_transport,,11.0,,,,,,,,,,,,
42,2020-03-05,109:169,83:108,private_transport,,12.0,,,,,,,,,,,,
42,2020-03-05,111:167,126:160,bus,,,,,,,,,,,,,,11.0
42,2020-03-05,111:167,126:160,private_transport,,,,,,,,,,,,,,12.0
42,2020-03-05,111:167,145:125,bus,,,,,,,,,,,,,,10.0
42,2020-03-05,111:167,145:125,private_transport,,,,,,,,,,,,,,11.0
42,2020-03-05,111:167,156:130,bus,,,,,,,,,,,,,,11.0
42,2020-03-05,111:167,156:130,private_transport,,,,,,,,,,,,,,14.0
42,2020-03-05,111:167,160:110,bus,,,,,,,,,,,,,,21.0
42,2020-03-05,111:167,160:110,private_transport,,,,,,,,,,,,,,28.0
42,2020-03-05,111:167,96:111,bus,,,,,,,,,,,,,,10.0
42,2020-03-05,111:167,96:111,private_transport,,,,,,,,,,,,,,13.0
42,2020-03-05,118:152,156:130,bus,,,,11.0,,,,,,,,,,
42,2020-03-05,118:152,118:152,bus,,13.0,,,,,,,,,,,,
42,2020-03-05,118:152,129:141,bus,,,,,,,,28.0,,,,,,
42,2020-03-05,118:152,129:141,private_transport,,,,,,,,11.0,,,,,,
