,Date,Destination,Distance,Modo,Origin,ProjectID,Trips
0,2020-03-02,111:167,0_5,bus,111:167,42,
1,2020-03-02,111:167,0_5,bus,148:122,42,
2,2020-03-02,111:167,0_5,bus,157:129,42,
3,2020-03-02,122:164,0_5,bus,122:164,42,
4,2020-03-02,122:164,0_5,bus,127:159,42,
5,2020-03-02,122:164,0_5,bus,97:102,42,
6,2020-03-02,127:159,0_5,bus,122:164,42,11.0
7,2020-03-02,127:159,0_5,bus,97:102,42,10.0
8,2020-03-02,134:136,0_5,bus,145:125,42,
9,2020-03-02,141:145,0_5,bus,145:125,42,
10,2020-03-02,145:125,0_5,bus,134:136,42,
11,2020-03-02,145:125,0_5,bus,141:145,42,
12,2020-03-02,145:125,0_5,bus,145:125,42,
13,2020-03-02,145:125,0_5,bus,155:131,42,
14,2020-03-02,148:122,0_5,bus,111:167,42,
15,2020-03-02,148:122,0_5,bus,148:122,42,15.0
16,2020-03-02,148:122,0_5,bus,150:120,42,
17,2020-03-02,148:122,0_5,bus,157:129,42,
18,2020-03-02,150:120,0_5,bus,148:122,42,
19,2020-03-02,155:131,0_5,bus,145:125,42,
20,2020-03-02,155:131,0_5,bus,155:131,42,
21,2020-03-02,157:129,0_5,bus,111:167,42,
22,2020-03-02,157:129,0_5,bus,148:122,42,
23,2020-03-02,157:129,0_5,bus,157:129,42,13.0
24,2020-03-02,157:129,0_5,bus,158:128,42,
25,2020-03-02,158:128,0_5,bus,157:129,42,
26,2020-03-02,158:128,0_5,bus,158:128,42,
27,2020-03-02,88:103,0_5,bus,126:160,42,
28,2020-03-02,88:103,0_5,bus,97:102,42,
29,2020-03-02,97:102,0_5,bus,122:164,42,
30,2020-03-02,97:102,0_5,bus,126:160,42,
31,2020-03-02,97:102,0_5,bus,127:159,42,
32,2020-03-02,97:102,0_5,bus,97:102,42,17.0
33,2020-03-02,100:206,5_10,bus,100:206,42,
34,2020-03-02,100:206,5_10,bus,107:207,42,
35,2020-03-02,100:206,5_10,bus,128:142,42,
36,2020-03-02,100:206,5_10,bus,143:143,42,
37,2020-03-02,100:206,5_10,bus,76:314,42,
38,2020-03-02,100:206,5_10,bus,83:108,42,
39,2020-03-02,101:205,5_10,bus,101:205,42,17.0
40,2020-03-02,101:205,5_10,bus,129:141,42,26.0
41,2020-03-02,101:205,5_10,bus,130:140,42,
42,2020-03-02,101:205,5_10,bus,153:133,42,
43,2020-03-02,101:205,5_10,bus,154:132,42,11.0
44,2020-03-02,101:205,5_10,bus,83:108,42,
45,2020-03-02,101:205,5_10,bus,89:118,42,
46,2020-03-02,102:204,5_10,bus,120:166,42,
47,2020-03-02,102:204,5_10,bus,141:145,42,
48,2020-03-02,102:204,5_10,bus,145:125,42,
49,2020-03-02,102:204,5_10,bus,99:101,42,
50,2020-03-02,103:203,5_10,bus,104:202,42,
51,2020-03-02,103:203,5_10,bus,85:106,42,
52,2020-03-02,103:203,5_10,bus,87:104,42,15.0
53,2020-03-02,103:203,5_10,bus,88:103,42,11.0
54,2020-03-02,103:203,5_10,bus,90:117,42,
55,2020-03-02,103:203,5_10,bus,91:116,42,
56,2020-03-02,103:203,5_10,bus,92:115,42,
57,2020-03-02,104:202,5_10,bus,103:203,42,
58,2020-03-02,104:202,5_10,bus,104:202,42,17.0
59,2020-03-02,104:202,5_10,bus,111:167,42,15.0
60,2020-03-02,104:202,5_10,bus,138:148,42,11.0
61,2020-03-02,104:202,5_10,bus,87:104,42,
62,2020-03-02,104:202,5_10,bus,92:115,42,
63,2020-03-02,107:207,5_10,bus,100:206,42,
64,2020-03-02,107:207,5_10,bus,107:207,42,
65,2020-03-02,107:207,5_10,bus,128:142,42,
66,2020-03-02,107:207,5_10,bus,143:143,42,
67,2020-03-02,107:207,5_10,bus,76:314,42,
68,2020-03-02,107:207,5_10,bus,83:108,42,
69,2020-03-02,108:170,5_10,bus,129:141,42,
70,2020-03-02,108:170,5_10,bus,151:119,42,
71,2020-03-02,108:170,5_10,bus,152:134,42,
72,2020-03-02,108:170,5_10,bus,154:132,42,17.0
73,2020-03-02,108:170,5_10,bus,89:118,42,
74,2020-03-02,109:169,5_10,bus,126:160,42,
75,2020-03-02,109:169,5_10,bus,127:159,42,
76,2020-03-02,109:169,5_10,bus,150:120,42,
77,2020-03-02,109:169,5_10,bus,83:108,42,18.0
78,2020-03-02,109:169,5_10,bus,97:102,42,24.0
79,2020-03-02,110:168,5_10,bus,122:164,42,
80,2020-03-02,110:168,5_10,bus,126:160,42,
81,2020-03-02,110:168,5_10,bus,127:159,42,
82,2020-03-02,110:168,5_10,bus,150:120,42,
83,2020-03-02,110:168,5_10,bus,97:102,42,
84,2020-03-02,111:167,5_10,bus,104:202,42,14.0
85,2020-03-02,111:167,5_10,bus,111:167,42,14.0
86,2020-03-02,111:167,5_10,bus,122:164,42,
87,2020-03-02,111:167,5_10,bus,138:148,42,
88,2020-03-02,111:167,5_10,bus,158:128,42,
89,2020-03-02,111:167,5_10,bus,97:102,42,
90,2020-03-02,113:157,5_10,bus,113:157,42,
91,2020-03-02,113:157,5_10,bus,131:139,42,
92,2020-03-02,113:157,5_10,bus,132:138,42,
93,2020-03-02,113:157,5_10,bus,88:103,42,11.0
94,2020-03-02,113:157,5_10,bus,90:117,42,
95,2020-03-02,113:157,5_10,bus,95:112,42,10.0
96,2020-03-02,115:155,5_10,bus,124:162,42,
97,2020-03-02,115:155,5_10,bus,125:161,42,10.0
98,2020-03-02,115:155,5_10,bus,135:135,42,
99,2020-03-02,115:155,5_10,bus,137:149,42,19.0
100,2020-03-02,115:155,5_10,bus,159:127,42,10.0
101,2020-03-02,116:154,5_10,bus,115:155,42,
102,2020-03-02,116:154,5_10,bus,116:154,42,
103,2020-03-02,116:154,5_10,bus,133:137,42,
104,2020-03-02,116:154,5_10,bus,134:136,42,
105,2020-03-02,116:154,5_10,bus,135:135,42,13.0
106,2020-03-02,116:154,5_10,bus,137:149,42,
107,2020-03-02,116:154,5_10,bus,139:147,42,
108,2020-03-02,116:154,5_10,bus,144:126,42,
109,2020-03-02,116:154,5_10,bus,159:127,42,
110,2020-03-02,117:153,5_10,bus,116:154,42,
111,2020-03-02,117:153,5_10,bus,134:136,42,
112,2020-03-02,117:153,5_10,bus,135:135,42,
113,2020-03-02,117:153,5_10,bus,95:112,42,
114,2020-03-02,118:152,5_10,bus,115:155,42,
115,2020-03-02,118:152,5_10,bus,116:154,42,
116,2020-03-02,118:152,5_10,bus,133:137,42,
117,2020-03-02,118:152,5_10,bus,134:136,42,
118,2020-03-02,118:152,5_10,bus,135:135,42,18.0
119,2020-03-02,118:152,5_10,bus,139:147,42,12.0
120,2020-03-02,118:152,5_10,bus,140:146,42,
121,2020-03-02,118:152,5_10,bus,141:145,42,
122,2020-03-02,120:166,5_10,bus,102:204,42,
123,2020-03-02,120:166,5_10,bus,120:166,42,13.0
124,2020-03-02,120:166,5_10,bus,136:150,42,
125,2020-03-02,120:166,5_10,bus,140:146,42,
126,2020-03-02,120:166,5_10,bus,141:145,42,16.0
127,2020-03-02,120:166,5_10,bus,145:125,42,13.0
128,2020-03-02,120:166,5_10,bus,99:101,42,13.0
129,2020-03-02,121:165,5_10,bus,87:104,42,
130,2020-03-02,122:164,5_10,bus,104:202,42,12.0
131,2020-03-02,122:164,5_10,bus,111:167,42,
132,2020-03-02,122:164,5_10,bus,122:164,42,10.0
133,2020-03-02,122:164,5_10,bus,126:160,42,13.0
134,2020-03-02,122:164,5_10,bus,127:159,42,
135,2020-03-02,122:164,5_10,bus,150:120,42,23.0
