,ProjectID,Date,Origin,Destination,Modo,Distance,Trips
0,42,2020-03-05,83:108,109:169,bus,0_5,
1,42,2020-03-05,88:103,126:160,bus,0_5,
2,42,2020-03-05,90:117,126:160,bus,0_5,
3,42,2020-03-05,97:102,126:160,bus,0_5,
4,42,2020-03-05,90:117,127:159,bus,0_5,10.0
5,42,2020-03-05,144:126,144:126,bus,0_5,11.0
6,42,2020-03-05,86:105,144:126,bus,0_5,
7,42,2020-03-05,87:104,144:126,bus,0_5,
8,42,2020-03-05,158:128,158:128,bus,0_5,15.0
9,42,2020-03-05,88:103,158:128,bus,0_5,
10,42,2020-03-05,97:102,158:128,bus,0_5,
11,42,2020-03-05,109:169,83:108,bus,0_5,
12,42,2020-03-05,83:108,83:108,bus,0_5,23.0
13,42,2020-03-05,88:103,85:106,bus,0_5,10.0
14,42,2020-03-05,97:102,85:106,bus,0_5,
15,42,2020-03-05,144:126,86:105,bus,0_5,13.0
16,42,2020-03-05,86:105,86:105,bus,0_5,
17,42,2020-03-05,87:104,86:105,bus,0_5,
18,42,2020-03-05,144:126,87:104,bus,0_5,11.0
19,42,2020-03-05,86:105,87:104,bus,0_5,
20,42,2020-03-05,158:128,88:103,bus,0_5,
21,42,2020-03-05,88:103,88:103,bus,0_5,14.0
22,42,2020-03-05,97:102,88:103,bus,0_5,
23,42,2020-03-05,88:103,90:117,bus,0_5,
24,42,2020-03-05,90:117,90:117,bus,0_5,10.0
25,42,2020-03-05,97:102,90:117,bus,0_5,26.0
26,42,2020-03-05,158:128,97:102,bus,0_5,
27,42,2020-03-05,85:106,97:102,bus,0_5,
28,42,2020-03-05,88:103,97:102,bus,0_5,13.0
29,42,2020-03-05,90:117,97:102,bus,0_5,25.0
30,42,2020-03-05,97:102,97:102,bus,0_5,18.0
31,42,2020-03-05,100:206,100:206,bus,5_10,10.0
32,42,2020-03-05,107:207,100:206,bus,5_10,
33,42,2020-03-05,109:169,100:206,bus,5_10,
34,42,2020-03-05,128:142,100:206,bus,5_10,
35,42,2020-03-05,143:143,100:206,bus,5_10,
36,42,2020-03-05,76:314,100:206,bus,5_10,
37,42,2020-03-05,83:108,100:206,bus,5_10,
38,42,2020-03-05,98:217,100:206,bus,5_10,
39,42,2020-03-05,83:108,101:205,bus,5_10,
40,42,2020-03-05,103:203,103:203,bus,5_10,
41,42,2020-03-05,124:162,103:203,bus,5_10,
42,42,2020-03-05,131:139,103:203,bus,5_10,
43,42,2020-03-05,58:303,103:203,bus,5_10,
44,42,2020-03-05,104:202,104:202,bus,5_10,15.0
45,42,2020-03-05,111:167,104:202,bus,5_10,16.0
46,42,2020-03-05,138:148,104:202,bus,5_10,
47,42,2020-03-05,100:206,107:207,bus,5_10,11.0
48,42,2020-03-05,107:207,107:207,bus,5_10,
49,42,2020-03-05,109:169,107:207,bus,5_10,
50,42,2020-03-05,128:142,107:207,bus,5_10,
51,42,2020-03-05,143:143,107:207,bus,5_10,
52,42,2020-03-05,83:108,107:207,bus,5_10,12.0
53,42,2020-03-05,98:217,107:207,bus,5_10,
54,42,2020-03-05,109:169,109:169,bus,5_10,
55,42,2020-03-05,126:160,109:169,bus,5_10,14.0
56,42,2020-03-05,128:142,109:169,bus,5_10,
57,42,2020-03-05,143:143,109:169,bus,5_10,
58,42,2020-03-05,153:133,109:169,bus,5_10,
59,42,2020-03-05,154:132,109:169,bus,5_10,12.0
60,42,2020-03-05,83:108,109:169,bus,5_10,
61,42,2020-03-05,90:117,109:169,bus,5_10,
62,42,2020-03-05,97:102,109:169,bus,5_10,
63,42,2020-03-05,98:217,109:169,bus,5_10,
64,42,2020-03-05,104:202,111:167,bus,5_10,10.0
65,42,2020-03-05,109:169,111:167,bus,5_10,
66,42,2020-03-05,110:168,111:167,bus,5_10,15.0
67,42,2020-03-05,111:167,111:167,bus,5_10,20.0
68,42,2020-03-05,138:148,111:167,bus,5_10,10.0
69,42,2020-03-05,148:122,111:167,bus,5_10,10.0
70,42,2020-03-05,149:121,111:167,bus,5_10,12.0
71,42,2020-03-05,150:120,111:167,bus,5_10,11.0
72,42,2020-03-05,276:144,111:167,bus,5_10,
73,42,2020-03-05,93:114,111:167,bus,5_10,
74,42,2020-03-05,94:113,111:167,bus,5_10,
75,42,2020-03-05,97:102,111:167,bus,5_10,
76,42,2020-03-05,98:217,111:167,bus,5_10,
77,42,2020-03-05,124:162,113:157,bus,5_10,
78,42,2020-03-05,135:135,115:155,bus,5_10,11.0
79,42,2020-03-05,140:146,115:155,bus,5_10,
80,42,2020-03-05,141:145,115:155,bus,5_10,
81,42,2020-03-05,116:154,116:154,bus,5_10,
82,42,2020-03-05,118:152,116:154,bus,5_10,
83,42,2020-03-05,134:136,116:154,bus,5_10,
84,42,2020-03-05,135:135,116:154,bus,5_10,
85,42,2020-03-05,139:147,116:154,bus,5_10,
86,42,2020-03-05,140:146,116:154,bus,5_10,
87,42,2020-03-05,141:145,116:154,bus,5_10,
88,42,2020-03-05,95:112,116:154,bus,5_10,
89,42,2020-03-05,140:146,117:153,bus,5_10,
90,42,2020-03-05,141:145,117:153,bus,5_10,
91,42,2020-03-05,87:104,117:153,bus,5_10,
92,42,2020-03-05,91:116,117:153,bus,5_10,
93,42,2020-03-05,118:152,118:152,bus,5_10,
94,42,2020-03-05,134:136,118:152,bus,5_10,
95,42,2020-03-05,139:147,118:152,bus,5_10,
96,42,2020-03-05,140:146,118:152,bus,5_10,
97,42,2020-03-05,141:145,118:152,bus,5_10,
98,42,2020-03-05,144:126,118:152,bus,5_10,
99,42,2020-03-05,87:104,118:152,bus,5_10,10.0
100,42,2020-03-05,91:116,118:152,bus,5_10,
101,42,2020-03-05,92:115,118:152,bus,5_10,
102,42,2020-03-05,113:157,119:151,bus,5_10,
103,42,2020-03-05,144:126,119:151,bus,5_10,13.0
104,42,2020-03-05,86:105,119:151,bus,5_10,
105,42,2020-03-05,87:104,119:151,bus,5_10,19.0
106,42,2020-03-05,91:116,119:151,bus,5_10,18.0
107,42,2020-03-05,92:115,119:151,bus,5_10,
108,42,2020-03-05,95:112,119:151,bus,5_10,
109,42,2020-03-05,111:167,122:164,bus,5_10,
110,42,2020-03-05,148:122,122:164,bus,5_10,12.0
111,42,2020-03-05,150:120,122:164,bus,5_10,15.0
112,42,2020-03-05,158:128,122:164,bus,5_10,
113,42,2020-03-05,85:106,122:164,bus,5_10,
114,42,2020-03-05,88:103,122:164,bus,5_10,12.0
115,42,2020-03-05,90:117,122:164,bus,5_10,23.0
116,42,2020-03-05,97:102,122:164,bus,5_10,
117,42,2020-03-05,126:160,123:163,bus,5_10,10.0
118,42,2020-03-05,160:110,123:163,bus,5_10,
119,42,2020-03-05,88:103,123:163,bus,5_10,
120,42,2020-03-05,90:117,123:163,bus,5_10,12.0
121,42,2020-03-05,97:102,123:163,bus,5_10,
122,42,2020-03-05,103:203,124:162,bus,5_10,
123,42,2020-03-05,113:157,124:162,bus,5_10,
124,42,2020-03-05,124:162,124:162,bus,5_10,21.0
125,42,2020-03-05,125:161,124:162,bus,5_10,
126,42,2020-03-05,137:149,124:162,bus,5_10,
127,42,2020-03-05,124:162,125:161,bus,5_10,
128,42,2020-03-05,125:161,125:161,bus,5_10,
129,42,2020-03-05,108:170,126:160,bus,5_10,
130,42,2020-03-05,121:165,126:160,bus,5_10,13.0
131,42,2020-03-05,122:164,126:160,bus,5_10,
132,42,2020-03-05,126:160,126:160,bus,5_10,29.0
133,42,2020-03-05,127:159,126:160,bus,5_10,12.0
134,42,2020-03-05,129:141,126:160,bus,5_10,
135,42,2020-03-05,130:140,126:160,bus,5_10,
136,42,2020-03-05,144:126,126:160,bus,5_10,
137,42,2020-03-05,150:120,126:160,bus,5_10,
138,42,2020-03-05,152:134,126:160,bus,5_10,10.0
139,42,2020-03-05,153:133,126:160,bus,5_10,
140,42,2020-03-05,154:132,126:160,bus,5_10,
141,42,2020-03-05,158:128,126:160,bus,5_10,
142,42,2020-03-05,160:110,126:160,bus,5_10,10.0
143,42,2020-03-05,83:108,126:160,bus,5_10,
144,42,2020-03-05,84:107,126:160,bus,5_10,
145,42,2020-03-05,86:105,126:160,bus,5_10,13.0
146,42,2020-03-05,87:104,126:160,bus,5_10,27.0
147,42,2020-03-05,90:117,126:160,bus,5_10,
148,42,2020-03-05,91:116,126:160,bus,5_10,15.0
149,42,2020-03-05,92:115,126:160,bus,5_10,
150,42,2020-03-05,97:102,126:160,bus,5_10,35.0
151,42,2020-03-05,108:170,127:159,bus,5_10,
152,42,2020-03-05,126:160,127:159,bus,5_10,26.0
153,42,2020-03-05,127:159,127:159,bus,5_10,46.0
154,42,2020-03-05,129:141,127:159,bus,5_10,
155,42,2020-03-05,130:140,127:159,bus,5_10,
156,42,2020-03-05,150:120,127:159,bus,5_10,
157,42,2020-03-05,151:119,127:159,bus,5_10,
158,42,2020-03-05,152:134,127:159,bus,5_10,30.0
159,42,2020-03-05,153:133,127:159,bus,5_10,13.0
160,42,2020-03-05,154:132,127:159,bus,5_10,
161,42,2020-03-05,160:110,127:159,bus,5_10,
162,42,2020-03-05,83:108,127:159,bus,5_10,
163,42,2020-03-05,85:106,127:159,bus,5_10,
164,42,2020-03-05,88:103,127:159,bus,5_10,
165,42,2020-03-05,90:117,127:159,bus,5_10,
166,42,2020-03-05,94:113,127:159,bus,5_10,
167,42,2020-03-05,97:102,127:159,bus,5_10,
168,42,2020-03-05,100:206,128:142,bus,5_10,
169,42,2020-03-05,107:207,128:142,bus,5_10,
170,42,2020-03-05,143:143,128:142,bus,5_10,
171,42,2020-03-05,83:108,128:142,bus,5_10,
172,42,2020-03-05,103:203,131:139,bus,5_10,
173,42,2020-03-05,131:139,131:139,bus,5_10,
174,42,2020-03-05,58:303,131:139,bus,5_10,
175,42,2020-03-05,116:154,133:137,bus,5_10,
176,42,2020-03-05,133:137,133:137,bus,5_10,
177,42,2020-03-05,134:136,133:137,bus,5_10,10.0
178,42,2020-03-05,135:135,133:137,bus,5_10,10.0
179,42,2020-03-05,144:126,133:137,bus,5_10,
180,42,2020-03-05,115:155,134:136,bus,5_10,
181,42,2020-03-05,116:154,134:136,bus,5_10,13.0
182,42,2020-03-05,118:152,134:136,bus,5_10,
183,42,2020-03-05,133:137,134:136,bus,5_10,19.0
184,42,2020-03-05,134:136,134:136,bus,5_10,18.0
185,42,2020-03-05,135:135,134:136,bus,5_10,23.0
186,42,2020-03-05,139:147,134:136,bus,5_10,
187,42,2020-03-05,144:126,134:136,bus,5_10,
