ProjectID,Date,Origin,Destination,Modo,Gender,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
42,2019-11-21,0:500,103:203,private_transport,F,,,,,,,,,,11.0,,,,,,,,,,,,,,
42,2019-11-21,0:500,45:319,private_transport,F,,,,,,,,,,14.0,,,,,,,,,,,,,,
42,2019-11-21,0:500,58:303,private_transport,F,,,,,,,,,,161.0,,,,,,,,,,,,,,
42,2019-11-21,100:206,109:169,bus,F,,,,,,,,,,,14.0,,,,,,,,,,,,,
42,2019-11-21,100:206,109:169,private_transport,F,,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2019-11-21,100:206,123:163,bus,F,,,,,,,,,,,,,14.0,,,,,,,,,,,
42,2019-11-21,100:206,128:142,bus,F,,,,,,,,,,,12.0,,,,,,,,,,13.0,,,
42,2019-11-21,100:206,128:142,private_transport,F,,,,,,,,,,,,,,,,,,,,,12.0,,,
42,2019-11-21,100:206,143:143,bus,F,,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2019-11-21,100:206,50:412,private_transport,F,,,,,,,,,,,45.0,,,,,,,,,,,,,
42,2019-11-21,100:206,83:108,bus,F,,,,,,,,,,,,,,,,,,,,,15.0,,,
42,2019-11-21,100:206,83:108,private_transport,F,,,,,,,,,,,,,,,,,,,,,13.0,,,
42,2019-11-21,100:206,93:114,bus,F,,,,,,,,,,,,,14.0,,,,,,,,,,,
42,2019-11-21,100:206,98:217,bus,F,,,,,,,,,,,,,,,,,,,,,14.0,,,
42,2019-11-21,100:206,98:217,private_transport,F,,,,,,,,,,,,,,,,,,,,,12.0,,,
42,2019-11-21,101:205,58:303,private_transport,F,,,,,,,13.0,,,,,,,,,,,,,,,,,
42,2019-11-21,101:205,123:163,bus,F,,,,,,,,,,,,,10.0,,,,,,,,,,,
42,2019-11-21,101:205,50:412,private_transport,F,,,,,,,,,,,15.0,,,,,,,,,,,,,
42,2019-11-21,101:205,83:108,bus,F,,,,,,,,,,,14.0,,,,,,,,,,,,,
42,2019-11-21,101:205,83:108,microtrip,F,,,,,,,,,,,,,12.0,,11.0,,,13.0,,,10.0,11.0,,
42,2019-11-21,101:205,83:108,private_transport,F,,,,,,,,,,,12.0,,,,,,,,,,,,,
42,2019-11-21,101:205,101:205,microtrip,F,13.0,12.0,,,,,,,,11.0,,12.0,10.0,,,,,,,,,,,
42,2019-11-21,101:205,101:205,private_transport,F,,,,,,,,,,,,,,,,,,,,,,10.0,,
42,2019-11-21,101:205,108:170,microtrip,F,,,,,,,,11.0,,14.0,10.0,,,,,,,,13.0,11.0,11.0,,,
42,2019-11-21,101:205,126:160,bus,F,,,,,,,,,,,14.0,,,,,,,,,,,,,
42,2019-11-21,101:205,126:160,microtrip,F,,,,,,,,,,,11.0,,,,10.0,,,,,,,,,
42,2019-11-21,101:205,126:160,private_transport,F,,,,,,,,,,,14.0,,,,,,,,,,,,,
42,2019-11-21,101:205,129:141,bus,F,,,,,,,,,,,,,,,,,,,,14.0,,,,
42,2019-11-21,101:205,129:141,microtrip,F,,,,,,,,,,,,,16.0,13.0,,13.0,12.0,10.0,12.0,,14.0,,,
42,2019-11-21,101:205,145:125,private_transport,F,,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2019-11-21,101:205,146:124,bus,F,,,,,,,,,,,,,,,,,,,26.0,,,,,
42,2019-11-21,101:205,146:124,microtrip,F,,,,,11.0,,,,,11.0,,,,,13.0,,,,,,,,,
42,2019-11-21,101:205,146:124,private_transport,F,,,,,,,,,,,,,,,,,,,15.0,,,,,
42,2019-11-21,101:205,151:119,microtrip,F,,,,,,,,,12.0,,,,,10.0,14.0,12.0,,,,,,,,
42,2019-11-21,101:205,152:134,microtrip,F,,,,,,,,,,,11.0,,,,,,,,,,11.0,,,
42,2019-11-21,101:205,154:132,microtrip,F,,,,,,10.0,11.0,,11.0,12.0,,,,,,,,,12.0,,,12.0,,
42,2019-11-21,101:205,156:130,bus,F,,,,,,,,11.0,,,,,,,,,,,,,,,,
42,2019-11-21,101:205,156:130,microtrip,F,,,,,,,,11.0,,,,,,,,,,,,,,,,
42,2019-11-21,101:205,160:110,bus,F,,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2019-11-21,101:205,160:110,microtrip,F,,,,,,,,,11.0,,,,,,,,,,,,,,,
42,2019-11-21,101:205,89:118,microtrip,F,,,,,,,,,,,,,,10.0,,,,,,10.0,,,,
42,2019-11-21,101:205,90:117,bus,F,,,,,,,,,,,12.0,,,,,,10.0,,,,,,,
42,2019-11-21,101:205,96:111,microtrip,F,,,,,,,,,,,,,10.0,,,,10.0,,,,,,,
42,2019-11-21,102:204,58:303,private_transport,F,,,,,,,20.0,,,,,,,,,,,,,,,,,
