ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
42,2020-03-12,0:500,62:307,private_transport,,,,,10.0,,,,,,,,,,,,,,,,,,,
42,2020-03-12,0:500,76:314,private_transport,,,,,,188.0,,,,,,,,,,,,,,,,,,
42,2020-03-12,100:206,76:314,bus,,,,,,,,,12.0,,,,,14.0,,,,,,,,,,
42,2020-03-12,100:206,76:314,private_transport,,,,,,,,11.0,,,,,,,,,,,,,11.0,,,
42,2020-03-12,100:206,100:206,bus,,,,,,,,12.0,14.0,,,13.0,,19.0,,,,,,,11.0,,,
42,2020-03-12,100:206,100:206,private_transport,,,,,,,,25.0,19.0,,,12.0,,,28.0,,,18.0,,,27.0,,,
42,2020-03-12,100:206,101:205,bus,,,,,,,,,10.0,,,,,10.0,,,,,,,,,,
42,2020-03-12,100:206,101:205,private_transport,10.0,,,,,,,,11.0,,,,,,,,,,,,,,,
42,2020-03-12,100:206,105:201,private_transport,,,,,,,,,,,18.0,,,,,,,,,,,,,
42,2020-03-12,100:206,107:207,bus,,,,,,,,,,,,15.0,,22.0,,,,,,,,,,
42,2020-03-12,100:206,107:207,private_transport,,,,,,,,21.0,,,,14.0,,15.0,27.0,,,10.0,,,12.0,,,
42,2020-03-12,100:206,109:169,bus,,,,,,,,12.0,,,,,,,,,,,,,,,,
42,2020-03-12,100:206,109:169,private_transport,,,,,10.0,,,14.0,,,,,,,,,,,,,,,,
42,2020-03-12,100:206,110:168,bus,,,,,30.0,,,,,,,,,,,,,,,,,,,
42,2020-03-12,100:206,110:168,private_transport,,,,,27.0,,,,,,,,,,,,,,,,,,,
42,2020-03-12,100:206,121:165,bus,,,,,,,,,,,,,,,18.0,,,,,,,,,
42,2020-03-12,100:206,123:163,bus,,,,,,,,,,,,,,,,,,11.0,,,,,,
42,2020-03-12,100:206,128:142,bus,,,,,,,,12.0,,,,,,,,,,,,,,,,
42,2020-03-12,100:206,128:142,private_transport,,,,,,,,,,,,,,,16.0,,,,,,,,,
42,2020-03-12,100:206,129:141,private_transport,,,,,,,,,,,,,,,,,,10.0,,,,,,
42,2020-03-12,100:206,143:143,bus,,,,,,,,,,,,,,10.0,,,,,,,10.0,,,
42,2020-03-12,100:206,143:143,private_transport,,,,,,,,24.0,13.0,,,,,,32.0,,,,,,25.0,,,
42,2020-03-12,100:206,149:121,private_transport,,,,,10.0,,,,,,,,,,,,,13.0,,,,,,
42,2020-03-12,100:206,151:119,bus,,,,,,,,,,,,,,,,,,10.0,,,,,,
42,2020-03-12,100:206,152:134,private_transport,,,,,,,,,,,,,,,,,,10.0,,,,,,
42,2020-03-12,100:206,154:132,bus,,,,,,,,,,,,,,,,,,20.0,,,,,,
42,2020-03-12,100:206,25:525,private_transport,,,,,,,,,57.0,,,,,,,,,,,,,,,
42,2020-03-12,100:206,50:412,private_transport,,,,,,,,,,,,58.0,,,,,,,,61.0,,42.0,,
42,2020-03-12,100:206,51:308,private_transport,,,,,,,,,,,20.0,,,,,,,,,,,,,
42,2020-03-12,100:206,53:309,private_transport,,,,,,,,,,,,49.0,,,,,,,,,,,,
42,2020-03-12,100:206,58:303,bus,,,,,,,,,,,,,,,,,,,,,,12.0,,
42,2020-03-12,100:206,58:303,private_transport,,,,,,,,,,,,,,,,,,,,,44.0,24.0,,
42,2020-03-12,100:206,61:413,bus,,,,,,,,,,,,,,22.0,,,,,,,,,,
42,2020-03-12,100:206,61:413,private_transport,,,,,,,,,53.0,,,,,20.0,,,,,,,,,,
42,2020-03-12,100:206,68:315,private_transport,,,,,,,,,,,,,,,60.0,,,,,,,,,
42,2020-03-12,100:206,75:313,private_transport,,,,,,,,,,,,12.0,,,,,,,,,,,,
42,2020-03-12,100:206,82:418,private_transport,,,,,,,,,,,,,,57.0,,,,,,,,,,
42,2020-03-12,100:206,83:108,bus,,,,,,,,14.0,11.0,,,14.0,,11.0,,,,,,,10.0,,,
42,2020-03-12,100:206,83:108,private_transport,35.0,,,,,,,10.0,13.0,10.0,,10.0,,,,,,,,,,,,
42,2020-03-12,100:206,84:107,bus,,,,,,,,,,,,,,,11.0,,,,,,,,,
42,2020-03-12,100:206,87:104,private_transport,,,,,,,,,,15.0,,,,,,,,,,,,,,
42,2020-03-12,100:206,89:118,bus,,,,,,,,,,,,,,,,,,10.0,,,,,,
42,2020-03-12,100:206,89:118,private_transport,,,,,,,,,,,,,,,,,,15.0,,,,,,
42,2020-03-12,100:206,91:116,bus,,,,,,,,,,10.0,,,,,,,,,,,,,,
42,2020-03-12,100:206,91:116,private_transport,,,,,,,,,,12.0,,,,,,,,,,,,,,
42,2020-03-12,100:206,97:102,private_transport,,,,,,,,,,,,,,,,,20.0,,,,,,,
42,2020-03-12,100:206,98:217,bus,,,,,,,,,,11.0,12.0,,,,,,,,,,,,,
42,2020-03-12,100:206,98:217,private_transport,,,,,,,,12.0,,,10.0,,,,,,,,,,,,,
42,2020-03-12,101:205,62:307,private_transport,,,,,,,31.0,,,,,,,,,,,,,,,,,
42,2020-03-12,101:205,76:314,private_transport,,,,,,,17.0,,,66.0,,,,,,,,,,,,,,
42,2020-03-12,101:205,100:206,bus,,,,,,,,,,,,10.0,,,,,,,,,,,,
42,2020-03-12,101:205,100:206,private_transport,,,,,,,,,,,,11.0,,,,,10.0,11.0,,,,,,
42,2020-03-12,101:205,101:205,bus,,,,,,,,,16.0,,,,,,10.0,25.0,19.0,,,,,,,
42,2020-03-12,101:205,101:205,microtrip,,,10.0,,11.0,,,,,13.0,,,,,10.0,,,16.0,14.0,,10.0,16.0,11.0,
42,2020-03-12,101:205,101:205,private_transport,,,,,,,,,10.0,,,,,12.0,,13.0,,,,,,,,
42,2020-03-12,101:205,107:207,private_transport,,,,,,,,,,,,10.0,,,11.0,,,,,,,,,
42,2020-03-12,101:205,109:169,bus,,,,,,,,,,10.0,,,,,,10.0,,,,,,,,
42,2020-03-12,101:205,109:169,private_transport,,,,,,,,,,10.0,,,,,,,,,,,,,,
42,2020-03-12,101:205,110:168,bus,,,,,10.0,,,,,,,,,,,,,,,,,,,
42,2020-03-12,101:205,110:168,private_transport,,,,,,,,,,,,,,,,,,,12.0,,,,,
42,2020-03-12,101:205,129:141,bus,,,,,,,,,,,,,,30.0,,23.0,28.0,,,,,,,
42,2020-03-12,101:205,129:141,microtrip,,,,,,13.0,11.0,14.0,17.0,18.0,15.0,12.0,26.0,20.0,19.0,,17.0,16.0,29.0,19.0,,16.0,13.0,
42,2020-03-12,101:205,129:141,private_transport,,,,,,,,,,,,,,28.0,,25.0,19.0,,,,,,,
42,2020-03-12,101:205,143:143,bus,,,,,,,,,,,,10.0,,,,,,,,,,,,
42,2020-03-12,101:205,149:121,bus,,,,,,,,,,,,,,,,,,11.0,,,,,,
42,2020-03-12,101:205,151:119,bus,,,,,,,,,11.0,,,,,,,,,,19.0,,,,,
42,2020-03-12,101:205,151:119,microtrip,12.0,,11.0,,,,14.0,22.0,,25.0,22.0,20.0,30.0,16.0,20.0,15.0,13.0,26.0,20.0,12.0,,,13.0,
42,2020-03-12,101:205,151:119,private_transport,,,,,,,,,,,,,,,,,,,19.0,,,,,
42,2020-03-12,101:205,152:134,microtrip,,,,,,,,13.0,,,15.0,19.0,12.0,,21.0,,10.0,18.0,,15.0,,,,
42,2020-03-12,101:205,154:132,bus,,,,,,,,,,,,10.0,,,,,,,,,,,,
42,2020-03-12,101:205,154:132,microtrip,14.0,12.0,,10.0,10.0,,21.0,23.0,21.0,25.0,28.0,21.0,22.0,32.0,17.0,,,16.0,22.0,,23.0,,17.0,
42,2020-03-12,101:205,154:132,private_transport,,,,,,,,,,,,,,,13.0,,,,,,,,,
42,2020-03-12,101:205,25:525,private_transport,,,,,,,,,,,,,,,,,,12.0,,,,,,
42,2020-03-12,101:205,50:412,private_transport,,,,,,,,16.0,,,,,,,,,,,,14.0,,,,
42,2020-03-12,101:205,51:308,private_transport,,,,,,,,,,,11.0,,,,,,,,,,,,,
42,2020-03-12,101:205,58:303,private_transport,,,,,,,,,,,,,,,,,,,,,,,11.0,
42,2020-03-12,101:205,61:413,private_transport,,,,,,,,12.0,24.0,,45.0,,,,,,,,,,,,,
42,2020-03-12,101:205,82:418,private_transport,,,,,,,,,,,,,,13.0,,,,,,,,,,
42,2020-03-12,101:205,83:108,bus,,,,,,,,,11.0,22.0,,,,,11.0,,,,,,,,,
42,2020-03-12,101:205,83:108,microtrip,13.0,,,,10.0,,,,,,,,,16.0,18.0,,,11.0,,,,15.0,,10.0
42,2020-03-12,101:205,83:108,private_transport,,,,,,,,,10.0,27.0,14.0,,,,,,,16.0,,,,,,
42,2020-03-12,101:205,87:104,bus,,,,,,,19.0,,,,,,,,,,,,,,,,,
42,2020-03-12,101:205,87:104,private_transport,12.0,,,,,,19.0,,,,,,12.0,,,,,,,,,,,
42,2020-03-12,101:205,89:118,bus,,,,,,,,,,,,,,,,,10.0,,,,,,,
42,2020-03-12,101:205,89:118,microtrip,11.0,,,,,10.0,,10.0,,25.0,15.0,,,13.0,,10.0,,,14.0,14.0,,18.0,13.0,
42,2020-03-12,101:205,91:116,microtrip,,,,,,,,,,,,,,,,,10.0,,,,,,,
42,2020-03-12,101:205,98:217,private_transport,,,,,,,,,,11.0,,,,,,,,,,,,,,
42,2020-03-12,101:205,108:170,bus,,,,,,,,,,,,21.0,,,13.0,,,,,,,,,
42,2020-03-12,101:205,108:170,microtrip,11.0,,12.0,,11.0,20.0,,32.0,,21.0,18.0,19.0,24.0,,26.0,,11.0,20.0,20.0,18.0,,18.0,,
42,2020-03-12,101:205,108:170,private_transport,,,,,,,,,,,,15.0,,,,,,,,,,,,
42,2020-03-12,101:205,111:167,bus,,,,,,,,,,,,,,,30.0,,,,,,,,,
42,2020-03-12,101:205,116:154,bus,,,,,,,,,,,,,,,,,,10.0,,,,,,
42,2020-03-12,101:205,120:166,microtrip,,,,,,,,,,,,,,,,10.0,,,,,,,,
42,2020-03-12,101:205,124:162,private_transport,,,,,,,,,,,,,,,,,,,10.0,,,,,
42,2020-03-12,101:205,126:160,bus,,,,,,,,,,,,,,,,,,,,,18.0,,,
42,2020-03-12,101:205,126:160,microtrip,,,,,,,,,12.0,,,,,10.0,,,10.0,10.0,12.0,,,,,
42,2020-03-12,101:205,127:159,microtrip,,,,,,,,,,,,,,,12.0,,,,,10.0,,,,
42,2020-03-12,101:205,130:140,bus,,,,,,,,,,,,10.0,,,,,,,,,,,,
42,2020-03-12,101:205,130:140,microtrip,,,,,,,11.0,,,,13.0,,,,12.0,,,,14.0,10.0,,,,
42,2020-03-12,101:205,137:149,bus,,,,,,,,,,,,,,,,,,,10.0,,,,,
42,2020-03-12,101:205,144:126,microtrip,,,,,,,,,,,,,,,,,,,11.0,,,,,
42,2020-03-12,101:205,145:125,microtrip,10.0,,,,,,,,,,,,,,,,,,,,,,,
42,2020-03-12,101:205,146:124,bus,,,,,,,,,19.0,10.0,,11.0,,,,21.0,,,,,,,,
42,2020-03-12,101:205,146:124,private_transport,,,,,,,,,10.0,,,10.0,,,,,,,,,,,,
42,2020-03-12,101:205,153:133,microtrip,,,,,,,,,,,10.0,,,,,,,,13.0,,,,,
42,2020-03-12,101:205,156:130,microtrip,,,,,10.0,,,,,,,,,,,,,,,,,,,
42,2020-03-12,101:205,158:128,bus,,,,,,,,,,,,,,,,,,,11.0,,,,,
42,2020-03-12,101:205,160:110,microtrip,,,,,10.0,12.0,12.0,,10.0,11.0,,15.0,,,,,,13.0,10.0,,,10.0,13.0,
42,2020-03-12,101:205,45:319,private_transport,,,,,,,,,,,,,,,,,,,,,,17.0,,
42,2020-03-12,101:205,48:301,bus,,,,,,,,,,,,,10.0,,,,,,,,,,,
42,2020-03-12,101:205,48:301,private_transport,,,,,,,,,,,,,28.0,,,,,,,,,,,
