,ProjectID,Date,Origin,Destination,Modo,Speed,Trips
0,42,2019-11-12,100:206,100:206,bus,20_30,
1,42,2019-11-12,107:207,100:206,bus,20_30,
2,42,2019-11-12,109:169,100:206,bus,20_30,10.0
3,42,2019-11-12,128:142,100:206,bus,20_30,15.0
4,42,2019-11-12,143:143,100:206,bus,20_30,22.0
5,42,2019-11-12,276:144,100:206,bus,20_30,
6,42,2019-11-12,76:314,100:206,bus,20_30,10.0
7,42,2019-11-12,83:108,100:206,bus,20_30,20.0
8,42,2019-11-12,98:217,100:206,bus,20_30,
9,42,2019-11-12,101:205,101:205,bus,20_30,
10,42,2019-11-12,109:169,101:205,bus,20_30,
11,42,2019-11-12,128:142,101:205,bus,20_30,
12,42,2019-11-12,129:141,101:205,bus,20_30,14.0
13,42,2019-11-12,143:143,101:205,bus,20_30,
14,42,2019-11-12,83:108,101:205,bus,20_30,
15,42,2019-11-12,89:118,101:205,bus,20_30,
16,42,2019-11-12,98:217,101:205,bus,20_30,
17,42,2019-11-12,120:166,102:204,bus,20_30,
18,42,2019-11-12,100:206,107:207,bus,20_30,
19,42,2019-11-12,107:207,107:207,bus,20_30,
20,42,2019-11-12,109:169,107:207,bus,20_30,
21,42,2019-11-12,128:142,107:207,bus,20_30,
22,42,2019-11-12,143:143,107:207,bus,20_30,18.0
23,42,2019-11-12,276:144,107:207,bus,20_30,
24,42,2019-11-12,76:314,107:207,bus,20_30,
25,42,2019-11-12,83:108,107:207,bus,20_30,20.0
26,42,2019-11-12,98:217,107:207,bus,20_30,
27,42,2019-11-12,101:205,108:170,bus,20_30,12.0
28,42,2019-11-12,129:141,108:170,bus,20_30,23.0
29,42,2019-11-12,83:108,108:170,bus,20_30,19.0
30,42,2019-11-12,89:118,108:170,bus,20_30,
31,42,2019-11-12,109:169,109:169,bus,20_30,
32,42,2019-11-12,128:142,109:169,bus,20_30,
33,42,2019-11-12,143:143,109:169,bus,20_30,
34,42,2019-11-12,83:108,109:169,bus,20_30,
35,42,2019-11-12,98:217,109:169,bus,20_30,
36,42,2019-11-12,115:155,115:155,bus,20_30,
37,42,2019-11-12,116:154,115:155,bus,20_30,
38,42,2019-11-12,125:161,115:155,bus,20_30,
39,42,2019-11-12,135:135,115:155,bus,20_30,
40,42,2019-11-12,159:127,115:155,bus,20_30,
41,42,2019-11-12,115:155,116:154,bus,20_30,
42,42,2019-11-12,120:166,120:166,bus,20_30,
43,42,2019-11-12,136:150,120:166,bus,20_30,
44,42,2019-11-12,141:145,120:166,bus,20_30,
45,42,2019-11-12,85:106,120:166,bus,20_30,
46,42,2019-11-12,87:104,120:166,bus,20_30,
47,42,2019-11-12,92:115,120:166,bus,20_30,
48,42,2019-11-12,115:155,125:161,bus,20_30,
49,42,2019-11-12,100:206,128:142,bus,20_30,
50,42,2019-11-12,107:207,128:142,bus,20_30,
51,42,2019-11-12,109:169,128:142,bus,20_30,
52,42,2019-11-12,128:142,128:142,bus,20_30,13.0
53,42,2019-11-12,143:143,128:142,bus,20_30,
54,42,2019-11-12,83:108,128:142,bus,20_30,
55,42,2019-11-12,98:217,128:142,bus,20_30,
56,42,2019-11-12,101:205,129:141,bus,20_30,12.0
57,42,2019-11-12,129:141,129:141,bus,20_30,12.0
58,42,2019-11-12,89:118,129:141,bus,20_30,
59,42,2019-11-12,115:155,135:135,bus,20_30,
60,42,2019-11-12,87:104,136:150,bus,20_30,
