,Date,Destination,Modo,Origin,ProjectID,Speed,Trips
0,2019-11-22,103:203,bus,104:202,42,20_30,
1,2019-11-22,104:202,bus,103:203,42,20_30,
2,2019-11-22,104:202,bus,104:202,42,20_30,15.0
3,2019-11-22,104:202,bus,111:167,42,20_30,27.0
4,2019-11-22,104:202,bus,138:148,42,20_30,
5,2019-11-22,109:169,bus,111:167,42,20_30,
6,2019-11-22,109:169,bus,121:165,42,20_30,
7,2019-11-22,109:169,bus,129:141,42,20_30,
8,2019-11-22,109:169,bus,151:119,42,20_30,
9,2019-11-22,109:169,bus,154:132,42,20_30,13.0
10,2019-11-22,109:169,bus,157:129,42,20_30,
11,2019-11-22,109:169,bus,89:118,42,20_30,
12,2019-11-22,109:169,bus,94:113,42,20_30,10.0
13,2019-11-22,110:168,bus,111:167,42,20_30,
14,2019-11-22,110:168,bus,122:164,42,20_30,
15,2019-11-22,110:168,bus,149:121,42,20_30,
16,2019-11-22,110:168,bus,150:120,42,20_30,
17,2019-11-22,110:168,bus,158:128,42,20_30,10.0
18,2019-11-22,110:168,bus,97:102,42,20_30,
19,2019-11-22,111:167,bus,104:202,42,20_30,25.0
20,2019-11-22,111:167,bus,110:168,42,20_30,
21,2019-11-22,111:167,bus,111:167,42,20_30,16.0
22,2019-11-22,111:167,bus,122:164,42,20_30,
23,2019-11-22,111:167,bus,138:148,42,20_30,
24,2019-11-22,111:167,bus,149:121,42,20_30,
25,2019-11-22,111:167,bus,150:120,42,20_30,
26,2019-11-22,111:167,bus,158:128,42,20_30,
27,2019-11-22,111:167,bus,97:102,42,20_30,
28,2019-11-22,128:142,bus,154:132,42,20_30,14.0
29,2019-11-22,128:142,bus,89:118,42,20_30,
30,2019-11-22,138:148,bus,104:202,42,20_30,
31,2019-11-22,138:148,bus,111:167,42,20_30,
32,2019-11-22,143:143,bus,154:132,42,20_30,
33,2019-11-22,143:143,bus,89:118,42,20_30,
34,2019-11-22,144:126,bus,144:126,42,20_30,
35,2019-11-22,144:126,bus,156:130,42,20_30,
36,2019-11-22,144:126,bus,159:127,42,20_30,
37,2019-11-22,144:126,bus,87:104,42,20_30,
38,2019-11-22,144:126,bus,91:116,42,20_30,
39,2019-11-22,148:122,bus,122:164,42,20_30,
40,2019-11-22,148:122,bus,149:121,42,20_30,
41,2019-11-22,148:122,bus,150:120,42,20_30,17.0
42,2019-11-22,148:122,bus,158:128,42,20_30,
43,2019-11-22,148:122,bus,97:102,42,20_30,
44,2019-11-22,149:121,bus,110:168,42,20_30,
45,2019-11-22,149:121,bus,111:167,42,20_30,
46,2019-11-22,149:121,bus,122:164,42,20_30,14.0
47,2019-11-22,149:121,bus,148:122,42,20_30,
48,2019-11-22,149:121,bus,149:121,42,20_30,
49,2019-11-22,149:121,bus,150:120,42,20_30,29.0
50,2019-11-22,149:121,bus,158:128,42,20_30,
51,2019-11-22,149:121,bus,97:102,42,20_30,
52,2019-11-22,276:144,bus,111:167,42,20_30,
53,2019-11-22,276:144,bus,121:165,42,20_30,
54,2019-11-22,276:144,bus,154:132,42,20_30,
55,2019-11-22,276:144,bus,157:129,42,20_30,
56,2019-11-22,276:144,bus,158:128,42,20_30,
57,2019-11-22,276:144,bus,84:107,42,20_30,
58,2019-11-22,276:144,bus,94:113,42,20_30,18.0
59,2019-11-22,83:108,bus,129:141,42,20_30,
60,2019-11-22,83:108,bus,151:119,42,20_30,
61,2019-11-22,83:108,bus,152:134,42,20_30,
62,2019-11-22,83:108,bus,154:132,42,20_30,
63,2019-11-22,83:108,bus,89:118,42,20_30,
64,2019-11-22,86:105,bus,159:127,42,20_30,10.0
65,2019-11-22,87:104,bus,134:136,42,20_30,11.0
66,2019-11-22,87:104,bus,144:126,42,20_30,
67,2019-11-22,87:104,bus,155:131,42,20_30,
68,2019-11-22,87:104,bus,156:130,42,20_30,13.0
69,2019-11-22,87:104,bus,87:104,42,20_30,
70,2019-11-22,87:104,bus,91:116,42,20_30,
71,2019-11-22,87:104,bus,92:115,42,20_30,
72,2019-11-22,91:116,bus,134:136,42,20_30,
73,2019-11-22,91:116,bus,155:131,42,20_30,
74,2019-11-22,91:116,bus,156:130,42,20_30,
75,2019-11-22,91:116,bus,87:104,42,20_30,
76,2019-11-22,91:116,bus,91:116,42,20_30,
77,2019-11-22,92:115,bus,156:130,42,20_30,10.0
78,2019-11-22,92:115,bus,87:104,42,20_30,
79,2019-11-22,94:113,bus,94:113,42,20_30,
80,2019-11-22,98:217,bus,111:167,42,20_30,
81,2019-11-22,98:217,bus,121:165,42,20_30,
82,2019-11-22,98:217,bus,129:141,42,20_30,
83,2019-11-22,98:217,bus,151:119,42,20_30,11.0
84,2019-11-22,98:217,bus,152:134,42,20_30,
85,2019-11-22,98:217,bus,154:132,42,20_30,
86,2019-11-22,98:217,bus,157:129,42,20_30,13.0
87,2019-11-22,98:217,bus,158:128,42,20_30,
88,2019-11-22,98:217,bus,84:107,42,20_30,
89,2019-11-22,98:217,bus,89:118,42,20_30,
90,2019-11-22,98:217,bus,93:114,42,20_30,
91,2019-11-22,98:217,bus,94:113,42,20_30,23.0
92,2019-11-22,100:206,bus,100:206,42,30_40,15.0
93,2019-11-22,100:206,bus,101:205,42,30_40,
94,2019-11-22,100:206,bus,107:207,42,30_40,
95,2019-11-22,100:206,bus,109:169,42,30_40,28.0
96,2019-11-22,100:206,bus,110:168,42,30_40,
97,2019-11-22,100:206,bus,122:164,42,30_40,16.0
98,2019-11-22,100:206,bus,123:163,42,30_40,
99,2019-11-22,100:206,bus,126:160,42,30_40,19.0
100,2019-11-22,100:206,bus,127:159,42,30_40,24.0
101,2019-11-22,100:206,bus,128:142,42,30_40,18.0
102,2019-11-22,100:206,bus,137:149,42,30_40,
103,2019-11-22,100:206,bus,143:143,42,30_40,10.0
104,2019-11-22,100:206,bus,144:126,42,30_40,11.0
105,2019-11-22,100:206,bus,149:121,42,30_40,12.0
106,2019-11-22,100:206,bus,150:120,42,30_40,
107,2019-11-22,100:206,bus,152:134,42,30_40,
108,2019-11-22,100:206,bus,153:133,42,30_40,
109,2019-11-22,100:206,bus,154:132,42,30_40,
110,2019-11-22,100:206,bus,159:127,42,30_40,34.0
111,2019-11-22,100:206,bus,276:144,42,30_40,
112,2019-11-22,100:206,bus,76:314,42,30_40,
113,2019-11-22,100:206,bus,83:108,42,30_40,14.0
114,2019-11-22,100:206,bus,85:106,42,30_40,
115,2019-11-22,100:206,bus,87:104,42,30_40,10.0
116,2019-11-22,100:206,bus,88:103,42,30_40,
117,2019-11-22,100:206,bus,90:117,42,30_40,25.0
118,2019-11-22,100:206,bus,94:113,42,30_40,
119,2019-11-22,100:206,bus,97:102,42,30_40,
120,2019-11-22,100:206,bus,98:217,42,30_40,18.0
121,2019-11-22,101:205,bus,100:206,42,30_40,
122,2019-11-22,101:205,bus,101:205,42,30_40,17.0
123,2019-11-22,101:205,bus,102:204,42,30_40,12.0
124,2019-11-22,101:205,bus,103:203,42,30_40,
125,2019-11-22,101:205,bus,107:207,42,30_40,
126,2019-11-22,101:205,bus,108:170,42,30_40,17.0
127,2019-11-22,101:205,bus,109:169,42,30_40,
128,2019-11-22,101:205,bus,110:168,42,30_40,14.0
129,2019-11-22,101:205,bus,111:167,42,30_40,
130,2019-11-22,101:205,bus,118:152,42,30_40,
131,2019-11-22,101:205,bus,119:151,42,30_40,
132,2019-11-22,101:205,bus,121:165,42,30_40,
133,2019-11-22,101:205,bus,122:164,42,30_40,
134,2019-11-22,101:205,bus,123:163,42,30_40,17.0
135,2019-11-22,101:205,bus,126:160,42,30_40,
136,2019-11-22,101:205,bus,127:159,42,30_40,
137,2019-11-22,101:205,bus,128:142,42,30_40,
138,2019-11-22,101:205,bus,129:141,42,30_40,29.0
139,2019-11-22,101:205,bus,130:140,42,30_40,
140,2019-11-22,101:205,bus,136:150,42,30_40,
141,2019-11-22,101:205,bus,143:143,42,30_40,13.0
142,2019-11-22,101:205,bus,144:126,42,30_40,
143,2019-11-22,101:205,bus,145:125,42,30_40,
144,2019-11-22,101:205,bus,146:124,42,30_40,13.0
145,2019-11-22,101:205,bus,149:121,42,30_40,
146,2019-11-22,101:205,bus,150:120,42,30_40,
147,2019-11-22,101:205,bus,151:119,42,30_40,
148,2019-11-22,101:205,bus,152:134,42,30_40,
149,2019-11-22,101:205,bus,153:133,42,30_40,
150,2019-11-22,101:205,bus,154:132,42,30_40,16.0
151,2019-11-22,101:205,bus,157:129,42,30_40,
152,2019-11-22,101:205,bus,158:128,42,30_40,
153,2019-11-22,101:205,bus,159:127,42,30_40,
154,2019-11-22,101:205,bus,160:110,42,30_40,11.0
155,2019-11-22,101:205,bus,76:314,42,30_40,
156,2019-11-22,101:205,bus,83:108,42,30_40,21.0
157,2019-11-22,101:205,bus,85:106,42,30_40,
