ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
42,2020-03-07,100:206,100:206,private_transport,,,,,,,,,,,,18.0,,,,,,,,,,,,
42,2020-03-07,100:206,111:167,bus,,,,,,,,,,,,,,,,,,,,,,12.0,,
42,2020-03-07,100:206,111:167,private_transport,,,,,,,,,,,,,,,,,,,,,,38.0,,
42,2020-03-07,100:206,128:142,bus,,,,,,,13.0,,,,,,,,,,,,,,,,,
42,2020-03-07,100:206,128:142,private_transport,,,,,,,12.0,,,,,,,,,,,,,,,,,
42,2020-03-07,100:206,143:143,bus,,,,,,,11.0,,,,,,,,,,,,,,,,,
42,2020-03-07,100:206,143:143,private_transport,,,,,,,11.0,,,,,13.0,,,,,,,,,,,,
42,2020-03-07,101:205,101:205,microtrip,,,,,,,,,,,,,,,10.0,,,,,,,,,
42,2020-03-07,101:205,108:170,microtrip,,,,,,,,,,,13.0,,,,,,,,,10.0,,,,10.0
42,2020-03-07,101:205,129:141,bus,,,,,,,,,,,,,,,,,,,15.0,,,,,
42,2020-03-07,101:205,129:141,microtrip,,,,,,,10.0,,,,14.0,,,,,,,,,,,,,
42,2020-03-07,101:205,129:141,private_transport,,,,,,,,,,,,,,,,,,,16.0,31.0,,,,
42,2020-03-07,101:205,151:119,microtrip,12.0,,,,,,,,,,,,,,,,,,11.0,,,,,
42,2020-03-07,101:205,153:133,microtrip,,,,,,,,,,,,,,10.0,,,,,,,,,,
42,2020-03-07,101:205,154:132,microtrip,,,,,,,,,,,13.0,,,13.0,,,,,14.0,,,,,
42,2020-03-07,101:205,154:132,private_transport,,,,,,,,,,,18.0,,,,,,,,,,,,,
42,2020-03-07,101:205,76:314,private_transport,,,,,,,30.0,,,,,,,,,,,,,,,,,
42,2020-03-07,101:205,83:108,microtrip,,,,,,,,,,,10.0,,,,13.0,,,11.0,10.0,,,,,
42,2020-03-07,101:205,83:108,private_transport,,14.0,,,,,,,,,,,,,,,,,,,,,,
42,2020-03-07,101:205,89:118,bus,,,,,,,,,,,13.0,,,,,,,,,,,,,
42,2020-03-07,101:205,89:118,microtrip,,,,,,,,,,10.0,,,,,,,13.0,,,,,,10.0,
42,2020-03-07,102:204,121:165,private_transport,11.0,,,,,,,,,,,,,,,,,,,,,,,
42,2020-03-07,102:204,136:150,microtrip,,,,,,,,,,,,,,,11.0,,,,,,,,,
42,2020-03-07,102:204,141:145,private_transport,,,,,,,,,,,,,,,,,,,,,,10.0,,
42,2020-03-07,102:204,99:101,microtrip,,,,,,,,,,,,,,,,,,,10.0,,,,,
42,2020-03-07,102:204,99:101,private_transport,,,,,,,,,,,,,,,,11.0,,,,,,12.0,,
42,2020-03-07,103:203,111:167,private_transport,,,,,,,,10.0,,,,,,,,49.0,,,,,,,,
42,2020-03-07,103:203,83:108,private_transport,,,,,,,,,,,,,,,61.0,,,,,,,,,
42,2020-03-07,103:203,103:203,private_transport,,,,,,,,,,,,,,,,,,,,,,,42.0,
42,2020-03-07,103:203,131:139,private_transport,,,,,,,,,,,,,,,,,,,,,,,31.0,
42,2020-03-07,103:203,137:149,private_transport,,,,,,,,,,,,12.0,,,,,,,,,,,,
42,2020-03-07,103:203,144:126,private_transport,,,,,,,,,,,16.0,,,,,,,,,,,,,
42,2020-03-07,103:203,45:319,bus,,,,,,,,,,,,,,,,11.0,,,,,,,,
42,2020-03-07,103:203,45:319,private_transport,,,,,,,,22.0,,,,11.0,23.0,,,10.0,,,13.0,14.0,,,,
42,2020-03-07,103:203,47:320,private_transport,,,,,,,,,,,,,,,,,,11.0,,,,,,
42,2020-03-07,103:203,48:301,private_transport,,,,,,,,25.0,,,11.0,,,,,,,,,,,,,
42,2020-03-07,103:203,61:413,private_transport,,,,,,,,,,,,,,,,,,15.0,,,,,,
42,2020-03-07,103:203,64:306,bus,,,,,,,,,,,,,,,15.0,,,,,,,,,
42,2020-03-07,103:203,64:306,private_transport,,,,,,,43.0,12.0,,,,,,12.0,33.0,,,,13.0,,,,,
42,2020-03-07,103:203,77:312,private_transport,,,,,,,,22.0,,,12.0,,,,,,,,,,,,,
42,2020-03-07,103:203,78:302,private_transport,,,,11.0,,,,10.0,,,,,,,,,,,36.0,,,,,
42,2020-03-07,103:203,87:104,private_transport,,,,,,,,,,,39.0,,,,,,,,,,,,,
42,2020-03-07,103:203,90:117,private_transport,,,,,,10.0,,,,,,,,,,,,,,,,,,
42,2020-03-07,103:203,91:116,bus,,,,,,,,,,,14.0,,,,,,,,,,,,,
42,2020-03-07,103:203,91:116,private_transport,,,,,,,,,,,19.0,,,,,,,,,,,,,
42,2020-03-07,103:203,92:115,private_transport,,,,,,,,,,,13.0,,,,,,,,,,,,,
42,2020-03-07,103:203,9:509,private_transport,,,,,,,,,,,,,,10.0,,,,11.0,,,,,,
42,2020-03-07,104:202,111:167,bus,,,,,,,,13.0,,,,,,,,,,13.0,,,,,,
42,2020-03-07,104:202,111:167,private_transport,12.0,,,,,,,30.0,,,,,12.0,,,,40.0,40.0,,,,,,
42,2020-03-07,104:202,103:203,private_transport,,,,,,,,,,,,,,,16.0,,,,,,,,,
42,2020-03-07,104:202,64:306,private_transport,,,,,,,14.0,,,,,55.0,,24.0,,,,,,,,,,
42,2020-03-07,104:202,78:302,private_transport,,,,,,,,,,,,,,56.0,,,,,,,,,,
42,2020-03-07,104:202,9:509,private_transport,,,,,,,,,47.0,,,,,,,,,,,,,,,
42,2020-03-07,104:202,104:202,bus,,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2020-03-07,104:202,104:202,private_transport,35.0,,,,,,,26.0,,,10.0,,,20.0,,,41.0,,,,14.0,,,
42,2020-03-07,104:202,110:168,private_transport,58.0,,,,,,,,,,15.0,,,37.0,,,,,,,23.0,,,
42,2020-03-07,104:202,134:136,private_transport,,,,,,,,,,,,,,,11.0,,,,,,,,,
42,2020-03-07,104:202,138:148,bus,,,,,,,,,,,,,,,17.0,,,,,,,,,
42,2020-03-07,104:202,138:148,private_transport,,,,,,,,,,,,,,,18.0,,13.0,12.0,,,,,,
42,2020-03-07,104:202,145:125,private_transport,,,,,,,,,,,,,,,23.0,,,,,,,,,
42,2020-03-07,104:202,147:123,private_transport,17.0,,,,,,,,,,,,,10.0,,,,,,,,,,
42,2020-03-07,104:202,148:122,private_transport,,,,,,,,,,,,27.0,24.0,,,,,,,,,,,
42,2020-03-07,104:202,54:419,private_transport,,,,,,,,,,,,,,,,,44.0,,,,,,,
42,2020-03-07,104:202,68:315,private_transport,,,,,,,,,,,,12.0,,,,,,,,,,,,
42,2020-03-07,105:201,104:202,private_transport,,,,,,,,,,,,,,19.0,,,,,,,,,,
42,2020-03-07,105:201,110:168,private_transport,,,,,,,,,,,,,,24.0,,,,,,,,,,
42,2020-03-07,105:201,32:532,private_transport,,,,,,,,,,,88.0,,,,,,,,,,,,,
42,2020-03-07,106:208,111:167,private_transport,,,,,,,,10.0,,,,,,13.0,,,,,,,,,,
42,2020-03-07,106:208,110:168,private_transport,,,,,,,,18.0,,,,,,26.0,,,,,,,,,,
42,2020-03-07,106:208,32:532,private_transport,,,,,,,,,,,53.0,,,,,,,,,,,,,
42,2020-03-07,106:208,107:207,private_transport,,,,,,,,,,,11.0,,,,,,,,,18.0,,,,
42,2020-03-07,106:208,112:158,private_transport,,,,,,,,,,,,,,,,,,,,10.0,11.0,,,
42,2020-03-07,106:208,98:217,private_transport,,,,,,,,,,,,13.0,,,,,,,,,,,,
42,2020-03-07,107:207,100:206,private_transport,,,,,,,,,,,,14.0,,,,,,,,,,,,
42,2020-03-07,107:207,111:167,bus,,,,,,,,11.0,,,,,,,,,,,,,,,,
42,2020-03-07,107:207,111:167,private_transport,,,,,,,,,,,,,,,,,,,,,,20.0,,
42,2020-03-07,107:207,76:314,private_transport,,,,,,,,,,,,10.0,,,,,,,,,,,,
42,2020-03-07,107:207,104:202,bus,,,,,,,,14.0,,,,,,,,,,,,,,,,
42,2020-03-07,107:207,104:202,private_transport,,,,,,,,10.0,,,,,,,,,,,,,,,,
42,2020-03-07,107:207,110:168,private_transport,,,,,,,,36.0,,,,16.0,,,,,,,,,,,,
42,2020-03-07,107:207,147:123,private_transport,,,,,,,,11.0,,,,,,,,,,,,,,,,
42,2020-03-07,107:207,107:207,private_transport,,,,,,,,,,,41.0,,,,,,,,,28.0,35.0,,,
42,2020-03-07,107:207,112:158,bus,,,,,,,,,,,,,,,,,,,,10.0,,,,
42,2020-03-07,107:207,112:158,private_transport,,,,,,,,,,,25.0,,,,,,,,,19.0,31.0,,,
42,2020-03-07,107:207,98:217,bus,,,,,,,10.0,,,,,,,,,,,,,,,,,
42,2020-03-07,107:207,98:217,private_transport,,,,,,,,,,,,12.0,11.0,,,,,,,,10.0,,,
42,2020-03-07,107:207,105:201,private_transport,,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2020-03-07,107:207,106:208,private_transport,,,,,,,,,,,11.0,,,,,,,,,13.0,10.0,,,
42,2020-03-07,107:207,114:156,private_transport,,,,,,,,,,,,,11.0,,,,,,,,,,,
42,2020-03-07,107:207,149:121,private_transport,,,,,12.0,,,,,,,,,,,,,,,,,,,
42,2020-03-07,107:207,150:120,private_transport,,,,,12.0,,,,,,,,,,,,,,,,,,,
