ProjectID,Date,Origin,Destination,Modo,0000_0059,0100_0159,0200_0259,0300_0359,0400_0459,0500_0559,0600_0659,0700_0759,0800_0859,0900_0959,1000_1059,1100_1159,1200_1259,1300_1359,1400_1459,1500_1559,1600_1659,1700_1759,1800_1859,1900_1959,2000_2059,2100_2159,2200_2259,2300_2359
42,2020-03-05,0:500,106:208,private_transport,,,,,,,,25.0,,,,,,,,,,,,,,,,
42,2020-03-05,0:500,107:207,private_transport,,,,,,,,43.0,,,,,,,,,,,,,,,,
42,2020-03-05,0:500,112:158,private_transport,,,,,,,,32.0,,,,,,,,,,,,,,,,
42,2020-03-05,0:500,122:164,microtrip,,,,,,,,,,14.0,,,,,,,,,,,,,,
42,2020-03-05,0:500,57:310,private_transport,,,,,,,,,,,,,,,,,,24.0,,,,,,
42,2020-03-05,100:206,107:207,bus,,,,,,,,13.0,,,,,,,,,,16.0,,,,,,
42,2020-03-05,100:206,107:207,private_transport,,,,,,,,15.0,16.0,,,,,25.0,,,,,,,,,,
42,2020-03-05,100:206,100:206,bus,,,,,,,,11.0,,,,,,12.0,,,,16.0,,,,14.0,,
42,2020-03-05,100:206,100:206,private_transport,,,,,22.0,,,,,,,,,28.0,,,,11.0,,,,20.0,,
42,2020-03-05,100:206,101:205,bus,,,,,,,,,,,,10.0,,,,,,,,,,,,
42,2020-03-05,100:206,101:205,private_transport,,,,,,,,,,,,11.0,,,,,,,,,,,,
42,2020-03-05,100:206,108:170,bus,,,,,,,,,,,,,,,,,,22.0,,,,,,
42,2020-03-05,100:206,109:169,bus,,,,,,,,,,,,,,,,12.0,,,,,,,,
42,2020-03-05,100:206,109:169,private_transport,,,,,,,,,,,,,,,,12.0,,,,,,,,
42,2020-03-05,100:206,120:166,bus,,,,,,,,,,,,,,,,,,18.0,,,,,,
42,2020-03-05,100:206,120:166,private_transport,,,,,,,,,,,,,,,,,,18.0,,,,,,
42,2020-03-05,100:206,128:142,bus,,,,,,,14.0,,10.0,,,,,11.0,,,,11.0,,,,,,
42,2020-03-05,100:206,128:142,private_transport,,,,,,,10.0,12.0,,,,,,,,,,,,,,,,
42,2020-03-05,100:206,129:141,bus,,,,,,,,,,,,14.0,,,,,,,,,,,,
42,2020-03-05,100:206,129:141,private_transport,,,,,,,,,,,,17.0,,,,,,,,,,,,
42,2020-03-05,100:206,137:149,bus,,,,,,,,,,,17.0,,,,,,,,,,,,,
42,2020-03-05,100:206,137:149,private_transport,,,,,,,,,,,18.0,,,,,,,,,,,,,
42,2020-03-05,100:206,140:146,bus,,,,,,,,,,,,,,,,,,12.0,,,,,,
42,2020-03-05,100:206,140:146,private_transport,,,,,,,,,,,,,,,,,,11.0,,,,,,
42,2020-03-05,100:206,143:143,bus,,,,,,,,,,,,,12.0,,,,,16.0,,,,,,
42,2020-03-05,100:206,143:143,private_transport,,,,,14.0,,,,15.0,,,,,17.0,,,,10.0,,,,,14.0,
42,2020-03-05,100:206,151:119,bus,,,,,,,,,,,,,,,,,,18.0,,,,,,
42,2020-03-05,100:206,154:132,bus,,,,,,,,,,,,12.0,,,,,,12.0,,,,,,
42,2020-03-05,100:206,154:132,private_transport,,,,,,,,,,,,11.0,,,,,,,,,,,,
42,2020-03-05,100:206,276:144,bus,,,,,,,10.0,,,,,,,,,,,,,,,,,
42,2020-03-05,100:206,51:308,private_transport,,,,,,,12.0,,,,,,,,,,,,,,,,,
42,2020-03-05,100:206,58:303,private_transport,,,,,,,,,,55.0,,,,,,,,,,,,,,
42,2020-03-05,100:206,61:413,private_transport,,66.0,,,,,,,,,,,,,,72.0,,,,,,,,
42,2020-03-05,100:206,64:306,bus,,,,,,,,,,17.0,,,,,,,,,26.0,,,,,
42,2020-03-05,100:206,64:306,private_transport,,48.0,,,,,,,,50.0,,,,,55.0,,,,51.0,,,,,
42,2020-03-05,100:206,75:313,bus,,,,,,,37.0,,,,,,,,,,,,,,,,,
42,2020-03-05,100:206,75:313,private_transport,,,,,,,10.0,,,,,,,,,,,,,,,,,
42,2020-03-05,100:206,76:314,private_transport,,,,,,,,,,,,,,14.0,,,,,,,,,,
42,2020-03-05,100:206,83:108,bus,,,,,,,15.0,,,,,,,,,15.0,,,,,,,,
42,2020-03-05,100:206,83:108,private_transport,,,,,,,12.0,,,,,,,16.0,,,,,,,,,,
42,2020-03-05,100:206,88:103,bus,,,,,,,,,,,,,,12.0,,,,,,,11.0,,,
42,2020-03-05,100:206,88:103,private_transport,,,,,,,,,,,,,,11.0,,,,,,,,,,
42,2020-03-05,100:206,89:118,bus,,,,,,,,,,,,20.0,,,,,,,,,,,,
42,2020-03-05,100:206,89:118,private_transport,,,,,,,,,,,,20.0,,,,,,,,,,,,
42,2020-03-05,100:206,90:117,bus,,,,,,,,,,,,,,15.0,,,,,,,31.0,,,
42,2020-03-05,100:206,90:117,private_transport,,,,,,,,,,,,,,27.0,,,,,,,19.0,,,
42,2020-03-05,100:206,98:217,bus,,,,,,,,,,,,,14.0,,,,,,,,,,,
42,2020-03-05,100:206,98:217,private_transport,,,,,,,,,,,,,,,,11.0,,,,,,,,
42,2020-03-05,101:205,101:205,bus,,,,,,,,,,,,,,,,,16.0,12.0,,,,,,
42,2020-03-05,101:205,101:205,microtrip,13.0,,,,,,,,16.0,,,10.0,,,,,18.0,,14.0,,14.0,11.0,11.0,
42,2020-03-05,101:205,101:205,private_transport,,,,,,,,,,,12.0,,,,,,11.0,,,,,,,
42,2020-03-05,101:205,108:170,bus,,,,,10.0,,,,,,,,,,,,,,,17.0,,,,
42,2020-03-05,101:205,108:170,microtrip,,,10.0,10.0,,14.0,10.0,,,,,13.0,,18.0,,12.0,35.0,27.0,13.0,,12.0,,10.0,10.0
42,2020-03-05,101:205,108:170,private_transport,,,,,,,,,,,,,,,,,,,,12.0,,,,
42,2020-03-05,101:205,129:141,bus,,,,,,,,,,,,,17.0,,,,,24.0,,,,,,
42,2020-03-05,101:205,129:141,microtrip,11.0,,,,,,16.0,,21.0,15.0,13.0,10.0,14.0,14.0,14.0,18.0,35.0,22.0,17.0,12.0,15.0,11.0,,
42,2020-03-05,101:205,129:141,private_transport,27.0,,,,,,,,,,21.0,,11.0,,,,,20.0,,,,,,
42,2020-03-05,101:205,151:119,bus,,,,,,,,,,27.0,,,,,,,,,,11.0,,,,
42,2020-03-05,101:205,151:119,microtrip,,,,,,,,12.0,,,,26.0,22.0,32.0,,20.0,28.0,24.0,,,26.0,10.0,,
42,2020-03-05,101:205,151:119,private_transport,,,,,,,,13.0,,22.0,,,,,,,,,,,,,,
42,2020-03-05,101:205,154:132,microtrip,,,,,,,12.0,,17.0,,12.0,11.0,21.0,23.0,13.0,20.0,21.0,20.0,12.0,,,18.0,11.0,
42,2020-03-05,101:205,58:303,bus,,,,,,,,,,,,13.0,,,,,,,,,,,,
42,2020-03-05,101:205,58:303,private_transport,,,,,,,,,,10.0,,,,,,,,,,,,,,
42,2020-03-05,101:205,61:413,private_transport,,10.0,,,,,,,,,,,,,,56.0,,,,,,,,
42,2020-03-05,101:205,64:306,private_transport,,,,,,,,,,14.0,,,,,,,,,,,,,,
42,2020-03-05,101:205,75:313,private_transport,,,,,,,,,12.0,,,,,,,,,,,,,,,
42,2020-03-05,101:205,76:314,private_transport,,,,,,,,,12.0,,,,,,,,72.0,,,,,,,
42,2020-03-05,101:205,83:108,bus,,,,,,,,,,25.0,,,,,,,,,,,,,,
42,2020-03-05,101:205,83:108,microtrip,,,,,,14.0,,,,,,,20.0,,,,15.0,,20.0,21.0,12.0,16.0,,
42,2020-03-05,101:205,83:108,private_transport,11.0,,,,,,,,,24.0,,,49.0,,,,,11.0,,,,,,
42,2020-03-05,101:205,89:118,bus,,,,,,,,,,16.0,,,,,,,,,,,,,,
42,2020-03-05,101:205,89:118,microtrip,,,,,,,13.0,,,10.0,,,21.0,24.0,,,19.0,13.0,,,15.0,11.0,,
42,2020-03-05,101:205,89:118,private_transport,,,,,,,,,,,,10.0,,,,,,,,,,,,
42,2020-03-05,101:205,90:117,bus,,,,,,,,,13.0,,,,,,,,,,10.0,,,,,
42,2020-03-05,101:205,90:117,microtrip,,,,,,,,,10.0,,,,,,,,,,,,,,,
42,2020-03-05,101:205,90:117,private_transport,,,,,,,,,11.0,,,10.0,,,,15.0,,,,,,,,
42,2020-03-05,101:205,98:217,private_transport,,,,,,,,,,,10.0,,,,,,,,,,,,,
42,2020-03-05,101:205,104:202,private_transport,,,,,,,,,,,,,,,,,,,11.0,,,,,
42,2020-03-05,101:205,105:201,bus,,,,,,,,,,,,,,,,15.0,,,,,,,,
42,2020-03-05,101:205,110:168,bus,,,,,,,,23.0,,,,,,,,,10.0,,,,,,,
42,2020-03-05,101:205,110:168,private_transport,,,,,,,,,,10.0,,,,,,,10.0,,,,,,,
42,2020-03-05,101:205,111:167,private_transport,,,,,,,,,,,,,,,,,10.0,,,,,,,
42,2020-03-05,101:205,126:160,bus,,,,,,,,,17.0,,,14.0,,,,11.0,,,,,,,,
42,2020-03-05,101:205,126:160,microtrip,,,,,,,,,15.0,,,,,,11.0,,,,,,,,,
42,2020-03-05,101:205,126:160,private_transport,,,,,,,,,10.0,,,,,,,10.0,,,,,,,,
42,2020-03-05,101:205,127:159,bus,,,,,,,,,,,,,,,,,12.0,,,,,,,
