ProjectID,Date,Origin,Destination,Modo,A,B1,B2,C1,C2,DE,NSEG
42,2020-03-13,0:500,104:202,private_transport,,,,,32.0,,
42,2020-03-13,0:500,110:168,private_transport,,,,,41.0,,
42,2020-03-13,0:500,64:306,private_transport,,,22.0,,,,
42,2020-03-13,0:500,68:315,private_transport,,,12.0,,,,
42,2020-03-13,100:206,64:306,bus,,,,10.0,,,
42,2020-03-13,100:206,100:206,bus,,,22.0,24.0,,,
42,2020-03-13,100:206,100:206,private_transport,,,,77.0,,,
42,2020-03-13,100:206,107:207,private_transport,,,,68.0,,,
42,2020-03-13,100:206,108:170,bus,,,,14.0,,,
42,2020-03-13,100:206,111:167,private_transport,,,11.0,,,,
42,2020-03-13,100:206,122:164,bus,,,15.0,,,,
42,2020-03-13,100:206,122:164,private_transport,,,16.0,,,,
42,2020-03-13,100:206,123:163,bus,,,11.0,,,,
42,2020-03-13,100:206,127:159,bus,,13.0,15.0,,,,
42,2020-03-13,100:206,127:159,private_transport,,15.0,,,,,
42,2020-03-13,100:206,128:142,private_transport,,,,15.0,,,
42,2020-03-13,100:206,143:143,bus,,,,10.0,,,
42,2020-03-13,100:206,143:143,private_transport,,,,59.0,,,
42,2020-03-13,100:206,148:122,private_transport,,,13.0,,,,
42,2020-03-13,100:206,160:110,private_transport,,,,16.0,,,
42,2020-03-13,100:206,45:319,private_transport,,,,,,,76.0
42,2020-03-13,100:206,48:301,private_transport,,,50.0,,,,
42,2020-03-13,100:206,50:412,bus,,,,39.0,,,
42,2020-03-13,100:206,50:412,private_transport,,,52.0,70.0,,,
42,2020-03-13,100:206,58:303,private_transport,,,,,,,19.0
42,2020-03-13,100:206,61:413,private_transport,46.0,,,,,,
42,2020-03-13,100:206,66:316,private_transport,,57.0,,,,,
42,2020-03-13,100:206,76:314,bus,,,,,,,21.0
42,2020-03-13,100:206,76:314,private_transport,,,,,,,33.0
42,2020-03-13,100:206,83:108,bus,,,10.0,17.0,,,
42,2020-03-13,100:206,83:108,private_transport,,,11.0,64.0,,,
42,2020-03-13,100:206,90:117,bus,,,,,30.0,,
42,2020-03-13,100:206,95:112,bus,,20.0,,,,,
42,2020-03-13,100:206,96:111,bus,,,,23.0,,,
42,2020-03-13,100:206,97:102,private_transport,,,14.0,,,,
42,2020-03-13,100:206,98:217,bus,,,10.0,,,,
42,2020-03-13,101:205,110:168,bus,,,,15.0,,,
42,2020-03-13,101:205,110:168,private_transport,,,,13.0,,,
42,2020-03-13,101:205,108:170,bus,,,,23.0,,,
