ProjectID,Date,Origin,Destination,Modo,false,true
42,2020-03-02,0:500,76:314,private_transport,93.0,
42,2020-03-02,100:206,76:314,bus,14.0,
42,2020-03-02,100:206,100:206,bus,59.0,16.0
42,2020-03-02,100:206,100:206,private_transport,66.0,16.0
42,2020-03-02,100:206,103:203,bus,15.0,
42,2020-03-02,100:206,103:203,private_transport,21.0,
42,2020-03-02,100:206,104:202,bus,17.0,
42,2020-03-02,100:206,104:202,private_transport,19.0,
42,2020-03-02,100:206,107:207,bus,42.0,11.0
42,2020-03-02,100:206,107:207,private_transport,42.0,10.0
42,2020-03-02,100:206,108:170,bus,14.0,
42,2020-03-02,100:206,110:168,bus,54.0,
42,2020-03-02,100:206,110:168,private_transport,35.0,
42,2020-03-02,100:206,111:167,bus,10.0,
42,2020-03-02,100:206,111:167,private_transport,12.0,10.0
42,2020-03-02,100:206,116:154,bus,13.0,
42,2020-03-02,100:206,118:152,bus,16.0,
42,2020-03-02,100:206,121:165,private_transport,,12.0
42,2020-03-02,100:206,128:142,private_transport,10.0,
42,2020-03-02,100:206,143:143,bus,42.0,18.0
42,2020-03-02,100:206,143:143,private_transport,47.0,18.0
42,2020-03-02,100:206,144:126,private_transport,10.0,
42,2020-03-02,100:206,145:125,private_transport,10.0,
42,2020-03-02,100:206,149:121,bus,11.0,
42,2020-03-02,100:206,152:134,bus,10.0,
42,2020-03-02,100:206,154:132,bus,19.0,
42,2020-03-02,100:206,157:129,private_transport,,13.0
42,2020-03-02,100:206,158:128,bus,,11.0
42,2020-03-02,100:206,158:128,private_transport,,12.0
42,2020-03-02,100:206,160:110,bus,23.0,
42,2020-03-02,100:206,160:110,private_transport,17.0,
42,2020-03-02,100:206,276:144,bus,,16.0
42,2020-03-02,100:206,276:144,private_transport,,15.0
42,2020-03-02,100:206,45:319,bus,73.0,
42,2020-03-02,100:206,45:319,private_transport,78.0,
42,2020-03-02,100:206,50:412,private_transport,102.0,
42,2020-03-02,100:206,58:303,bus,37.0,
42,2020-03-02,100:206,58:303,private_transport,78.0,
42,2020-03-02,100:206,61:413,private_transport,113.0,
42,2020-03-02,100:206,72:411,private_transport,37.0,
42,2020-03-02,100:206,75:313,private_transport,,48.0
42,2020-03-02,100:206,83:108,bus,15.0,30.0
42,2020-03-02,100:206,83:108,private_transport,17.0,37.0
