ProjectID,Date,Origin,Destination,Modo,F,M
42,2019-11-15,0:500,103:203,private_transport,,40.0
42,2019-11-15,0:500,131:139,private_transport,,12.0
42,2019-11-15,0:500,57:310,private_transport,76.0,
42,2019-11-15,0:500,62:307,private_transport,10.0,123.0
42,2019-11-15,100:206,57:310,bus,,10.0
42,2019-11-15,100:206,57:310,private_transport,,33.0
42,2019-11-15,100:206,100:206,bus,,16.0
42,2019-11-15,100:206,100:206,private_transport,22.0,36.0
42,2019-11-15,100:206,101:205,private_transport,,11.0
42,2019-11-15,100:206,106:208,bus,,10.0
42,2019-11-15,100:206,106:208,private_transport,,10.0
42,2019-11-15,100:206,107:207,bus,,14.0
42,2019-11-15,100:206,107:207,private_transport,,34.0
42,2019-11-15,100:206,108:170,private_transport,,24.0
42,2019-11-15,100:206,109:169,private_transport,,16.0
42,2019-11-15,100:206,113:157,private_transport,13.0,
42,2019-11-15,100:206,117:153,private_transport,13.0,
42,2019-11-15,100:206,120:166,private_transport,15.0,
42,2019-11-15,100:206,123:163,bus,10.0,
42,2019-11-15,100:206,128:142,private_transport,14.0,10.0
42,2019-11-15,100:206,129:141,private_transport,,14.0
42,2019-11-15,100:206,143:143,bus,,20.0
42,2019-11-15,100:206,143:143,private_transport,18.0,38.0
42,2019-11-15,100:206,144:126,bus,11.0,
42,2019-11-15,100:206,147:123,private_transport,,11.0
42,2019-11-15,100:206,152:134,bus,,16.0
42,2019-11-15,100:206,152:134,private_transport,,21.0
42,2019-11-15,100:206,153:133,private_transport,,10.0
42,2019-11-15,100:206,154:132,private_transport,,13.0
42,2019-11-15,100:206,156:130,private_transport,27.0,
42,2019-11-15,100:206,159:127,bus,26.0,
42,2019-11-15,100:206,159:127,private_transport,29.0,
42,2019-11-15,100:206,276:144,private_transport,,11.0
42,2019-11-15,100:206,56:416,private_transport,,53.0
42,2019-11-15,100:206,61:413,private_transport,189.0,46.0
42,2019-11-15,100:206,64:306,private_transport,48.0,
42,2019-11-15,100:206,83:108,bus,,13.0
42,2019-11-15,100:206,83:108,private_transport,,22.0
42,2019-11-15,100:206,89:118,private_transport,,10.0
42,2019-11-15,100:206,93:114,private_transport,17.0,
42,2019-11-15,100:206,94:113,bus,10.0,
42,2019-11-15,100:206,95:112,private_transport,18.0,
42,2019-11-15,100:206,98:217,bus,,11.0
42,2019-11-15,100:206,98:217,private_transport,,15.0
42,2019-11-15,101:205,57:310,private_transport,69.0,
42,2019-11-15,101:205,62:307,private_transport,24.0,
42,2019-11-15,101:205,101:205,bus,,19.0
42,2019-11-15,101:205,101:205,microtrip,56.0,68.0
42,2019-11-15,101:205,101:205,private_transport,13.0,38.0
42,2019-11-15,101:205,108:170,microtrip,50.0,90.0
42,2019-11-15,101:205,108:170,private_transport,,12.0
42,2019-11-15,101:205,120:166,microtrip,,15.0
42,2019-11-15,101:205,128:142,microtrip,,10.0
42,2019-11-15,101:205,128:142,private_transport,,10.0
42,2019-11-15,101:205,129:141,bus,15.0,26.0
42,2019-11-15,101:205,129:141,microtrip,77.0,152.0
42,2019-11-15,101:205,129:141,private_transport,13.0,69.0
42,2019-11-15,101:205,143:143,private_transport,11.0,14.0
42,2019-11-15,101:205,152:134,microtrip,31.0,31.0
42,2019-11-15,101:205,153:133,microtrip,,12.0
42,2019-11-15,101:205,154:132,microtrip,62.0,104.0
42,2019-11-15,101:205,156:130,microtrip,17.0,20.0
42,2019-11-15,101:205,156:130,private_transport,10.0,
42,2019-11-15,101:205,56:416,private_transport,40.0,48.0
42,2019-11-15,101:205,61:413,private_transport,87.0,19.0
42,2019-11-15,101:205,64:306,private_transport,12.0,
42,2019-11-15,101:205,83:108,microtrip,30.0,72.0
42,2019-11-15,101:205,83:108,private_transport,,15.0
42,2019-11-15,101:205,89:118,bus,10.0,
42,2019-11-15,101:205,89:118,microtrip,38.0,63.0
42,2019-11-15,101:205,89:118,private_transport,,15.0
42,2019-11-15,101:205,95:112,private_transport,13.0,
42,2019-11-15,101:205,98:217,microtrip,10.0,
42,2019-11-15,101:205,102:204,microtrip,,13.0
42,2019-11-15,101:205,110:168,private_transport,12.0,
42,2019-11-15,101:205,121:165,private_transport,,14.0
42,2019-11-15,101:205,126:160,microtrip,22.0,21.0
42,2019-11-15,101:205,127:159,microtrip,,13.0
42,2019-11-15,101:205,130:140,microtrip,16.0,37.0
42,2019-11-15,101:205,134:136,private_transport,10.0,
42,2019-11-15,101:205,135:135,microtrip,10.0,
42,2019-11-15,101:205,135:135,private_transport,12.0,
42,2019-11-15,101:205,145:125,microtrip,14.0,19.0
42,2019-11-15,101:205,146:124,bus,,11.0
42,2019-11-15,101:205,146:124,microtrip,14.0,23.0
42,2019-11-15,101:205,146:124,private_transport,,11.0
42,2019-11-15,101:205,151:119,microtrip,68.0,79.0
42,2019-11-15,101:205,157:129,private_transport,,12.0
42,2019-11-15,101:205,160:110,microtrip,26.0,42.0
42,2019-11-15,101:205,160:110,private_transport,10.0,18.0
42,2019-11-15,101:205,25:525,private_transport,10.0,23.0
42,2019-11-15,101:205,32:532,private_transport,13.0,
42,2019-11-15,101:205,47:320,private_transport,29.0,
42,2019-11-15,101:205,48:301,private_transport,37.0,
42,2019-11-15,101:205,50:412,private_transport,54.0,
42,2019-11-15,101:205,66:316,private_transport,,26.0
42,2019-11-15,101:205,76:314,bus,,11.0
42,2019-11-15,101:205,76:314,private_transport,58.0,90.0
42,2019-11-15,101:205,82:418,private_transport,30.0,103.0
42,2019-11-15,101:205,91:116,microtrip,10.0,
42,2019-11-15,101:205,96:111,microtrip,18.0,45.0
42,2019-11-15,101:205,96:111,private_transport,,16.0
42,2019-11-15,101:205,99:101,microtrip,,23.0
42,2019-11-15,101:205,9:509,private_transport,34.0,11.0
42,2019-11-15,102:204,57:310,private_transport,16.0,
42,2019-11-15,102:204,108:170,microtrip,,12.0
42,2019-11-15,102:204,120:166,microtrip,11.0,25.0
42,2019-11-15,102:204,120:166,private_transport,10.0,
42,2019-11-15,102:204,129:141,microtrip,,11.0
42,2019-11-15,102:204,154:132,microtrip,12.0,
42,2019-11-15,102:204,156:130,private_transport,,10.0
42,2019-11-15,102:204,56:416,private_transport,,20.0
42,2019-11-15,102:204,61:413,private_transport,16.0,
42,2019-11-15,102:204,102:204,microtrip,11.0,
42,2019-11-15,102:204,134:136,microtrip,,13.0
42,2019-11-15,102:204,145:125,microtrip,,31.0
42,2019-11-15,102:204,145:125,private_transport,12.0,
42,2019-11-15,102:204,146:124,microtrip,,12.0
42,2019-11-15,102:204,146:124,private_transport,,15.0
42,2019-11-15,102:204,151:119,microtrip,15.0,11.0
42,2019-11-15,102:204,160:110,microtrip,13.0,28.0
42,2019-11-15,102:204,160:110,private_transport,,12.0
42,2019-11-15,102:204,48:301,private_transport,11.0,
42,2019-11-15,102:204,50:412,private_transport,10.0,
42,2019-11-15,102:204,76:314,private_transport,13.0,18.0
42,2019-11-15,102:204,82:418,private_transport,,10.0
42,2019-11-15,102:204,96:111,microtrip,10.0,
42,2019-11-15,102:204,99:101,microtrip,13.0,28.0
42,2019-11-15,102:204,99:101,private_transport,12.0,
42,2019-11-15,102:204,9:509,private_transport,15.0,
42,2019-11-15,102:204,116:154,microtrip,10.0,
42,2019-11-15,102:204,119:151,microtrip,,10.0
42,2019-11-15,102:204,136:150,microtrip,12.0,13.0
42,2019-11-15,102:204,136:150,private_transport,,15.0
42,2019-11-15,102:204,140:146,microtrip,,12.0
42,2019-11-15,102:204,141:145,microtrip,18.0,24.0
42,2019-11-15,102:204,141:145,private_transport,13.0,10.0
42,2019-11-15,102:204,148:122,private_transport,11.0,
42,2019-11-15,102:204,92:115,microtrip,,12.0
42,2019-11-15,103:203,103:203,bus,16.0,31.0
42,2019-11-15,103:203,103:203,microtrip,13.0,14.0
42,2019-11-15,103:203,103:203,private_transport,102.0,170.0
42,2019-11-15,103:203,131:139,private_transport,42.0,46.0
42,2019-11-15,103:203,62:307,private_transport,61.0,57.0
42,2019-11-15,103:203,101:205,private_transport,,10.0
42,2019-11-15,103:203,107:207,private_transport,,14.0
42,2019-11-15,103:203,113:157,private_transport,,13.0
