ProjectID,Date,Origin,Destination,Modo,0_14,15_19,20_24,25_29,30_34,35_39,40_44,45_49,50_54,55_59,60_64,65_69,70_74,75_79,80_84,85_89,90_94
42,2019-11-24,100:206,100:206,bus,,,10.0,,,,,,,,,,,,,,
42,2019-11-24,100:206,100:206,private_transport,,,15.0,15.0,,21.0,20.0,15.0,24.0,,,,,,,,
42,2019-11-24,100:206,101:205,private_transport,,,12.0,,,,,,,,,,,,,,
42,2019-11-24,100:206,103:203,private_transport,,,,12.0,,,,,,,,,,,,,
42,2019-11-24,100:206,106:208,private_transport,,,,15.0,,,,,,,,,,,,,
42,2019-11-24,100:206,107:207,private_transport,,,10.0,15.0,,10.0,19.0,11.0,10.0,,,,,,,,
42,2019-11-24,100:206,108:170,private_transport,,18.0,,,,,,,,,,,,,,,
42,2019-11-24,100:206,127:159,private_transport,,,,,,11.0,,,,,,,,,,,
42,2019-11-24,100:206,129:141,private_transport,,,25.0,,,,,23.0,,,,,,,,,
42,2019-11-24,100:206,138:148,private_transport,,,,22.0,,,,,,,,,,,,,
42,2019-11-24,100:206,143:143,private_transport,,,,12.0,,12.0,,,22.0,,,,,,,,
42,2019-11-24,100:206,144:126,bus,,,,,,,10.0,,,,,,,,,,
42,2019-11-24,100:206,147:123,private_transport,,,,,,12.0,,,,,,,,,,,
42,2019-11-24,100:206,151:119,private_transport,,10.0,,,,,,,,,,,,,,,
42,2019-11-24,100:206,152:134,private_transport,,,,,,10.0,,,,,,,,,,,
42,2019-11-24,100:206,159:127,private_transport,,,,,19.0,,,,,,,,,,,,
42,2019-11-24,100:206,57:310,private_transport,,,,12.0,,,,,,,,,,,,,
42,2019-11-24,100:206,61:413,private_transport,,,,,,,,38.0,,,,,,,,,
42,2019-11-24,100:206,68:315,private_transport,,,27.0,,,,,,,,,,,,,,
42,2019-11-24,100:206,83:108,private_transport,,,,,,,,13.0,,,,,,,,,
42,2019-11-24,100:206,98:217,private_transport,,,,,,11.0,,10.0,,,,,,,,,
42,2019-11-24,100:206,99:101,private_transport,,,,16.0,,,,,,,,,,,,,
42,2019-11-24,101:205,101:205,bus,,,,,,,,,14.0,,,,,,,,
42,2019-11-24,101:205,101:205,microtrip,,,26.0,19.0,19.0,12.0,27.0,17.0,19.0,17.0,,,,,,,
42,2019-11-24,101:205,101:205,private_transport,,,,,,18.0,,14.0,14.0,13.0,,,,,,,
42,2019-11-24,101:205,103:203,private_transport,,,,,,,18.0,,,,,,,,,,
42,2019-11-24,101:205,107:207,private_transport,,,,,,,,13.0,,,,,,,,,
42,2019-11-24,101:205,108:170,microtrip,10.0,,,28.0,14.0,19.0,26.0,13.0,,,,,,,,,
42,2019-11-24,101:205,108:170,private_transport,24.0,,,,,16.0,,,12.0,,,,,,,,
42,2019-11-24,101:205,129:141,bus,,,,,,10.0,,,,,,,,,,,
42,2019-11-24,101:205,129:141,microtrip,,13.0,23.0,31.0,34.0,38.0,35.0,18.0,24.0,,,,,,,,
42,2019-11-24,101:205,129:141,private_transport,,,15.0,,,25.0,,17.0,,10.0,,,,,,,
42,2019-11-24,101:205,143:143,private_transport,,,,,15.0,,,,14.0,,,,,,,,
42,2019-11-24,101:205,151:119,microtrip,,12.0,37.0,20.0,25.0,26.0,41.0,14.0,24.0,,10.0,,,,11.0,,
42,2019-11-24,101:205,152:134,microtrip,,,,,10.0,,,12.0,,,,,,,,,
42,2019-11-24,101:205,152:134,private_transport,,,12.0,,,,,,,,,,,,,,
42,2019-11-24,101:205,159:127,bus,,,,,,,,,10.0,,,,,,,,
42,2019-11-24,101:205,159:127,private_transport,,,,,,,10.0,,,,,,,,,,
42,2019-11-24,101:205,57:310,private_transport,,,23.0,,21.0,,,,,,,,,,,,
42,2019-11-24,101:205,61:413,private_transport,30.0,,,,,,,11.0,,,,,,,,,
42,2019-11-24,101:205,68:315,private_transport,,,28.0,,,,,,,,,,,,,,
42,2019-11-24,101:205,83:108,microtrip,,,24.0,31.0,17.0,28.0,19.0,10.0,,,,,,,,,
42,2019-11-24,101:205,83:108,private_transport,,,,,11.0,,,,,,,,,,,,
42,2019-11-24,101:205,99:101,microtrip,,,,,,,11.0,10.0,,,,,,,,,
42,2019-11-24,101:205,102:204,microtrip,,,,,12.0,,,,,,,,,,,,
42,2019-11-24,101:205,110:168,private_transport,,,,,,,12.0,,,,,,,,,,
42,2019-11-24,101:205,126:160,microtrip,,,,,,,13.0,,,11.0,13.0,,,,,,
42,2019-11-24,101:205,126:160,private_transport,,,10.0,,,11.0,,,,,,,,,,,
42,2019-11-24,101:205,128:142,private_transport,,,,,13.0,,,,13.0,,,,,,,,
42,2019-11-24,101:205,130:140,microtrip,,,,,,10.0,,,18.0,,,,,,,,
42,2019-11-24,101:205,136:150,microtrip,,,,,,,,10.0,,,,,,,,,
